new,host,a,soa,status_code,cname,cdn,cdn-name,ns,aaaa,has_internal_ips,internal_ips,mx,txt,caa
[x],android.atg.se,195.198.34.108,"dnsp1.atg.se, domains.atg.se",NOERROR,mobil.atg.se,,,,,,,,,
[x],api-backend.atg.se,195.198.34.33,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],api-integrations.qa.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],api.atg.se,195.198.34.44,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],api.drone.atg.se,"54.247.150.64, 52.212.99.152, 34.249.96.50","ns-773.awsdns-32.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],apps.preprod.openshift.hh.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,MS=ms90487089,
[x],asa.atg.se,195.198.34.253,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],atg-multiqms.atg.se,185.134.14.136,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],atg.se,"195.198.34.79, 195.198.34.66, 195.198.34.67","dnsp1.atg.se, domains.atg.se",NOERROR,,,,"dns5.telia.com, dns6.telia.com, dnsp1.atg.se, dnsp2.atg.se",,,,atg-se.mail.protection.outlook.com,"apple-domain-verification=2yqcX60nGtO04gy5, N2R84C3n0rM/JcR7kVyF7oL2wp/29sxuBBBksDeozyHl7Ug9Ih7r6S43dla+Ec5HPyYw7LrXguwMWsRAqBFo7Q==, MS=ms47918483, v=spf1 mx ip4:195.198.34.200 ip4:195.198.34.201 ip4:195.198.34.218 ip4:195.198.34.219 ip4:195.198.34.220 ip4:195.198.34.221 include:carmamail.com a:out.evitbe.com include:spf.protection.outlook.com -all, facebook-domain-verification=38g7n6lyty2h6b9j7ded2s33lj3kkw, Dynatrace-site-verification=effeb6b2-f923-4e81-9a02-70b3a341e77f__lo0k7hv9puclis0gv3njuk5hjm",
[x],authorize.atg.se,195.198.34.23,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],autodiscover.atg.se,"40.99.149.216, 40.99.150.8, 52.98.228.56, 52.98.171.232","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,"2603:1026:c0d:c30::8, 2603:1026:c0d:81a::8, 2603:1026:c0d:82e::8, 2603:1026:c0d:c29::8",,,,,
[x],aws.atg.se,,"ns-86.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1009.awsdns-62.net, ns-1172.awsdns-18.org, ns-1712.awsdns-22.co.uk, ns-86.awsdns-10.com",,,,inbound-smtp.eu-west-1.amazonaws.com,,
[x],birthday.atg.se,95.217.76.45,"stan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,play.seen.io,,,,,,,,,
[x],butik.atg.se,195.198.34.46,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],captiveportal.atg.se,10.245.194.14,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,True,10.245.194.14,,,
[x],cbi-stub-qa.atg.se,195.198.34.100,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],classic.atg.se,195.198.34.108,"dnsp1.atg.se, domains.atg.se",NOERROR,mobil.atg.se,,,,,,,,,
[x],cli.drone.atg.se,"52.210.223.155, 54.194.95.233, 34.254.44.1","ns-773.awsdns-32.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cloud.aws.atg.se,"205.251.193.31, 205.251.194.59, 205.251.197.75, 205.251.198.122","ns-1355.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1355.awsdns-41.org, ns-1658.awsdns-15.co.uk, ns-287.awsdns-35.com, ns-571.awsdns-07.net",,,,,,
[x],connect.atg.se,195.198.34.214,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],dashboard.dev.atg.se,"108.128.211.143, 52.213.131.224, 54.76.217.231","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],demo.atg.se,195.198.34.211,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],dev.developer.atg.se,,"ns-872.awsdns-45.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dev.horsedigital.aws.atg.se,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dev.spelassistent.aws.atg.se,,"ns-994.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-994.awsdns-60.net, ns-1035.awsdns-01.org, ns-1789.awsdns-31.co.uk, ns-315.awsdns-39.com",,,,,,
[x],dev.sre.aws.atg.se,,"ns-423.awsdns-52.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-554.awsdns-05.net, ns-423.awsdns-52.com, ns-1914.awsdns-47.co.uk, ns-1490.awsdns-58.org",,,,,,
[x],dev.streaming.aws.atg.se,"13.225.34.80, 13.225.34.23, 13.225.34.105, 13.225.34.3","ns-1694.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-1378.awsdns-44.org, ns-1694.awsdns-19.co.uk, ns-299.awsdns-37.com, ns-572.awsdns-07.net",,,,,,
[x],developer.atg.se,"13.224.189.19, 13.224.189.85, 13.224.189.51, 13.224.189.126","ns-872.awsdns-45.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-1319.awsdns-36.org, ns-1597.awsdns-07.co.uk, ns-469.awsdns-58.com, ns-872.awsdns-45.net",,,,,,
[x],dl.mobil.atg.se,195.198.34.106,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],dmh-dev.aws.atg.se,"52.222.236.48, 52.222.236.57, 52.222.236.126, 52.222.236.31","ns-640.awsdns-16.net, awsdns-hostmaster.amazon.com",NOERROR,d28tpg7ke7f4m6.cloudfront.net,True,cloudfront,"ns-1058.awsdns-04.org, ns-1599.awsdns-07.co.uk, ns-488.awsdns-61.com, ns-640.awsdns-16.net","2600:9000:223e:b000:b:6609:780:93a1, 2600:9000:223e:4e00:b:6609:780:93a1, 2600:9000:223e:8000:b:6609:780:93a1, 2600:9000:223e:6800:b:6609:780:93a1, 2600:9000:223e:1c00:b:6609:780:93a1, 2600:9000:223e:fa00:b:6609:780:93a1, 2600:9000:223e:1e00:b:6609:780:93a1, 2600:9000:223e:200:b:6609:780:93a1",,,,,
[x],dmh.aws.atg.se,"99.86.4.46, 99.86.4.108, 99.86.4.105, 99.86.4.117","ns-1474.awsdns-56.org, awsdns-hostmaster.amazon.com",NOERROR,dqs1ecs8jmjrk.cloudfront.net,True,cloudfront,"ns-566.awsdns-06.net, ns-125.awsdns-15.com, ns-1474.awsdns-56.org, ns-1610.awsdns-09.co.uk","2600:9000:2057:1600:b:43b8:2400:93a1, 2600:9000:2057:b600:b:43b8:2400:93a1, 2600:9000:2057:ae00:b:43b8:2400:93a1, 2600:9000:2057:ac00:b:43b8:2400:93a1, 2600:9000:2057:1800:b:43b8:2400:93a1, 2600:9000:2057:5000:b:43b8:2400:93a1, 2600:9000:2057:a00:b:43b8:2400:93a1, 2600:9000:2057:600:b:43b8:2400:93a1",,,,,
[x],dnsp1.atg.se,195.198.34.66,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],dnsp2.atg.se,195.198.34.67,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],drone.atg.se,"18.66.112.81, 18.66.112.95, 18.66.112.111, 18.66.112.75","ns-773.awsdns-32.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-84.awsdns-10.com, ns-773.awsdns-32.net, ns-1227.awsdns-25.org, ns-2039.awsdns-62.co.uk",,,,,,
[x],dtrack.atg.se,,"ns-1007.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-302.awsdns-37.com, ns-1007.awsdns-61.net, ns-1384.awsdns-45.org, ns-1630.awsdns-11.co.uk",,,,,,
[x],etablering.atg.se,13.69.228.7,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,"atgetablering.azurewebsites.net, waws-prod-db3-149.sip.azurewebsites.windows.net, waws-prod-db3-149.northeurope.cloudapp.azure.com",True,azure,,,,,,,
[x],ews.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],extapp.atg.se,195.198.34.26,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],f5vpn.atg.se,195.198.34.244,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],files.atg.se,"195.198.34.130, 195.198.34.66, 195.198.34.67","dnsp1.atg.se, domains.atg.se",NOERROR,,,,"dnsp1.atg.se, dnsp2.atg.se, dns5.telia.com, dns6.telia.com",,,,,,
[x],flit.atg.se,"185.134.13.11, 195.198.34.66, 195.198.34.67","dnsp1.atg.se, domains.atg.se",NOERROR,,,,"dnsp1.atg.se, dns6.telia.com, dns5.telia.com, dnsp2.atg.se",,,,,,
[x],fraga.atg.se,"18.201.2.209, 54.78.236.89, 52.17.37.32","ns-822.awsdns-38.net, awsdns-hostmaster.amazon.com",NOERROR,kundo.se,,,"ns-1121.awsdns-12.org, ns-1621.awsdns-10.co.uk, ns-265.awsdns-33.com, ns-822.awsdns-38.net","2a05:d018:b50:e001:6827:3d55:64f9:a258, 2a05:d018:b50:e000:3a46:2c6a:5da5:fadb, 2a05:d018:b50:e002:d120:9165:4f1b:88db",,,"aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","DZC=JPpBsJo, MS=F9129E8A3E3D3A0A2E7EF798A707C0D861E346D6, facebook-domain-verification=vexnmnrsqdk8oeawgddw6ck8kuqoxm, google-site-verification=I0GT4T3-_91GHVk5p6hwgLzdMmRlfxpGAMOB0Mn13wk, google-site-verification=THHgI34w4o-xOl-gc1o9wEecle70ZriE9UQrCZB2Ixk, google-site-verification=_I6eSv3NS71SJSSGZchla_I7YLudvmkOXqXsvmJkfDQ, google-site-verification=iZKAvIJ9nKxe5pAf-AtO89-7gyO5rsl0FOkKbnEfn6c, uQzqYRYP, v=spf1 include:_spf.google.com include:servers.mcsv.net include:all._spf.plma.se ip4:161.38.206.2 -all","amazon.com, digicert.com, globalsign.com, letsencrypt.org, sectigo.com"
[x],grafana.dev.atg.se,"54.76.217.231, 108.128.211.143, 52.213.131.224","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1008.awsdns-62.net, ns-1297.awsdns-34.org, ns-1839.awsdns-37.co.uk, ns-87.awsdns-10.com",,,,,,
[x],hastsportenshus.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],hh.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],horsedigital.aws.atg.se,,"ns-1888.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-723.awsdns-26.net, ns-106.awsdns-13.com, ns-1104.awsdns-10.org, ns-1888.awsdns-44.co.uk",,,,,,
[x],iam.atg.se,195.198.34.112,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],images.atg.se,"65.9.66.107, 65.9.66.109, 65.9.66.115, 65.9.66.55","ns-1036.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,d21ijjgwwql3l2.cloudfront.net,True,cloudfront,"ns-1036.awsdns-01.org, ns-1858.awsdns-40.co.uk, ns-40.awsdns-05.com, ns-827.awsdns-39.net","2600:9000:206f:6400:0:a8b7:d980:93a1, 2600:9000:206f:a00:0:a8b7:d980:93a1, 2600:9000:206f:f200:0:a8b7:d980:93a1, 2600:9000:206f:6600:0:a8b7:d980:93a1, 2600:9000:206f:f600:0:a8b7:d980:93a1, 2600:9000:206f:e00:0:a8b7:d980:93a1, 2600:9000:206f:200:0:a8b7:d980:93a1, 2600:9000:206f:9200:0:a8b7:d980:93a1",,,,,
[x],iphone.atg.se,195.198.34.108,"dnsp1.atg.se, domains.atg.se",NOERROR,mobil.atg.se,,,,,,,,,
[x],ka.atg.se,83.209.246.66,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],kundo.atg.se,"52.17.37.32, 54.78.236.89, 18.201.2.209","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"knowledge.kundo.se, kube-blue-969eb8ce2772891b.elb.eu-west-1.amazonaws.com",,,,"2a05:d018:b50:e001:6827:3d55:64f9:a258, 2a05:d018:b50:e002:d120:9165:4f1b:88db, 2a05:d018:b50:e000:3a46:2c6a:5da5:fadb",,,,,
[x],kundservice.atg.se,"52.84.93.85, 52.84.93.17, 52.84.93.62, 52.84.93.59","ns-2039.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],kundservice.dev.atg.se,"13.225.78.109, 13.225.78.31, 13.225.78.82, 13.225.78.37","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],limedia.atg.se,185.134.13.16,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],live.atg.se,195.198.34.80,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],login.atg.se,195.198.34.21,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],lpoamw.atg.se,195.198.34.37,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],lpoamw.dev.atg.se,"108.156.60.22, 108.156.60.13, 108.156.60.29, 108.156.60.71","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],mail1p.atg.se,195.198.34.219,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],media.atg.se,195.198.34.32,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],medlemsklippet.atg.se,195.198.34.95,,NOERROR,,,,,,,,,,
[x],mgmt.hh.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],mobil.atg.se,195.198.34.108,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],mobilapp.atg.se,"18.66.147.67, 18.66.147.95, 18.66.147.68, 18.66.147.42","ns-1486.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,d30r2oowj8kzmn.cloudfront.net,True,cloudfront,"ns-1486.awsdns-57.org, ns-1612.awsdns-09.co.uk, ns-240.awsdns-30.com, ns-949.awsdns-54.net","2600:9000:225e:6400:10:8789:57c0:93a1, 2600:9000:225e:fe00:10:8789:57c0:93a1, 2600:9000:225e:e00:10:8789:57c0:93a1, 2600:9000:225e:8c00:10:8789:57c0:93a1, 2600:9000:225e:c600:10:8789:57c0:93a1, 2600:9000:225e:600:10:8789:57c0:93a1, 2600:9000:225e:f000:10:8789:57c0:93a1, 2600:9000:225e:1600:10:8789:57c0:93a1",,,,,
[x],mx1p.atg.se,195.198.34.200,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],mx2p.atg.se,195.198.34.201,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],nosportinfo.atg.se,195.198.34.17,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],nymedlem.atg.se,195.198.34.95,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],ocp-prod.hastsportenshus.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],ocpiprod.hastsportenshus.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],ombud.atg.se,195.198.34.37,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],onprem.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],onprem1.atg.se,195.198.34.216,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],onprem2.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],onpremgw.atg.se,195.198.34.211,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],owa.atg.se,195.198.34.211,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],phosworks.atg.se,195.198.34.37,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
