new,host,a,cname,soa,status_code,aaaa,ns,cdn,cdn-name,txt,caa,has_internal_ips,internal_ips,mx
[x],0-246.inflight.luxuryretreats.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],0-82.luxuryretreats.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],0-boot-security-saml-demo-okta-wreesmann.airbnb.app,"76.76.21.98, 76.76.21.22",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],0-node-express-okta-idpnode-admin.airbnb.app,"76.76.21.93, 76.76.21.98",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],0-tlcovid19-private.secure.admin.airbnb.com,34.120.23.133,"admin.airbnb.com, admin-airbnb-com.airbnb.tools, iap-prod.airbnb.tools, iap-generic01-global-prod-useast4.airbnb.biz","ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,2600:1901:0:7a6a::,"ns-1348.awsdns-40.org, ns-1950.awsdns-51.co.uk, ns-254.awsdns-31.com, ns-622.awsdns-13.net",True,google,,,,,
[x],005-coinbase-0-boot-security-saml-demo-okta-wreesmann.airbnb.app,"76.76.21.61, 76.76.21.241",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],005-coinbase.airbnb.app,"76.76.21.61, 76.76.21.22",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],0ms.optustvnow.next.airbnb.com,"2.16.241.98, 2.16.241.73","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],1-airstream-boot-security-saml-active-okta.airbnb.app,"76.76.21.98, 76.76.21.22",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],1-spring-boot-security-saml-active-okta-airbnb.appwww5f.airbnb.app,"76.76.21.93, 76.76.21.164",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],1-spring-boot-security-saml-active-okta-application.airbnb.app,"76.76.21.164, 76.76.21.9",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],1-spring-boot-security-saml-active-okta-blog.h3.airbnb.app,"76.76.21.164, 76.76.21.98",,,NOERROR,,,,,,,,,
[x],1-spring-boot-security-saml-active-okta-blog.h4-1da29743.airbnb.app,"76.76.21.98, 76.76.21.61",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],1-spring-boot-security-saml-active-okta-blog.orders-21700103893gj3000541.airbnb.app,"76.76.21.241, 76.76.21.9",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],1-spring-boot-security-saml-active-okta-hubli24.airbnb.app,"76.76.21.93, 76.76.21.164",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],1-spring-boot-security-saml-active-okta-smcpext.airbnb.app,"76.76.21.93, 76.76.21.22",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],1-spring-boot-security-saml-active-okta-symposium.airbnb.app,"76.76.21.123, 76.76.21.61",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],1-spring-boot-security-saml-ku1720-okta.airbnb.app,"76.76.21.98, 76.76.21.9",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],1-spring-boot-security-saml-nettop700-okta-blog.h4.airbnb.app,"76.76.21.142, 76.76.21.61",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],1-spring-boot-security-saml-web-okta.airbnb.app,"76.76.21.241, 76.76.21.9",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],1-testbed-boot-security-saml-active-okta.airbnb.app,"76.76.21.93, 76.76.21.123",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],1.1-spring-boot-security-saml-web-okta.airbnb.app,"76.76.21.9, 76.76.21.98",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],1.next.airbnb.com,"95.101.111.158, 95.101.111.163","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],10.covid19elasticbeanstalk-el.next.airbnb.com,"184.51.149.50, 184.51.149.97","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],10.el-covid19-service.next.airbnb.com,"2.16.187.11, 2.16.187.115","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],110-node-express-okta-idpnode-admin.airbnb.app,"76.76.21.22, 76.76.21.98",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
