new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,txt,caa,ns
,alasco.de,"104.22.74.141, 172.67.21.239, 104.22.75.141","2606:4700:10::6816:4a8d, 2606:4700:10::ac43:15ef, 2606:4700:10::6816:4b8d","duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com","google-site-verification=yCDXe04aP9o9XOjWzFYXfMQLr4n3nVgfG249lWHmSMo, google-site-verification=tKm77qEsMyy890gaxTkV_tie1_c4E28F8e3KfM97zOQ, apple-domain-verification=f5VcCC1Nd2BSdJj7, v=spf1 include:_spf.google.com include:mail.zendesk.com include:servers.mcsv.net include:sendgrid.net include:5181082.spf05.hubspotemail.net ~all",,"raina.ns.cloudflare.com, duke.ns.cloudflare.com"
,api.alasco.de,"172.67.21.239, 104.22.74.141, 104.22.75.141","2606:4700:10::ac43:15ef, 2606:4700:10::6816:4a8d, 2606:4700:10::6816:4b8d","duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,app-staging.alasco.rocks,"104.26.5.79, 104.26.4.79, 172.67.69.253","2606:4700:20::681a:44f, 2606:4700:20::681a:54f, 2606:4700:20::ac43:45fd","duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,branding.alasco.de,"172.67.21.239, 104.22.74.141, 104.22.75.141","2606:4700:10::6816:4a8d, 2606:4700:10::ac43:15ef, 2606:4700:10::6816:4b8d","duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,demo.alasco.de,"172.67.21.239, 104.22.74.141, 104.22.75.141","2606:4700:10::6816:4a8d, 2606:4700:10::6816:4b8d, 2606:4700:10::ac43:15ef","duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,developer.alasco.de,"104.22.74.141, 172.67.21.239, 104.22.75.141","2606:4700:10::6816:4a8d, 2606:4700:10::ac43:15ef, 2606:4700:10::6816:4b8d","duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,get.alasco.de,"3.69.136.55, 3.126.202.50",,"ns-748.awsdns-29.net, awsdns-hostmaster.amazon.com",NOERROR,,,"17b07ba6002a4ae0a4e55942dffdb9c1.unbouncepages.com, unbouncepages.com",,google-site-verification=OR1Dxjz7lXfsMSTzdmscdUNH56xGM9k7kpj72k7ERAs,"globalsign.com, comodoca.com, letsencrypt.org, amazon.com","ns-1575.awsdns-04.co.uk, ns-362.awsdns-45.com, ns-748.awsdns-29.net, ns-1465.awsdns-55.org"
,hello.alasco.de,"52.41.190.196, 44.228.158.230, 54.149.247.91",,"ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,,"6b5b338e-fb4a-4b34-9035-da21e19b3322.outrch.com, app1e.outrch.com",,,letsencrypt.org,
,inside.alasco.de,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,alasco-tech.github.io,,,"digicert.com, letsencrypt.org",
,internal.alasco.rocks,,,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
