input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_subject_org_,final_url,tls_expired,tls_self_signed
access-amazone.w2.ecomm-prod-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,access-amazone.w2.ecomm-prod-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-11-14T19:09:41Z,2023-11-14T19:09:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,9330ee274a8b17f2ab105d8b199c74c5,4efb0cc5d7cd1637575eff706131114988248f57ccb7170b53985fb2c3eef835,,ctls,access-amazone.w2.ecomm-prod-aks.alaskaair.com,,443,https://access-amazone.w2.ecomm-prod-aks.alaskaair.com:443,https,,text/html,GET,20.69.115.140,/,586998417,20.69.115.140,HSTS,14,False,,,Acme Co,,,True
access-amazone.wc.ecomm-prod-aks.alaskaair.com,403 Forbidden,403,146,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.64.0.0/11,access-amazone.wc.ecomm-prod-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-11-14T17:57:04Z,2023-11-14T17:57:04Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,c2c1b7f988b56da40ae75c40d4c28faf,24df02a0af6dd1cc6904db7fb4547a34a7603f6615e1ac62ea193f9b21b75a6f,,ctls,access-amazone.wc.ecomm-prod-aks.alaskaair.com,azure,443,https://access-amazone.wc.ecomm-prod-aks.alaskaair.com:443,https,,text/html,GET,13.78.230.197,/,-1561873722,13.78.230.197,HSTS,8,False,True,,Acme Co,,,True
access-amazone.wc.ecomm-qa-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.160.0.0/11,,,,,,,,,,,,,,,,,,,,azure,80,http://access-amazone.wc.ecomm-qa-aks.alaskaair.com:80,http,,text/html,GET,52.159.16.168,/,586998417,52.159.16.168,,14,False,True,,,,,
access-docrelay.wc.ecomm-qa-aks.alaskaair.com,,404,,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.160.0.0/11,access-docrelay.wc.ecomm-qa-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-14T23:11:36Z,2023-06-12T23:11:35Z,CN=access-docrelay.wc.ecomm-qa-aks.alaskaair.com,access-docrelay.wc.ecomm-qa-aks.alaskaair.com,access-docrelay.wc.ecomm-qa-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26ac91a94671c6c4a00336876d018249,a66e3749fbde837c82209cff2af5d245b29426cec4aef14a6b77d78ad0ce29df,,ctls,access-docrelay.wc.ecomm-qa-aks.alaskaair.com,azure,80,http://access-docrelay.wc.ecomm-qa-aks.alaskaair.com:80,http,,,GET,52.159.16.168,/,-1840324437,52.159.16.168,HSTS,1,False,True,,,https://access-docrelay.wc.ecomm-qa-aks.alaskaair.com,,
access-session.w2.ecomm-test-aks.alaskaair.com,,404,,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.66.0.0/17,access-session.w2.ecomm-test-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-04T14:09:33Z,2023-08-02T14:09:32Z,CN=access-session.w2.ecomm-test-aks.alaskaair.com,access-session.w2.ecomm-test-aks.alaskaair.com,access-session.w2.ecomm-test-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bb3f1baa0246e911800014dd7eef3f69,47ba217c4d3a998b91a63437f768b9c305d83a74993ab8c0c7ad5fdda0656d65,,ctls,access-session.w2.ecomm-test-aks.alaskaair.com,azure,443,https://access-session.w2.ecomm-test-aks.alaskaair.com:443,https,,,GET,40.64.90.136,/,-1840324437,40.64.90.136,HSTS,1,False,True,,,,,
access.bc.alaskaair.com,Login,200,3631,AS10966,ALASKA-AIR,US,159.49.46.0/23,access.bc.alaskaair.com,443,True,tls12,TLS_RSA_WITH_AES_128_CBC_SHA,True,2022-05-26T22:02:31Z,2023-06-07T22:02:31Z,"CN=access.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",access.alaskaair.com,tukaccess.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",93003c0b806ee79c356d2005d01ed916,01ccbe3f5e195df04190cde03e00acd5792effb144b3b1445eb39a29ae1fab71,,ctls,access.bc.alaskaair.com,,443,https://access.bc.alaskaair.com:443,https,,text/html,GET,159.49.46.7,/,135719183,159.49.46.7,HSTS,102,False,,,"Alaska Airlines, Inc.",https://access.bc.alaskaair.com/dana-na/auth/url_default/welcome.cgi,,
ace-aagxidsui.w2.its-qa-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,ace-aagxidsui.w2.its-qa-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-11T19:00:49Z,2023-06-09T19:00:48Z,CN=ace-aagxidsui.w2.its-qa-aks.alaskaair.com,ace-aagxidsui.w2.its-qa-aks.alaskaair.com,ace-aagxidsui.w2.its-qa-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,976cf687fab49aa194709d3d08ed252b,0e030155de0325c082fa31154ec074866efacee94f1b972f7c7f6ab71b5e0f28,,ctls,ace-aagxidsui.w2.its-qa-aks.alaskaair.com,,443,https://ace-aagxidsui.w2.its-qa-aks.alaskaair.com:443,https,,text/html,GET,20.69.133.170,/,586998417,20.69.133.170,HSTS,14,False,,,,,,
ace-itscrypto.w2.its-qa-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,,,,,,,,,,,,,,,,,,,,,80,http://ace-itscrypto.w2.its-qa-aks.alaskaair.com:80,http,,text/html,GET,20.69.133.170,/,586998417,20.69.133.170,,14,False,,,,,,
alaskaair.com,Alaska Airlines - Flight Deals and Cheap Airline Tickets - Book Today,200,274917,AS10966,ALASKA-AIR,US,159.49.46.0/23,www.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-01-18T06:26:05Z,2024-01-31T06:26:04Z,"CN=www.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",www.alaskaair.com,alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",df7fb07e1fe7db01bfbecd25402e7a84,2d08a70780b50b6f09c63044612d527510e817a986a3069b5510067986b3bb33,,ctls,www.alaskaair.com,,80,http://alaskaair.com:80,http,,text/html,GET,159.49.47.135,/,1115653873,159.49.253.16,webpack,253,False,,,"Alaska Airlines, Inc.",https://www.alaskaair.com/,,
alaskapaysessions.alaskaair.com,,404,10,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.66.0.0/17,alaskapaysessions.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-14T11:58:23Z,2024-03-21T11:58:23Z,"CN=alaskapaysessions.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",alaskapaysessions.alaskaair.com,alaskapaysessions.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",040d545b9f5459e992aca2ea7d674b82,0563ae36418b5fa9005bc7809b9f7f1f634a8650cede87bd20f22e808fe4a788,,ctls,alaskapaysessions.alaskaair.com,azure,443,https://alaskapaysessions.alaskaair.com:443,https,,text/plain,GET,40.64.128.224,/,1864250944,40.64.128.224,Azure,2,False,True,,"Alaska Airlines, Inc.",,,
