new,host,a,aaaa,cname,soa,status_code,txt,cdn,cdn-name,ns,mx,caa
[x],10weken.valtaf.ad.nl,54.144.128.85,,www.valtaf.nl,,NOERROR,,,,,,
[x],abonnement.ad.nl,"95.101.111.144, 95.101.111.181","2a02:26f0:480:23::1726:62b6, 2a02:26f0:480:23::1726:62a7","shops.tapp.dpgmedia.cloud.edgekey.net, e115161.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],abonnementen.ad.nl,"92.123.189.88, 92.123.189.105","2a02:26f0:d8::1740:c32, 2a02:26f0:d8::1740:c43","ad.shops.tapp.dpgmedia.cloud, shops.tapp.dpgmedia.cloud.edgekey.net, e115161.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc-webshop.ad.nl,83.138.137.59,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],acc.ad.nl,"95.101.74.141, 95.101.74.152","2a02:26f0:c900:9::5f65:4a98, 2a02:26f0:c900:9::5f65:4a8d","ad.dpp.edgekey.net, e15437.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc.kcc.ad.nl,83.138.137.59,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],acc.voordeel.ad.nl,"23.3.88.35, 23.3.88.48","2a02:26f0:ab00::214:8e72, 2a02:26f0:ab00::5c7a:d72b","common2.dpp.edgekey.net, e12230.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc.webwinkel.ad.nl,83.138.137.59,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],acceptance-abonnement.ad.nl,"95.101.74.147, 95.101.74.160","2a02:26f0:c900:9::5f65:4aa0, 2a02:26f0:c900:9::5f65:4a93","shops.tapp.dpgmedia.cloud.edgekey.net, e115161.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acceptance-opzeggen.ad.nl,"104.110.240.8, 2.19.195.202","2a02:26f0:b200::58dd:1963, 2a02:26f0:b200::58dd:1968","ret.tapp.dpgmedia.cloud.edgekey.net, e123828.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],account.ad.nl,"2.16.100.35, 2.16.101.65","2a02:26f0:ee00::216:f0c1, 2a02:26f0:ee00::216:f0e1","dpgm-account.edgekey.net, e123360.dscb.akamaiedge.net, e123360.dscb.akamaiedge.net.0.1.cn.akamaiedge.net","n0cn.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accounts.ad.nl,,,"accounts-ad-nl.sslproxy.gigya.com, sslproxy.eu1.gigya.com, lb.eu1.gigya.com","dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
[x],accounts.nieuw-demo.ad.nl,,,"accounts-ad-nl.sslproxy.gigya.com, sslproxy.eu1.gigya.com, lb.eu1.gigya.com","ns-1877.awsdns-42.co.uk, awsdns-hostmaster.amazon.com, dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
[x],ad.nl,"80.239.254.40, 95.101.133.11","2001:2030:0:4e::50ef:964b, 2001:2030:0:4e::50ef:9632",,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,"detectify-verification=b23ec206c9c447b3c3d2fbc1806a1655, facebook-domain-verification=l0cpwfgmh39jmcppqnpzsavn6vfbym, persgroep-ecommerce-prod.azurewebsites.net, google-site-verification=Q6YQ64ke6TlWdZj11sHAZuRwW3ZQP_5kJe0fa-4Ibz8, MS=ms98101832, v=spf1 ip4:146.185.48.0/21 ip4:87.249.123.155 ip4:194.88.230.32/27 ip4:194.88.231.0/24 ip4:80.69.72.128/28 ip4:87.253.151.0/24 ip4:79.143.217.1/24,  ip4:87.233.195.0/24 ip4:87.233.192.0/24 ip4:217.68.27.250 ip4:217.68.27.206 include:et._spf.pardot.com include:_spf.google.com include:amazonses.com include:spf.flowmailer.net include:spf.mailjet.com ~all, aq/y8YjzqXz57FXpz4++n9aqbPvGidHtNEm1UHWbOOqBmYgkP9KzQWtk+jD9Cgembsc0OP4g3SeH4FU9TpiqyA==, amazonses:rhn3PfHSIU1aL9rljhmWkLHtTVBrjDRXlwiL6tJu/b0=, google-site-verification=ImiCz3F0ml9AuIUzmyIlpCYS18yjXhIIB9vBasN2Yew, facebook-domain-verification=qpjos3w5ewnijbdbv6v9ntfyxqccje",,,"use2.akam.net, usc2.akam.net, eur2.akam.net, eur6.akam.net, use5.akam.net, ns1-25.akam.net, ns1-125.akam.net, eur5.akam.net","alt2.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx3.googlemail.com, aspmx2.googlemail.com",
[x],adextra.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],advertorial.ad.nl,"95.101.111.151, 95.101.111.170","2a02:26f0:3500:14::1724:a24e, 2a02:26f0:3500:14::1724:a254","ad.dpp.edgekey.net, e15437.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],advertorials.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],autotrack.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],beta.verkiezingen.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],betaald.ad.nl,145.222.140.39,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],br3gje.valtaf.ad.nl,,,www.valtaf.nl,,NOERROR,,,,,,
[x],branded-content.ad.nl,178.128.243.231,,"dpg-brandedcontent.h5mag.com, ams-6.h5mag.net","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 ip4:85.222.229.53 ip6:2a02:348:b2:e535::1 ip6:2a02:348:7f:c819::1 include:_spf.google.com -all,,,,,letsencrypt.org
[x],brandedcontent.ad.nl,"23.3.88.9, 23.3.88.24, 23.3.88.66","2a02:26f0:ab00::5c7a:d730, 2a02:26f0:ab00::214:8e70","ad.dpp.edgekey.net, e15437.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],caps.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],chronisch.ad.nl,34.91.151.1,,s1.instantmagazine.com,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,True,google,,,
