new,host,soa,status_code,a,aaaa,cname,mx,ns,txt
[x],1.allegroimg.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.130,,,,,
[x],6.allegroimg.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.130,,,,,
[x],8.allegroimg.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.130,,,,,
[x],9.allegroimg.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.130,,,,,
[x],a.allegroimg.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.130,,,,,
[x],allegrostatic.com.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,,,
[x],allegrostatic.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,,,
[x],api.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.131,2a02:dcc:30::127,,,,
[x],api.wysylam.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,5.134.215.229,2a02:dc8:30::106,,,,
[x],apps.developer.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,5.134.211.91,,external-test.allegrosandbox.pl,,"dns2.allegro.pl, dns3.allegro.pl, dns1.allegro.pl",
[x],archiwum.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,5.134.211.92,2a02:dc8:30::121,allegro.pl.allegrosandbox.pl,smtp.allegro.pl,"dns1.allegro.pl, dns2.allegro.pl, dns3.allegro.pl",v=spf1 ip4:193.23.48.0/24 ip4:193.203.222.0/23 ip4:194.0.251.0/24 ip4:178.21.152.0/21 ip4:5.134.208.0/21 ip4:91.194.188.0/23 ip4:91.207.14.0/23 -all
[x],c.allegroimg.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.130,,,,,
[x],cdn.allegrostatic.com.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,5.134.211.97,,,,,
[x],com.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,,,
[x],d.allegroimg.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.130,,,,,
[x],developer.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,,,
[x],e.allegroimg.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.130,,,,,
[x],edge.enterprise.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,5.134.215.170,,,,,
[x],enterprise.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,5.134.215.169,,,,,
[x],gen-chat-call.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,5.134.211.100,,,,,
[x],konto.wysylam.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,,,
[x],pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,,,
[x],private.allegroimg.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.130,,,,"dns2.allegro.pl, dns3.allegro.pl, dns1.allegro.pl",
[x],ssl.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,5.134.211.92,,,,,
[x],static.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,5.134.211.93,,,,"dns2.allegro.pl, dns3.allegro.pl, dns1.allegro.pl",
[x],static.allegrostatic.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,5.134.211.93,,,,"dns2.allegro.pl, dns3.allegro.pl, dns1.allegro.pl",
[x],t.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.26.128,2a02:dcc:30::122,,,,
[x],uncontenting.allegroimg.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.130,,,,,
[x],upload.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.134,2a02:dc8:30::126,,,,
[x],vx54.allegroimg.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.130,,,,,
[x],wysylam.allegro.pl.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.120,2a02:dcc:30::104,,,,
,after-sales.allegrosandbox.pl,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,185.31.27.128,2a02:dcc:30::125,,,,
