new,host,a,soa,status_code,cname,ns,mx,txt,caa,aaaa,cdn,cdn-name,has_internal_ips,internal_ips
[x],0961024447.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],1.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],1001sait.amocrm.ru,23.111.85.36,"ns3-l2.nic.ru, dns.nic.ru",NOERROR,"proxy.trunk.amocrm.ru, amsterdam-proxy.trunk.amocrm.ru",,,,,,,,,
[x],23kvartiri.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],32klfjsldfjslk.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],400webprojects.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],404group.amocrm.ru,"95.213.161.42, 95.213.201.60","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfa.trunk.amocrm.ru,,,,,,,,,
[x],4lead.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],4peoplegroup.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],5111736.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],5sdigitalagency.amocrm.ru,"95.213.161.42, 95.213.201.60","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfa.trunk.amocrm.ru,,,,,,,,,
[x],70432.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],7intero.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],7prudov.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],89827740375.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],9203267636.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],a52comua.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],aartemutkin.amocrm.ru,,"ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],abelar.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],abkamo.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],abweb.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],academ.amocrm.ru,"95.213.161.42, 95.213.201.60","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfa.trunk.amocrm.ru,,,,,,,,,
[x],academicapers.amocrm.ru,"95.213.161.42, 95.213.201.60","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfa.trunk.amocrm.ru,,,,,,,,,
[x],academie.amocrm.ru,"95.213.161.42, 95.213.201.60","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfa.trunk.amocrm.ru,,,,,,,,,
[x],academylashmaker.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],acbk.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],acc520a80b99c2b5.amocrm.ru,23.111.85.36,"ns3-l2.nic.ru, dns.nic.ru",NOERROR,"proxy.trunk.amocrm.ru, amsterdam-proxy.trunk.amocrm.ru",,,,,,,,,
[x],acc5270a896873ec.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],acc5391c3032714f.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],addc.amocrm.ru,"95.213.161.42, 95.213.201.60","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfa.trunk.amocrm.ru,,,,,,,,,
[x],adminwwwebmasterru.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],admitpub.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],aduard4.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],advamokupitsantehnikuru.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],advertfocus.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],advm.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],adxxxcompany.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],aexp.amocrm.ru,"95.213.161.42, 95.213.201.60","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfa.trunk.amocrm.ru,,,,,,,,,
[x],agatakrochmal9.amocrm.com,"142.0.201.228, 64.58.114.237","ns20.digicertdns.com, dns.digicertdns.com",NOERROR,"fs.all.geo.prods.amocrm.com, cfc.trunk.amocrm.com",,,,,,,,,
[x],agentbg.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],agiotage.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],agm.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],agoracrm.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],agtech.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
