new,host,a,soa,status_code,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips,mx,ns,txt,caa
[x],backend.wilbur.schiphol.nl,40.119.156.135,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,snbvaz017blbrtrext.westeurope.cloudapp.azure.com,True,azure,,,,,,
[x],billing.schiphol.nl,40.114.219.35,"nsplus5.2is.nl, domain-admin.2is.nl",NOERROR,,,True,azure,,,,,,
[x],blog.wilbur.schiphol.nl,40.119.156.135,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,snbvaz017blbrtrext.westeurope.cloudapp.azure.com,True,azure,,,,,,
[x],blogs.wilbur.schiphol.nl,40.119.156.135,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,snbvaz017blbrtrext.westeurope.cloudapp.azure.com,True,azure,,,,,,
[x],compute.iot.schiphol.nl,20.67.126.43,"nsplus5.2is.nl, domain-admin.2is.nl",NOERROR,,,,,,,,,,
[x],daiquiri-ext-mr.iot.schiphol.nl,20.67.126.43,"nsplus5.2is.nl, domain-admin.2is.nl",NOERROR,,,,,,,,,,
[x],data.wilbur.schiphol.nl,40.119.156.135,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,snbvaz017blbrtrext.westeurope.cloudapp.azure.com,True,azure,,,,,,
[x],debugcrm.wilbur.schiphol.nl,40.119.156.135,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,snbvaz017blbrtrext.westeurope.cloudapp.azure.com,True,azure,,,,,,
[x],ldap.iot.schiphol.nl,20.67.126.43,"nsplus5.2is.nl, domain-admin.2is.nl",NOERROR,,,,,,,,,,
[x],media.wilbur.schiphol.nl,40.119.156.135,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,snbvaz017blbrtrext.westeurope.cloudapp.azure.com,True,azure,,,,,,
[x],msoid.schiphol.nl,"20.190.159.75, 20.190.159.64, 40.126.31.71, 20.190.159.71, 40.126.31.69, 40.126.31.67, 20.190.159.23, 20.190.159.4","tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",NOERROR,,"clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.akadns.net, www.tm.a.prd.aadg.trafficmanager.net",True,azure,,,,,,
[x],proxy.iot.schiphol.nl,20.67.126.43,"nsplus5.2is.nl, domain-admin.2is.nl",NOERROR,,,,,,,,,,
[x],review.iot.schiphol.nl,20.67.126.43,"nsplus5.2is.nl, domain-admin.2is.nl",NOERROR,,,,,,,,,,
