new,host,a,soa,status_code,ns,cname,cdn,cdn-name,txt,aaaa,has_internal_ips,internal_ips,mx
[x],8v3jdzq4vg-dev.arlo.com,"104.18.4.142, 104.18.5.142","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,8v3jdzq4vg-dev.arlo.com.cdn.cloudflare.net,True,cloudflare,,,,,
[x],abbott-9.arlo.com,"52.211.133.202, 52.16.54.80","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,vertex-prod-9series-1141995034.eu-west-1.elb.amazonaws.com,,,,,,,
[x],abbott.ar.arlo.com,54.75.67.163,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,vrtxLB-1048105485.eu-west-1.elb.amazonaws.com,,,,,,,
[x],acs-dev.arlo.com,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],acs-stg.arlo.com,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,docusign=90b68d29-8344-40b1-ab31-998cb40114d2,,,,
[x],acs.arlo.com,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,docusign=90b68d29-8344-40b1-ab31-998cb40114d2,,,,
[x],acs2.arlo.com,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,docusign=90b68d29-8344-40b1-ab31-998cb40114d2,,,,
[x],activate-canary.arlo.com,46.137.181.175,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlo-dealer-canary-1796496048.eu-west-1.elb.amazonaws.com,,,,,,,
[x],activate.arlo.com,18.202.113.160,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlo-dealer-22793663.eu-west-1.elb.amazonaws.com,,,,,,,
[x],activatearlo.arlo.com,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],activategoldendev-canary.arlo.com,"52.215.26.226, 52.208.172.122","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlodealer-goldendev-canary-1004556591.eu-west-1.elb.amazonaws.com,,,,,,,
[x],activategoldenqa-canary.arlo.com,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,docusign=90b68d29-8344-40b1-ab31-998cb40114d2,,,,
