new,host,a,soa,ns,status_code,aaaa,cname,mx,caa,cdn,cdn-name,txt,has_internal_ips,internal_ips
[x],0.6-polishlove1relyingparty-okta-stable.europe.autoconfig.php.assets.asana.com,"50.16.4.148, 34.226.53.8, 34.231.47.205, 34.227.129.202, 44.193.37.178, 54.152.19.51","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],00000-okta-p05.popcustomer.prf02-crw.asana.com,"44.193.37.178, 54.152.19.51, 34.226.53.8, 34.227.129.202, 34.231.47.205, 50.16.4.148","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],011d663e.deals00000-okta-idp.00.asana.com,"44.193.37.178, 54.152.19.51, 34.226.53.8, 34.227.129.202, 50.16.4.148, 34.231.47.205","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],10.86.180.25r26779819.sync.app.asana.com,"54.83.140.242, 54.208.98.190, 52.21.65.155, 18.205.32.100, 44.210.28.19, 34.198.0.228","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],10.86.180.25r26781186.sync.app.asana.com,"54.83.140.242, 54.208.98.190, 34.198.0.228, 52.21.65.155, 44.210.28.19, 18.205.32.100","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],10app.asana.com,"34.226.53.8, 44.193.37.178, 34.227.129.202, 34.231.47.205, 50.16.4.148, 54.152.19.51","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],10pp.asana.com,"34.231.47.205, 34.226.53.8, 34.227.129.202, 54.152.19.51, 50.16.4.148, 44.193.37.178","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],10ridge-okta.awslufc.us-east-1.cpair.qax.braintree.tools.asana.com,"34.226.53.8, 44.193.37.178, 34.231.47.205, 34.227.129.202, 50.16.4.148, 54.152.19.51","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],13671531.app.asana.com,"54.152.19.51, 34.226.53.8, 34.227.129.202, 34.231.47.205, 44.193.37.178, 50.16.4.148","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],15664199.app.asana.com,"50.16.4.148, 54.152.19.51, 34.226.53.8, 34.227.129.202, 34.231.47.205, 44.193.37.178","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],176.226.app.asana.com,"54.152.19.51, 44.193.37.178, 50.16.4.148, 34.227.129.202, 34.226.53.8, 34.231.47.205","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],17ommunity.asana.com,"44.193.37.178, 54.152.19.51, 34.226.53.8, 50.16.4.148, 34.227.129.202, 34.231.47.205","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],19disasterblackandwhite.app.asana.com,"34.227.129.202, 54.152.19.51, 50.16.4.148, 34.231.47.205, 34.226.53.8, 44.193.37.178","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
