new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],155-9-217-48.crmdev.bbc.com,,,,NOERROR,,,,,,,,,
[x],access.api.bbc.com,"63.32.85.18, 52.16.101.99, 34.248.196.236","access.9a8a1b7b5a50e592.xhst.bbci.co.uk, live-compo-ggux4rbefgls-7862ee8d859653f6.elb.eu-west-1.amazonaws.com","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1243.awsdns-27.org, ns-1566.awsdns-03.co.uk, ns-272.awsdns-34.com, ns-638.awsdns-15.net",,,,,
[x],access.int.api.bbc.com,"63.32.134.211, 34.243.181.43, 99.80.158.206","access.int.b92d3296d6cdb748.xhst.bbci.co.uk, int-b-compo-51uc6i87aqsv-d02c8ac5f77a2b5e.elb.eu-west-1.amazonaws.com","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],access.stage.api.bbc.com,"54.171.139.91, 54.76.58.146, 18.200.97.238","access.stage.b92d3296d6cdb748.xhst.bbci.co.uk, stage-compo-7mvikeo6osis-8898d0f9b07dd77a.elb.eu-west-1.amazonaws.com","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],access.test.api.bbc.com,"52.49.185.245, 54.76.78.114, 34.241.5.218","access.test.b92d3296d6cdb748.xhst.bbci.co.uk, test-compo-102l0372t0rtr-5c9228ed6cf09925.elb.eu-west-1.amazonaws.com","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],account.api.bbc.com,,account.c121be2a55e13acd.xhst.bbci.co.uk,"ns-195.awsdns-24.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],account.bbc.com,"212.58.244.92, 212.58.249.134",account.bbc.com.pri.bbc.com,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],account.bbc.com.pri.bbc.com,"212.58.244.215, 212.58.249.137",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],account.id.api.bbc.com,"54.72.190.99, 54.229.211.235, 52.211.97.183",account.id.c121be2a55e13acd.xhst.bbci.co.uk,"ns-195.awsdns-24.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],account.int.bbc.com,212.58.228.41,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
[x],account.stage.bbc.com,"212.58.244.175, 212.58.249.67",account.stage.bbc.com.pri.bbc.com,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],account.test.bbc.com,212.58.228.10,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
[x],accountdata.api.bbc.com,"54.73.127.223, 34.252.102.49","sarserver-blue.d918634911cdcd24.xhst.bbci.co.uk, live-sar-componen-1toig96e98v62-1675104824.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",,,,,
[x],accountdata.test.api.bbc.com,"52.17.182.99, 52.213.3.16","sarserver-blue.test.3665e16f12cd9093.xhst.bbci.co.uk, test-sar-componen-1lhi93c0knhbs-1299291046.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],activity.api.bbc.com,"63.33.91.146, 52.209.64.45, 63.35.144.56, 34.246.247.92, 54.228.171.74, 63.35.41.174","uas-a127-apiman.api.bbc.co.uk, uas-a127-apiman.live.24ca1eb415514906.xhst.bbci.co.uk, live-a127-apiman-main-alb-96752189.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],activity.stage.api.bbc.com,"54.228.55.76, 52.209.76.106","uas-a127-apiman.stage.api.bbc.co.uk, uas-a127-apiman.stage.fdca55c56af24a70.xhst.bbci.co.uk, stage-a127-apiman-main-alb-922626453.eu-west-1.elb.amazonaws.com",,NOERROR,,,,,,,,,
[x],activity.test.api.bbc.com,"18.203.78.74, 52.210.171.194","uas-a127-apiman.test.api.bbc.co.uk, uas-a127-apiman.test.fdca55c56af24a70.xhst.bbci.co.uk, test-a127-apiman-main-alb-1294954719.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],adassets-stage.bbc.com,54.229.191.68,prod-redirection-service-web-elb-1797048546.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],adassets.bbc.com,"2.16.186.200, 2.16.186.139","opsprod-adassets.bbc.com.edgekey.net, e71911.dsch.akamaiedge.net","n0dsch.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:3400::1703:5899, 2a02:26f0:3400::1703:58b9",,,,,,
[x],api-preprod.player.bbc.com,184.30.222.98,"api-preprod.player.bbc.com.edgekey.net, e19.e12.akamaiedge.net","n0e12.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.bbc.com,,,"ns-1006.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1006.awsdns-61.net, ns-111.awsdns-13.com, ns-1266.awsdns-30.org, ns-1812.awsdns-34.co.uk",,,,,
[x],api.int.bbcx.test.api.bbc.com,,d-rv1d4vzxg8.execute-api.eu-west-3.amazonaws.com,"ns-98.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.player.bbc.com,2.16.30.8,"api.player.bbc.com.edgekey.net, e19.e12.akamaiedge.net","n0e12.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.stage.bbcx.test.api.bbc.com,"35.177.12.237, 3.11.198.229",d-05s3mfed71.execute-api.eu-west-2.amazonaws.com,"ns-1937.awsdns-50.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.test.bbcx.test.api.bbc.com,"52.59.108.159, 18.157.132.171",d-zsypdt7kni.execute-api.eu-central-1.amazonaws.com,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],as.bbc.com,132.185.162.193,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
[x],astest.bbc.com,212.58.230.169,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
[x],audco.api.bbc.com,"18.66.122.44, 18.66.122.49, 18.66.122.65, 18.66.122.78",,"ns-1006.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],audco.int.api.bbc.com,"52.222.139.72, 52.222.139.2, 52.222.139.57, 52.222.139.36",,"ns-1006.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],audco.stage.api.bbc.com,"18.244.179.110, 18.244.179.2, 18.244.179.120, 18.244.179.14",,"ns-1006.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],audco.test.api.bbc.com,"18.66.112.71, 18.66.112.36, 18.66.112.114, 18.66.112.24",,"ns-1006.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],authuserv2log.topgear.bbc.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],autodiscover.bbc.com,132.185.158.46,hybrid-autodiscover.eglb.bbc.co.uk,"ns1.eglb.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
[x],bag.api.bbc.com,"34.241.35.30, 52.213.102.0, 52.50.1.208","bbc-activity-gateway.live.d918634911cdcd24.xhst.bbci.co.uk, live-bag-alb-1454353449.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bag.stage.api.bbc.com,"18.200.76.3, 54.228.25.15","bbc-activity-gateway.stage.3665e16f12cd9093.xhst.bbci.co.uk, stage-bag-alb-996068635.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bag.test.api.bbc.com,"52.215.143.175, 54.154.220.132","bbc-activity-gateway.test.3665e16f12cd9093.xhst.bbci.co.uk, test-bag-alb-977010650.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",,,,,
