input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,final_url,tech_,cdn_name,cdn,csp_domains_
access.api.bbc.com,Error,404,139,AS16509,AS16509,Unknown,63.32.0.0/14,access.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-27T10:37:49Z,2023-05-27T10:37:49Z,"CN=ck928f46k4kndkk4d8g2c2q4q2d288cd.bbc.co.uk, OU=live, O=British Broadcasting Corporation, L=London, C=GB",ck928f46k4kndkk4d8g2c2q4q2d288cd.bbc.co.uk,British Broadcasting Corporation,access.md.bbc.co.uk,"CN=Cloud Production Servers and Services, OU=FM, O=British Broadcasting Corporation, L=London, C=GB",Cloud Production Servers and Services,British Broadcasting Corporation,0b7d93239fbb971a09bf68225bc60a29,cb628d446daf3464c7cfe44dc50d31e1a9b1e8dbc1cbc62f659f87bd9ddf56ff,,ctls,access.api.bbc.com,443,https://access.api.bbc.com:443,https,Apache,text/html,GET,63.32.85.18,/,1593207841,34.248.196.236,11,False,,Apache,,,
access.stage.api.bbc.com,Error,404,139,AS16509,AS16509,Unknown,18.200.0.0/14,access.stage.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-07T13:57:08Z,2023-06-06T13:57:08Z,"CN=q9mm6ppbkc8k42hb6k2h22hf8gb8kgn6.bbc.co.uk, OU=stage, O=British Broadcasting Corporation, L=London, C=GB",q9mm6ppbkc8k42hb6k2h22hf8gb8kgn6.bbc.co.uk,British Broadcasting Corporation,access.stage.md.bbc.co.uk,"CN=Cloud Development Servers and Services, OU=FM, O=British Broadcasting Corporation, L=London, C=GB",Cloud Development Servers and Services,British Broadcasting Corporation,d9276dcaa6b8a3f9b9497125a465dd36,091dbd71b6673c84b9e1429e315457cdfe5c1b95e16f3eec941847d80e8ab295,,ctls,access.stage.api.bbc.com,443,https://access.stage.api.bbc.com:443,https,Apache,text/html,GET,18.200.97.238,/,1593207841,54.76.58.146,11,False,,Apache,,,
access.test.api.bbc.com,Error,404,139,AS16509,AS16509,Unknown,34.240.0.0/12,access.test.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-08T02:57:15Z,2023-06-07T02:57:15Z,"CN=hkq8nhqg4gg6dcc8nccmfqd6kh6kf8cm.bbc.co.uk, OU=test, O=British Broadcasting Corporation, L=London, C=GB",hkq8nhqg4gg6dcc8nccmfqd6kh6kf8cm.bbc.co.uk,British Broadcasting Corporation,access.test.md.bbc.co.uk,"CN=Cloud Development Servers and Services, OU=FM, O=British Broadcasting Corporation, L=London, C=GB",Cloud Development Servers and Services,British Broadcasting Corporation,3eb7a8d835192ae4e7e7e76b290ac2e8,a7b652b4060c4ed96ca681f7f94e42317ae6f8602b02616d04ae7aef0718d9ab,,ctls,access.test.api.bbc.com,443,https://access.test.api.bbc.com:443,https,Apache,text/html,GET,34.241.5.218,/,1593207841,52.49.185.245,11,False,,Apache,,,
account.bbc.com,BBC – Sign in,200,129144,AS2818,"BBC BBC Internet Services, UK",GB,212.58.224.0/19,account.bbc.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-02-01T14:16:06Z,2024-03-04T14:16:05Z,"CN=*.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",*.bbc.co.uk,BRITISH BROADCASTING CORPORATION,bbc.co.uk,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,0b82e8ed6fa893a33bda024115be6a7e,ab4e080c641b9b3e5ce79d3e96c0168bdf852d6ffb83d1d66bacb6d819964586,True,ctls,account.bbc.com,443,https://account.bbc.com:443,https,Apache,text/html,GET,212.58.244.93,/,-1596052821,212.58.249.135,182,False,https://account.bbc.com/signin?realm=%2F&clientId=Account&context=international&lang=ar-SA&isCasso=false&action=sign-in&redirectUri=https%3A%2F%2Fsession.bbc.co.uk%2Fsession%2Fcallback%3Frealm%3D%2F&service=IdSignInService&nonce=TPfbGDQ2-6rKr1SIraJOZ7gxc1pS48QF2NZc,HSTS,,,cdn.optimizely.com
account.bbc.com.pri.bbc.com,,404,30,AS2818,"BBC BBC Internet Services, UK",GB,212.58.224.0/19,,,,,,,,,,,,,,,,,,,,,80,http://account.bbc.com.pri.bbc.com:80,http,,text/html,GET,212.58.249.134,/,1035856272,212.58.244.92,1,False,,,,,
account.id.api.bbc.com,BBC – Sign in,200,129122,AS16509,AS16509,Unknown,52.216.72.0/24,account.bbc.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-02-01T14:16:06Z,2024-03-04T14:16:05Z,"CN=*.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",*.bbc.co.uk,BRITISH BROADCASTING CORPORATION,bbc.co.uk,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,0b82e8ed6fa893a33bda024115be6a7e,ab4e080c641b9b3e5ce79d3e96c0168bdf852d6ffb83d1d66bacb6d819964586,True,ctls,account.bbc.com,443,https://account.id.api.bbc.com:443,https,Apache,text/html,GET,52.211.97.183,/,-269740726,54.229.211.235,182,False,https://account.bbc.com/signin?realm=%2F&clientId=Account&lang=ar-SA&isCasso=false&action=sign-in&redirectUri=https%3A%2F%2Fsession.bbc.co.uk%2Fsession%2Fcallback%3Frealm%3D%2F&service=IdSignInService&nonce=2v0o2vGy-YQhV5KB4Okx4pt8fMyG5P40pBgo,HSTS,,,*.bbci.co.uk
account.int.bbc.com,BBC – Sign in,200,129336,AS2818,"BBC BBC Internet Services, UK",GB,212.58.230.0/24,account.int.bbc.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-04-14T05:36:39Z,2024-05-15T05:36:38Z,"CN=*.int.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",*.int.bbc.co.uk,BRITISH BROADCASTING CORPORATION,int.bbc.co.uk,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,96a08b5deca9215e7d13d7263beb1d04,250eccead12efa7f9b2db07a96230ace0a220c45651913bd31e5f6c7a3f169a0,True,ctls,account.int.bbc.com,443,https://account.int.bbc.com:443,https,Apache,text/html,GET,212.58.228.41,/,-1596052821,212.58.228.41,184,False,https://account.int.bbc.com/signin?realm=%2F&clientId=Account&context=international&lang=ar-SA&isCasso=false&action=sign-in&redirectUri=https%3A%2F%2Fsession.int.bbc.co.uk%2Fsession%2Fcallback%3Frealm%3D%2F&service=IdSignInService&nonce=CaPl6hLc-s3UpY02kcIuN-yQ1llTH1eOAvzQ,HSTS,,,http://*.bbc.co.uk
account.test.bbc.com,BBC – Sign in,200,129225,AS2818,"BBC BBC Internet Services, UK",GB,212.58.230.0/24,account.test.bbc.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-04-14T05:41:13Z,2024-05-15T05:41:12Z,"CN=*.test.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",*.test.bbc.co.uk,BRITISH BROADCASTING CORPORATION,test.bbc.co.uk,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,ddc5e3bca9babac593423e7995797814,1f3d5ad41575a263b67d11e88a724966bb9d4bdf51f196f810f5ab8834e56cae,True,ctls,account.test.bbc.com,443,https://account.test.bbc.com:443,https,Apache,text/html,GET,212.58.228.10,/,-1596052821,212.58.228.10,182,False,https://account.test.bbc.com/signin?realm=%2F&clientId=Account&context=international&lang=ar-SA&isCasso=false&action=sign-in&redirectUri=https%3A%2F%2Fsession.test.bbc.co.uk%2Fsession%2Fcallback%3Frealm%3D%2F&service=IdSignInService&nonce=oLdiR3FF-HZSitkqhVvSN_tzfIJjKqrvWyC8,HSTS,,,*.bbci.co.uk
activity.stage.api.bbc.com,,401,31,AS16509,AS16509,Unknown,52.216.72.0/24,activity.stage.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-11-30T14:41:02Z,2024-01-01T14:41:01Z,"CN=activity.stage.api.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",activity.stage.api.bbc.co.uk,BRITISH BROADCASTING CORPORATION,activity.int.api.bbc.co.uk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,1bbef658c7d5fda30f3e38d2d7c3255f,a2753a7934add2ce813ae6773ea0bbaf2c8e39d0798b205db94fcba076e9e612,,ctls,activity.stage.api.bbc.com,443,https://activity.stage.api.bbc.com:443,https,Apache,application/json,GET,52.209.76.106,/,-1137713913,54.228.55.76,3,False,,HSTS,,,
activity.test.api.bbc.com,,401,31,AS16509,AS16509,Unknown,52.216.72.0/24,activity.test.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-11-30T14:41:02Z,2024-01-01T14:41:01Z,"CN=activity.stage.api.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",activity.stage.api.bbc.co.uk,BRITISH BROADCASTING CORPORATION,activity.int.api.bbc.co.uk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,1bbef658c7d5fda30f3e38d2d7c3255f,a2753a7934add2ce813ae6773ea0bbaf2c8e39d0798b205db94fcba076e9e612,,ctls,activity.test.api.bbc.com,443,https://activity.test.api.bbc.com:443,https,Apache,application/json,GET,52.210.171.194,/,-1137713913,18.203.78.74,3,False,,HSTS,,,
