input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,tech_,lines,failed,cdn,tls_expired,final_url,chain_status_codes_
api.btse.com,HTTP Status 404 – Not Found,404,792,api.btse.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-06T00:00:00Z,2023-07-06T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,69e495c1716be7ec362d34ba7229db63,c57f6abef4cb9ced5ff73bf8611b9ba7b0687f416299a8ced99afadf351b02df,True,ctls,api.btse.com,cloudflare,443,https://api.btse.com:443,https,cloudflare,text/html,GET,104.18.40.153,/,116323821,Cloudflare,1,False,True,,,
assets.btse.com,,200,498,assets.btse.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2020-02-20T02:15:50Z,2020-05-20T02:15:50Z,CN=assets.btse.com,assets.btse.com,assets.btse.com,"CN=Let's Encrypt Authority X3, O=Let's Encrypt, C=US",Let's Encrypt Authority X3,Let's Encrypt,d0a3411c8fbc42c3d11a24442882fdeb,f575eb88d6676cf35745aa5c76155ad93ee51b27ce2fad2bb036b9d55a8283a4,,ctls,assets.btse.com,,80,http://assets.btse.com:80,http,nginx,text/html,GET,18.142.181.115,/,190856733,Nginx,7,False,,True,https://assets.btse.com/,200
aws-api.btse.com,HTTP Status 404 – Not Found,404,796,aws-api.btse.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-06T00:00:00Z,2023-07-06T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,69e495c1716be7ec362d34ba7229db63,c57f6abef4cb9ced5ff73bf8611b9ba7b0687f416299a8ced99afadf351b02df,True,ctls,aws-api.btse.com,,443,https://aws-api.btse.com:443,https,NWS,text/html,GET,54.168.12.102,/,116323821,,1,False,,,,
aws-ws.btse.com,403 Forbidden,403,146,aws-ws.btse.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-06T00:00:00Z,2023-07-06T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,69e495c1716be7ec362d34ba7229db63,c57f6abef4cb9ced5ff73bf8611b9ba7b0687f416299a8ced99afadf351b02df,True,ctls,aws-ws.btse.com,,443,https://aws-ws.btse.com:443,https,NWS,text/html,GET,13.114.115.91,/,1494302000,,8,False,,,,
bgpc.btse.com,BTSE | Your Favorite Crypto Exchange,200,6285,bgpc.btse.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-06T00:00:00Z,2023-07-06T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,69e495c1716be7ec362d34ba7229db63,c57f6abef4cb9ced5ff73bf8611b9ba7b0687f416299a8ced99afadf351b02df,True,ctls,bgpc.btse.com,,443,https://bgpc.btse.com:443,https,nginx,text/html,GET,1.32.214.137,/,-701593973,Vue.js,19,False,,,,
cnweb.btse.com,BTSE | Your Favorite Crypto Exchange,200,6285,cnweb.btse.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-06T00:00:00Z,2023-07-06T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,69e495c1716be7ec362d34ba7229db63,c57f6abef4cb9ced5ff73bf8611b9ba7b0687f416299a8ced99afadf351b02df,True,ctls,cnweb.btse.com,,443,https://cnweb.btse.com:443,https,nginx,text/html,GET,27.50.52.44,/,-701593973,Vue.js,19,False,,,,
enterprise.btse.com,Homepage - BTSE Enterprise Solution,200,276740,www.btsesolutions.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-10T23:59:59Z,CN=*.btsesolutions.com,*.btsesolutions.com,*.btsesolutions.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a06fc0ba555d7da876db6dfbdb7b65dd,08a4233316b041968a1fceaaca07b244ab3fcc237dfb3c049087aa1eea304648,True,ctls,www.btsesolutions.com,cloudfront,443,https://enterprise.btse.com:443,https,nginx,text/html,GET,108.138.17.34,/,1813430089,Yoast SEO:19.11,589,False,True,,https://www.btsesolutions.com,200
support.btse.com,Support : BTSE Support,200,56936,support.btse.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T04:39:08Z,2023-06-19T04:39:07Z,CN=support.btse.com,support.btse.com,support.btse.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,89ab39386c009af2382696c6f978fea6,c394af145356d30d57252884cfb9209131588db6f04434669af8cb5392ac9ed4,,ctls,support.btse.com,,443,https://support.btse.com:443,https,fwe,text/html,GET,18.213.38.67,/,-1611011004,Vue.js,871,False,,,https://support.btse.com/en/support/home,200
ws2.btse.com,403 Forbidden,403,279,ws2.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-06T00:00:00Z,2023-07-06T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,69e495c1716be7ec362d34ba7229db63,c57f6abef4cb9ced5ff73bf8611b9ba7b0687f416299a8ced99afadf351b02df,True,ctls,ws2.btse.com,incapsula,443,https://ws2.btse.com:443,https,nginx,text/html,GET,45.60.198.35,/,463388873,Nginx,8,False,True,,,
ws99.btse.com,403 Forbidden,403,146,,,,,,,,,,,,,,,,,,,,80,http://ws99.btse.com:80,http,nginx,text/html,GET,1.32.235.38,/,1494302000,Nginx,8,False,,,,
