new,host,a,soa,status_code,cdn,cdn-name,cname,aaaa,ns,mx,has_internal_ips,internal_ips,caa,txt
,1password.corp.bigcommerce.net,34.29.248.48,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,250ok.bigcommerce.net,"50.17.201.241, 34.199.50.80, 3.214.53.254, 34.232.24.18, 44.193.127.48, 107.22.45.86","ns-1787.awsdns-31.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,250analytics.com,,"ns-281.awsdns-35.com, ns-663.awsdns-18.net, ns-1398.awsdns-46.org, ns-1787.awsdns-31.co.uk",,,,,v=spf1 -all
,about.bigcommerce.com,"104.17.70.206, 104.17.74.206, 104.17.73.206, 104.17.72.206, 104.17.71.206","ns1.marketo.com, ops.localhost",NOERROR,True,cloudflare,mkto-ab150031.com,,"ns1.marketo.com, ns2.mktdns.com",,,,,
,account.bigcommerce.com,35.227.219.245,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,"manage.bigcommerce.com, shared-lb-lb1.gcp.bigcommerce.net",,,,,,,
,anemometer.bigcommerce.net,104.195.85.6,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com, dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,api.bigcommerce.com,34.96.84.189,"dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,,
,app-registry.bigcommerce.net,35.227.219.245,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,shared-lb-lb1.gcp.bigcommerce.net,,,,,,,
,apps.bigcommerce.com,35.227.219.245,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,"app-registry.bigcommerce.net, shared-lb-lb1.gcp.bigcommerce.net",,,,,,,
,apt-mirror-us-central1-lb-http.gcp.bigcommerce.net,34.107.234.176,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,apt.bigcommerce.com,34.107.234.176,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,"apt.bigcommerce.net, apt-mirror-us-central1-lb-http.gcp.bigcommerce.net",,,,,,,
,apt.bigcommerce.net,34.107.234.176,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,apt-mirror-us-central1-lb-http.gcp.bigcommerce.net,,,,,,,
,apt.gcp.bigcommerce.net,34.121.121.213,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,archer.bigcommerce.net,35.244.212.253,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,shared-lb-global-lb1.gcp.bigcommerce.net,,,,,,,
,arjun-test.corp.bigcommerce.net,34.69.113.127,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,asia-mumbai-pritunl-01.corp.bigcommerce.net,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
