new,host,a,soa,txt,status_code,ns,cdn,cdn-name,cname,aaaa,mx,caa,ptr
[x],0-113.eu.api.binance.com,"35.79.156.242, 52.199.126.139, 13.115.154.44","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,"ns-1319.awsdns-36.org, ns-1701.awsdns-20.co.uk, ns-234.awsdns-29.com, ns-735.awsdns-27.net",,,,,,,
[x],0-15.dev.api.binance.com,"35.79.156.242, 13.115.154.44, 52.199.126.139","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],0-76.us.api.binance.com,"13.115.154.44, 52.199.126.139, 35.79.156.242","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,"ns-1319.awsdns-36.org, ns-1701.awsdns-20.co.uk, ns-234.awsdns-29.com, ns-735.awsdns-27.net",,,,,,,
[x],0-78.binance.com,"13.115.154.44, 52.199.126.139, 35.79.156.242","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],0-9-0-9.binance.com,"35.79.156.242, 13.115.154.44, 52.199.126.139","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,"ns-1319.awsdns-36.org, ns-1701.awsdns-20.co.uk, ns-234.awsdns-29.com, ns-735.awsdns-27.net",,,,,,,
[x],000550-8.us.binance.com,"13.115.154.44, 52.199.126.139, 35.79.156.242","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],1-57.api.binance.com,"52.199.126.139, 35.79.156.242, 13.115.154.44","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,"ns-1319.awsdns-36.org, ns-1701.awsdns-20.co.uk, ns-234.awsdns-29.com, ns-735.awsdns-27.net",,,,,,,
[x],1-57.us.api.binance.com,"52.199.126.139, 35.79.156.242, 13.115.154.44","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],1.eu.api.binance.com,"13.115.154.44, 52.199.126.139, 35.79.156.242","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],2d6d941641670324477530.binance.com,"35.79.156.242, 52.199.126.139, 13.115.154.44","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,"ns-1319.awsdns-36.org, ns-1701.awsdns-20.co.uk, ns-234.awsdns-29.com, ns-735.awsdns-27.net",,,,,,,
[x],36-cyspk12cwx1tl0.ht.binance.com,"52.199.126.139, 13.115.154.44, 35.79.156.242","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],78.binance.com,"13.115.154.44, 52.199.126.139, 35.79.156.242","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],abi80.binance.com,"13.115.154.44, 52.199.126.139, 35.79.156.242","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],about.test.us.binance.com,"35.79.156.242, 13.115.154.44, 52.199.126.139","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],ap-48.dev.binance.com,"13.115.154.44, 52.199.126.139, 35.79.156.242","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],api74.dev.binance.com,"35.79.156.242, 13.115.154.44, 52.199.126.139","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,"ns-1319.awsdns-36.org, ns-1701.awsdns-20.co.uk, ns-234.awsdns-29.com, ns-735.awsdns-27.net",,,,,,,
[x],ftp00.dev.binance.com,"13.115.154.44, 52.199.126.139, 35.79.156.242","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],ftp59.dev.binance.com,"52.199.126.139, 13.115.154.44, 35.79.156.242","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],i03-16.binance.com,"35.79.156.242, 52.199.126.139, 13.115.154.44","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],info-69.labs.binance.com,"35.79.156.242, 13.115.154.44, 52.199.126.139","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],kgk3m1l.labs.binance.com,"35.79.156.242, 13.115.154.44, 52.199.126.139","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,"ns-1319.awsdns-36.org, ns-1701.awsdns-20.co.uk, ns-234.awsdns-29.com, ns-735.awsdns-27.net",,,,,,,
[x],nd89466.binance.com,"35.79.156.242, 13.115.154.44, 52.199.126.139","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],sub-166-140-137.binance.com,"52.199.126.139, 35.79.156.242, 13.115.154.44","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],sub-166-144-250.binance.com,"13.115.154.44, 52.199.126.139, 35.79.156.242","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
[x],sub-97-29-48.binance.com,"13.115.154.44, 35.79.156.242, 52.199.126.139","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",dobbmei4jnjlh.cloudfront.net,NOERROR,,,,,,,,
