new,host,a,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,caa
[x],affiliates.bitget.com,"104.18.8.145, 104.18.9.145",affiliates.bitget.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],api.bitget.com,"104.18.8.145, 104.18.9.145",api.bitget.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],bitget.com,"104.18.8.145, 104.18.9.145",,"ns-777.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,"ns-1617.awsdns-10.co.uk, ns-1413.awsdns-48.org, ns-777.awsdns-33.net, ns-490.awsdns-61.com","ig3ycgnrurdmwgpezfydpl7nu34ylkdmbufxdngnxybjem4jxlta.mx-verification.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, alt3.aspmx.l.google.com, alt1.aspmx.l.google.com","google-site-verification=Z44TqXhtBiU6tBSlmQPSCwpYXsO6H-MfceixPV-HY04, v=spf1 ip4:3.115.135.230 include:_spf.google.com include:zcsend.net ~all, google-site-verification=G0h09yAY3IGAgVqOZk9t9ibgfcgQ2JbeWrHlhXqPXxY",
[x],blog.bitget.com,"104.18.9.145, 104.18.8.145","www.bitget.com, www.bitget.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],bonus.bitget.com,"104.18.8.145, 104.18.9.145",bonus.bitget.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],capi.bitget.com,"104.18.8.145, 104.18.9.145",capi.bitget.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],contract-websocket.bitget.com,"104.18.8.145, 104.18.9.145",contract-websocket.bitget.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],h5.bitget.com,"104.18.9.145, 104.18.8.145",h5.bitget.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],m.bitget.com,"104.18.9.145, 104.18.8.145",m.bitget.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],mta-sts.bitget.com,"104.18.8.145, 104.18.9.145",mta-sts.bitget.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],static.bitget.com,"13.32.121.127, 13.32.121.117, 13.32.121.121, 13.32.121.47",d3ewj2z9horrdt.cloudfront.net,"ns-324.awsdns-40.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-324.awsdns-40.com, ns-735.awsdns-27.net, ns-1195.awsdns-21.org, ns-1667.awsdns-16.co.uk",,,
[x],stream.bitget.com,"104.18.9.145, 104.18.8.145",stream.bitget.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],support.bitget.com,"104.18.9.145, 104.18.8.145",support.bitget.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],url743.promo.bitget.com,"167.89.118.52, 167.89.123.124, 167.89.123.54, 167.89.118.83",sendgrid.net,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,"ns12.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns13.dnsmadeeasy.com","mx2.sendgrid.net, mx.sendgrid.net","google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, p8bnb2lp424dkl3c4io1aemiei, mailru-verification: 2e3995fa8a7d00e0, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all","amazonaws.com, godaddy.com"
[x],web3.bitget.com,"104.18.9.145, 104.18.8.145",web3.bitget.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],www.bitget.com,"104.18.8.145, 104.18.9.145",www.bitget.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
