new,host,soa,status_code,a,aaaa,cdn,cdn-name,cname,mx,ns,txt,caa
[x],admin.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.12.33, 104.18.13.33","2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
[x],adr.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.12.33, 104.18.13.33","2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
[x],api.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6812:d21, 2606:4700::6812:c21",True,cloudflare,,,,,
[x],assets.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.33, 104.18.12.33","2606:4700::6812:d21, 2606:4700::6812:c21",True,cloudflare,,,,,
[x],bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,199.232.194.22,,True,fastly,,"alt1.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","igor.ns.cloudflare.com, rose.ns.cloudflare.com","v=spf1 include:spf.braintreegateway.com include:_spf.google.com include:amazonses.com include:_spf.freshsales.io include:22371289.spf07.hubspotemail.net -all, h1-domain-verification=qhyNWpPNpjZeDLwbHo51AG1rqfQPD5qG9R8hvCmAdPB82MKQ, google-site-verification=02PtJycFi417SDMgi-3vPDRsgJP98CCWVXdenimqMv0, MS=ms10313433, h1-domain-verification=EjLrcRwtpQU1iHokYvvNt79uhuwHR92BxrRG6pmohr1w5fk7, brave-ledger-verification=f8b96f2d0f5fd1db7ac8753f8d38b219911e5d32b0f955537479416ac5f53a20, MS=C8E6AF80F5B0DD0B5AD483EDFDB8C55CB3A9B468",
[x],blog.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.33, 104.18.12.33","2606:4700::6812:d21, 2606:4700::6812:c21",True,cloudflare,,,,,
[x],calendar.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.12.33, 104.18.13.33","2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
[x],cdn.bitwarden.com,"ns1.taucdn.net, noc.edgecast.com",NOERROR,152.195.19.97,2606:2800:11f:1cb7:261b:1f9c:2074:3c,,,"bitwarden.azureedge.net, bitwarden.ec.azureedge.net, scdn1.wpc.361ff.taucdn.net, sni1gl.wpc.taucdn.net",,,,
[x],cdn.qa.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],community.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.12.33, 104.18.13.33","2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
[x],company.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.12.33, 104.18.13.33","2606:4700::6812:d21, 2606:4700::6812:c21",True,cloudflare,,,,,
[x],components.bitwarden.com,"ns-314.awsdns-39.com, awsdns-hostmaster.amazon.com",NOERROR,34.120.230.5,,True,google,"domains.chromatic.com, chromatic.domains.qloaked.com",,,,
[x],contributing-internal.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],contributing.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.12.33, 104.18.13.33","2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
[x],dd.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],demo.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.33, 104.18.12.33","2606:4700::6812:d21, 2606:4700::6812:c21",True,cloudflare,,,,,
[x],events.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.33, 104.18.12.33","2606:4700::6812:d21, 2606:4700::6812:c21",True,cloudflare,,,,,
[x],fmtrack1.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
[x],fmtracks.bitwarden.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.66, 13.225.78.100, 13.225.78.26, 13.225.78.11",,True,cloudfront,fmts553829.freshemail.io,,,,
[x],forms.bitwarden.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.22.9, 104.18.23.9",,True,cloudflare,"customdomain.typeform.com, customdomain.typeform.com.cdn.cloudflare.net",,,,
[x],func.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.98.229, 188.114.99.229","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",True,cloudflare,,,,,
[x],get.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.12.33, 104.18.13.33","2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
