new,host,a,soa,status_code,has_internal_ips,internal_ips,txt,aaaa,ns,cdn,cdn-name,mx,caa,cname,ptr
[x],chatapi.bluehost.com,184.173.59.123,"ns-1673.awsdns-17.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,chatapi.unified-contact.com,
[x],desk.cn.bluehost.com,119.9.73.104,"lee.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],devel.br.bluehost.com,65.254.226.173,"dns4.directi.com, domain.manager.directi.com",NOERROR,,,,,,,,,,,
[x],host42.bluehost.com,74.220.202.42,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:hostmonster.com ~all,,,,,,,host42.hostmonster.com,
[x],mysql.chat.bluehost.com,67.20.126.244,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],pop.cn.bluehost.com,"162.215.3.40, 162.215.3.36, 162.215.2.36, 162.215.2.38, 162.215.3.38","andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,us2.pop.mailhostbox.com,
[x],smtp.cn.bluehost.com,"208.91.199.224, 208.91.199.225, 208.91.199.223, 208.91.198.143","andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,us2.smtp.mailhostbox.com,
[x],webmail.cn.bluehost.com,"162.215.3.14, 162.215.2.16, 162.215.3.16, 162.215.2.14","andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,us3.webmail.mailhostbox.com,
,admin.cn.bluehost.com,"45.113.123.45, 45.113.123.46","lee.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,admin.in.bluehost.com,103.76.229.22,"lee.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,admingateway.bluehost.com,74.220.198.34,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,ads.beta.bluehost.in,69.195.127.165,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,mail.bluehost.in,,beta.bluehost.in,
,ads.bluehost.com,,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,affiliates.cn.bluehost.com,"104.18.9.104, 104.18.8.104","lee.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:968, 2606:4700::6812:868",,True,cloudflare,,,,
,alphamains.bluehost.com,,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,alphausers.bluehost.com,67.20.126.205,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,alt-forward-eb.bluehost.com,66.147.243.31,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,alt-proxies.bluehost.com,74.220.195.23,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,alteon.bluehost.com,74.220.195.24,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
