new,host,soa,status_code,txt,a,has_internal_ips,internal_ips,cname,caa,ns,cdn,cdn-name,aaaa,mx
[x],asset-management.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,,"10.10.131.18, 10.10.134.101",True,"10.10.131.18, 10.10.134.101",,,,,,,
[x],auth-test.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"104.20.6.68, 104.20.7.68",,,,,,True,cloudflare,"2606:4700:10::6814:744, 2606:4700:10::6814:644",
[x],crowdmatch.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,,"3.208.108.238, 35.174.246.227",,,,,,,,,
[x],gateway.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,,"54.198.9.86, 50.16.178.17, 3.234.191.178, 18.206.113.38, 52.200.227.73",,,,,,,,,
[x],gsemail.bugcrowd.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 ip4:168.245.42.152 -all,,,,u5511678.wl179.sendgrid.net,,,,,,mx.sendgrid.net
[x],identity.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"104.20.7.68, 104.20.6.68",,,,,,True,cloudflare,"2606:4700:10::6814:744, 2606:4700:10::6814:644",
[x],payments.bugcrowd.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 ip4:159.183.223.14 ip4:167.89.105.42 -all,,,,u2306935.wl186.sendgrid.net,,,,,,mx.sendgrid.net
[x],proxilate-internal.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,,"10.10.51.155, 10.10.50.10",True,"10.10.51.155, 10.10.50.10",,,,,,,
[x],rainbow-bridge.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"104.20.7.68, 104.20.6.68",,,,,,True,cloudflare,"2606:4700:10::6814:744, 2606:4700:10::6814:644",
[x],transporter-auth.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,,"10.10.128.63, 10.10.134.17, 10.10.137.120, 10.10.131.113, 10.10.132.230",True,"10.10.128.63, 10.10.134.17, 10.10.137.120, 10.10.131.113, 10.10.132.230",,,"ns-1008.awsdns-62.net, ns-1318.awsdns-36.org, ns-1548.awsdns-01.co.uk, ns-161.awsdns-20.com",,,,
[x],wallet.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,,"18.210.228.113, 54.145.237.52",,,,,,,,,
,a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-1008.awsdns-62.net, ns-1318.awsdns-36.org, ns-1548.awsdns-01.co.uk, ns-161.awsdns-20.com",,,,
,api.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"104.20.6.68, 104.20.7.68",,,,,,True,cloudflare,"2606:4700:10::6814:644, 2606:4700:10::6814:744",
,blog.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,"104.20.6.68, 104.20.7.68",,,,,,True,cloudflare,"2606:4700:10::6814:644, 2606:4700:10::6814:744",
,bounce.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 include:mktomail.com -all,192.28.152.174,,,,,,,,,bounce.bugcrowd.com
,bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"wrike-verification=MTg4MjU5MDoyNzA0MDMyMWM0ZGZjMTg2NTA2OGUzODlhY2NjZTI5ZGUwZTBiMDJkZGJkMzY1NmM0ZmYwYjkzYzg2ODRjNTQx, D480DD4EEF, MS=ms55980092, ZOOM_verify_7ot2EXhFeAuW4ZgjhyUDtG, apple-domain-verification=HTp26NWCG6qqHI8o, atlassian-domain-verification=KKmp5w8EmehK/hb8ZF8rFyhQKPa/EVasC+QlgIyUo3oq89YzD7X39HCRHz2AGyMS, fastly-domain-delegation-ddmc453781-453781-2021-12-14, google-site-verification=ZDwdop0XQ15H8mgv3CtU2aTscimI5PHUYl_CrRXbW-g, google-site-verification=zXuOp325RKMNZBAvKr6ig1AZCN6_nB1Bdv0E8Ds55Us, logmein-verification-code=6af8fa3b-aa61-4933-9990-496dc799dc21, mgverify=313bf53899e095308528919164fef8f56256058ef82ab0905bcc202c6747fc0f, twilio-domain-verification=eea67cadd44cb508bcbd67be86e2aa74, v=spf1 include:_spf.google.com include:spf.mail.intercom.io include:amazonses.com -all","104.20.6.68, 104.20.7.68",,,,,"edna.ns.cloudflare.com, lee.ns.cloudflare.com",True,cloudflare,"2606:4700:10::6814:744, 2606:4700:10::6814:644","alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com"
,collateral.bugcrowd.com,"ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,"52.1.10.65, 54.82.94.141, 54.204.178.190",,,"bugcrowd.outrch.com, 00af771c-feb9-4bff-948e-6330135be8ae.outrch.com, app2a.outrch.com",letsencrypt.org,,,,,
