new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,ns,caa
,android-build-output.caffeine.tv,142.250.186.179,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4001:802::2013,,,,
,api-sam.development.caffeine.tv,"13.225.78.124, 13.225.78.79, 13.225.78.15, 13.225.78.85",d16x6372ho5q6o.cloudfront.net,"ns-752.awsdns-30.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,"ns-1252.awsdns-28.org, ns-1794.awsdns-32.co.uk, ns-752.awsdns-30.net, ns-343.awsdns-42.com",
,api-sam.staging.caffeine.tv,"18.66.112.121, 18.66.112.21, 18.66.112.103, 18.66.112.104",d1qixklx3fzr7j.cloudfront.net,"ns-491.awsdns-61.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,
,api.caffeine.tv,"35.163.241.190, 54.244.132.37, 34.216.48.206, 52.42.167.40",api.mesh.prd.prd.ethos.usw2.ctv.gg,"ns-1423.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,api.ckousik.staging.caffeine.tv,,,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"heritage=external-dns,external-dns/owner=eks-staging.caffeine.tv.,external-dns/resource=service/istio-system/istio-ingressgateway",,,
,api.development.caffeine.tv,"52.32.65.108, 35.162.21.98, 35.83.85.23",api.mesh.dev-us-west-2.ethos.ctv.gg,"ns-1663.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,api.kyleparrott.staging.caffeine.tv,,,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"heritage=external-dns,external-dns/owner=eks-staging.caffeine.tv.,external-dns/resource=service/istio-system/istio-ingressgateway",,,
,api.staging.caffeine.tv,"35.86.5.63, 52.34.220.49, 44.233.158.63, 54.214.77.53",api.mesh.stg.stg.ethos.usw2.ctv.gg,"ns-1163.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,argos.caffeine.tv,"35.163.241.190, 34.216.48.206, 52.42.167.40, 54.244.132.37",argos.mesh.prd.prd.ethos.usw2.ctv.gg,"ns-1423.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,argos.staging.caffeine.tv,"35.86.5.63, 44.233.158.63, 54.214.77.53, 52.34.220.49",argos.mesh.stg.stg.ethos.usw2.ctv.gg,"ns-1163.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
