input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_subject_org_
android-build-output.caffeine.tv,Anmelden – Google Konten,,104975,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://android-build-output.caffeine.tv:443,https,GSE,text/html,GET,142.250.184.243,OpenGSE,1893,,
api-sam.caffeine.tv,ERROR: The request could not be satisfied,,507,api-sam.caffeine.tv,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,CN=api-sam.caffeine.tv,api-sam.caffeine.tv,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,api-sam.caffeine.tv,443,https://api-sam.caffeine.tv:443,https,CloudFront,text/html,GET,13.225.78.127,Amazon Web Services,16,True,
api-sam.development.caffeine.tv,ERROR: The request could not be satisfied,,507,api-sam.development.caffeine.tv,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,CN=api-sam.development.caffeine.tv,api-sam.development.caffeine.tv,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,api-sam.development.caffeine.tv,443,https://api-sam.development.caffeine.tv:443,https,CloudFront,text/html,GET,13.225.78.85,Amazon Web Services,16,True,
api.caffeine.tv,,,,api.caffeine.tv,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-29T16:31:53Z,CN=api.caffeine.tv,api.caffeine.tv,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,api.caffeine.tv,443,https://api.caffeine.tv:443,https,istio-envoy,,GET,34.216.48.206,,1,,
api.development.caffeine.tv,,,,,,,,,,,,,,,,80,http://api.development.caffeine.tv:80,http,istio-envoy,,GET,35.162.21.98,,1,,
api.staging.caffeine.tv,,,,api.staging.caffeine.tv,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-24T15:36:58Z,CN=api.staging.caffeine.tv,api.staging.caffeine.tv,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,api.staging.caffeine.tv,443,https://api.staging.caffeine.tv:443,https,istio-envoy,,GET,52.34.220.49,,1,,
argos.staging.caffeine.tv,Sign In,,8193,argos.mesh.stg.stg.ethos.usw2.ctv.gg,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-23T16:48:05Z,CN=argos.mesh.stg.stg.ethos.usw2.ctv.gg,argos.mesh.stg.stg.ethos.usw2.ctv.gg,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,argos.mesh.stg.stg.ethos.usw2.ctv.gg,443,https://argos.staging.caffeine.tv:443,https,istio-envoy,text/html,GET,54.214.77.53,Envoy,76,,
assets.caffeine.tv,404,,160,assets.caffeine.tv,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-09T22:42:11Z,CN=*.caffeine.tv,*.caffeine.tv,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ctls,assets.caffeine.tv,443,https://assets.caffeine.tv:443,https,Varnish,text/html,GET,151.101.2.49,Varnish,11,True,
beta.caffeine.tv,ERROR: The request could not be satisfied,,919,beta.caffeine.tv,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,CN=caffeine.tv,caffeine.tv,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,beta.caffeine.tv,443,https://beta.caffeine.tv:443,https,CloudFront,text/html,GET,18.66.171.74,Amazon Web Services,20,True,
broadcaster-admin.caffeine.tv,Anmelden – Google Konten,,95833,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://broadcaster-admin.caffeine.tv:443,https,GSE,text/html,GET,142.250.184.211,OpenGSE,1494,,
brt.caffeine.tv,Anmelden – Google Konten,,114593,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://brt.caffeine.tv:443,https,GSE,text/html,GET,142.250.184.243,OpenGSE,1925,,
caffeine.tv,,,22787,www.caffeine.tv,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-09T22:42:11Z,CN=*.caffeine.tv,*.caffeine.tv,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ctls,www.caffeine.tv,443,https://caffeine.tv:443,https,AmazonS3,text/html,GET,18.66.97.30,Varnish,257,True,
chromecast.caffeine.tv,,,255,chromecast.caffeine.tv,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,CN=chromecast.caffeine.tv,chromecast.caffeine.tv,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,chromecast.caffeine.tv,443,https://chromecast.caffeine.tv:443,https,AmazonS3,application/xml,GET,99.86.4.96,Amazon Web Services,2,True,
chromecast.development.caffeine.tv,,,255,chromecast.development.caffeine.tv,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-17T00:00:00Z,CN=chromecast.development.caffeine.tv,chromecast.development.caffeine.tv,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,chromecast.development.caffeine.tv,443,https://chromecast.development.caffeine.tv:443,https,AmazonS3,application/xml,GET,13.225.78.36,Amazon Web Services,2,True,
chromecast.staging.caffeine.tv,,,243,chromecast.staging.caffeine.tv,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,CN=staging.caffeine.tv,staging.caffeine.tv,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,chromecast.staging.caffeine.tv,443,https://chromecast.staging.caffeine.tv:443,https,AmazonS3,application/xml,GET,13.32.99.17,Amazon Web Services,2,True,
community-dashboard.caffeine.tv,Anmelden – Google Konten,,104737,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://community-dashboard.caffeine.tv:443,https,GSE,text/html,GET,172.217.23.115,OpenGSE,1885,,
community-dashboard.staging.caffeine.tv,Anmelden – Google Konten,,104525,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://community-dashboard.staging.caffeine.tv:443,https,GSE,text/html,GET,142.250.184.243,OpenGSE,1885,,
content-guide-editor.staging.caffeine.tv,Sign in - Google Accounts,,585924,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://content-guide-editor.staging.caffeine.tv:443,https,ESF,text/html,GET,172.217.18.19,HTTP/3,46,,
cpp.caffeine.tv,Caffeine Partner Portal,,1343,cpp.caffeine.tv,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-09T22:42:11Z,CN=*.caffeine.tv,*.caffeine.tv,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ctls,cpp.caffeine.tv,443,https://cpp.caffeine.tv:443,https,AmazonS3,text/html,GET,151.101.2.49,Varnish,1,True,
digital-item-editor.caffeine.tv,Sign in - Google Accounts,,588036,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://digital-item-editor.caffeine.tv:443,https,ESF,text/html,GET,142.250.185.115,HTTP/3,46,,
docs.caffeine.tv,Anmelden – Google Konten,,95877,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://docs.caffeine.tv:443,https,GSE,text/html,GET,172.217.18.115,OpenGSE,1494,,
engineering-library.caffeine.tv,Anmelden – Google Konten,,104853,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://engineering-library.caffeine.tv:443,https,GSE,text/html,GET,142.250.184.211,OpenGSE,1885,,
events.caffeine.tv,404: Not Found,,69,events.caffeine.tv,443,tls13,TLS_AES_256_GCM_SHA384,2023-05-02T04:12:47Z,CN=events.caffeine.tv,events.caffeine.tv,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,events.caffeine.tv,443,https://events.caffeine.tv:443,https,istio-envoy,text/html,GET,34.216.48.206,Envoy,1,,
events.staging.caffeine.tv,404: Not Found,,69,events.staging.caffeine.tv,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-02T15:12:42Z,CN=events.staging.caffeine.tv,events.staging.caffeine.tv,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,events.staging.caffeine.tv,443,https://events.staging.caffeine.tv:443,https,istio-envoy,text/html,GET,44.233.158.63,Envoy,1,,
fremont-15-0.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-15-0.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.39.12,Nginx,21,,
fremont-15-1.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-15-1.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.39.4,Nginx,21,,
fremont-18-2.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-18-2.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.40.140,Nginx,21,,
fremont-18-3.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-18-3.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.56.116,Nginx,21,,
fremont-18-4.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-18-4.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.56.20,Nginx,21,,
fremont-18-5.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-18-5.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.56.28,Nginx,21,,
fremont-18-6.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-18-6.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.40.156,Nginx,21,,
fremont-18-7.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-18-7.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.40.132,Nginx,21,,
fremont-18-8.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-18-8.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.56.100,Nginx,21,,
fremont-18-9.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-18-9.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.56.108,Nginx,21,,
fremont-18.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-18.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.56.28,Nginx,21,,
fremont-19-0.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-19-0.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.56.84,Nginx,21,,
fremont-19-2.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-19-2.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.56.52,Nginx,21,,
fremont-19-3.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-19-3.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.56.156,Nginx,21,,
fremont-19-4.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-19-4.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.56.60,Nginx,21,,
fremont-19-5.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-19-5.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.56.164,Nginx,21,,
fremont-19-6.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-19-6.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.56.180,Nginx,21,,
fremont-19-7.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-19-7.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.56.12,Nginx,21,,
fremont-19-8.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-19-8.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.59.92,Nginx,21,,
fremont-19-9.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-19-9.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.59.100,Nginx,21,,
fremont-19.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-19.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.59.100,Nginx,21,,
fremont-23-0.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-23-0.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.14.76,Nginx,21,,
fremont-23-1.rtcdn.caffeine.tv,localhost,,455,,,,,,,,,,,,,80,http://fremont-23-1.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.19.60,Nginx,21,,
fremont-23-4.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-23-4.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.15.100,Nginx,21,,
fremont-23-6.rtcdn.caffeine.tv,localhost,,465,,,,,,,,,,,,,80,http://fremont-23-6.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.15.92,Nginx,21,,
