new,host,a,aaaa,cname,soa,caa,status_code,cdn,cdn-name,mx,ns,txt
[x],ablinks.notifications.verse.me,35.241.43.191,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],admin.taxes.cashstaging.app,34.98.102.201,,admin.usc1.taxes.cashstaging.app,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],admin.usc1.taxes.cash.app,35.244.166.83,,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],admin.usc1.taxes.cashstaging.app,34.98.102.201,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],ai.cash.app,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8000::153",square.github.io,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com","digicert.com, letsencrypt.org",NOERROR,,,,,
[x],ambassadors.joinverse.com,35.241.43.191,,joinverse.com,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com","facebook-domain-verification=zascw6tv8r91fzle6fh1qn591ew7dx, v=spf1 include:mail.zendesk.com include:_spf.google.com ~all"
[x],ambassadors.verse.me,35.241.43.191,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],api.cashstaging.app,146.75.118.133,,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,,,
[x],api.taxes.cash.app,34.102.166.121,,api.usc1.taxes.cash.app,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],api.taxes.cashstaging.app,34.117.5.177,,api.usc1.taxes.cashstaging.app,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],api.usc1.taxes.cashstaging.app,34.117.5.177,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],app.joinverse.com,35.227.245.106,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],apparel-supporter.cash.app,146.75.122.133,,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,,"ns1.fastly.net, ns2.fastly.net, ns3.fastly.net, ns4.fastly.net",
[x],apparel-supporter.cashstaging.app,146.75.122.133,,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,,"ns1.fastly.net, ns2.fastly.net, ns3.fastly.net, ns4.fastly.net",
[x],beta.admin.taxes.cashstaging.app,34.117.111.114,,beta.admin.usc1.taxes.cashstaging.app,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],beta.admin.usc1.taxes.cashstaging.app,34.117.111.114,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],beta.api.taxes.cashstaging.app,34.149.107.237,,beta.api.usc1.taxes.cashstaging.app,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],beta.api.usc1.taxes.cashstaging.app,34.149.107.237,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],beta.collector.usc1.taxes.cashstaging.app,34.96.115.80,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],beta.taxes.cashstaging.app,34.111.46.38,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],beta.verse.events,35.244.131.225,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,"ns-cloud-a3.googledomains.com, ns-cloud-a4.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a2.googledomains.com",
[x],business.verse.me,35.190.80.61,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
