new,host,a,aaaa,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,cname,ns,txt,mx,caa
[x],1pass-scim.casper.tools,"3.211.161.65, 34.199.17.24",,"ns-1466.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1466.awsdns-55.org, ns-1549.awsdns-01.co.uk, ns-211.awsdns-26.com, ns-935.awsdns-52.net",,,
[x],b2b.casper.com,"104.16.205.66, 104.16.158.76","2606:4700::6810:9e4c, 2606:4700::6810:cd42","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],bedpost-db.casper.tools,10.4.0.180,,"ns-1420.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.4.0.180,bedpost-production-db.c55gcvab8oko.us-east-1.rds.amazonaws.com,,,,
[x],bedpost.casper.com,"35.175.85.62, 54.165.254.233",,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,tf-lb-009175c556e4db77b315fb8b2d-13841987.us-east-1.elb.amazonaws.com,,,,
[x],bedpost.casper.tools,"35.175.85.62, 54.165.254.233",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],blog-staging.casper.com,45.55.40.98,,"rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],ca-stores.casper.com,"104.18.116.52, 104.18.113.52, 104.18.112.52, 104.18.114.52, 104.18.115.52","2606:4700::6812:7134, 2606:4700::6812:7334, 2606:4700::6812:7034, 2606:4700::6812:7434, 2606:4700::6812:7234","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,"ca-stores.casper.com.sitescdn.net, cdn-ac-ff.sitescdn.net, cloudflare.sitescdn.net, cloudflare.sitescdn.net.cdn.cloudflare.net",,,,
[x],casper.com,"104.16.205.66, 104.16.158.76","2606:4700::6810:cd42, 2606:4700::6810:9e4c","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,"vera.ns.cloudflare.com, rick.ns.cloudflare.com",,"aspmx3.googlemail.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com","letsencrypt.org, comodoca.com, pki.goog; cansignhttpexchanges=yes, digicert.com; cansignhttpexchanges=yes"
[x],casper.tools,,,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],click.mail.casper.com,13.111.165.147,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],docs.casper.tools,"52.216.217.173, 52.216.92.250, 54.231.236.37, 52.216.146.234, 52.216.54.37, 52.216.41.189, 54.231.196.85, 52.217.160.5",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1060.awsdns-04.org, ns-1597.awsdns-07.co.uk, ns-523.awsdns-01.net, ns-93.awsdns-11.com",,,
[x],eeserv.casper.tools,"10.10.101.98, 10.10.101.100",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.10.101.98, 10.10.101.100",,,,,
[x],email.gh-mail.casper.com,"104.16.158.76, 104.16.205.66","2606:4700::6810:9e4c, 2606:4700::6810:cd42","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],enterpriseenrollment.casper.com,13.74.111.192,,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com",,,,
[x],enterpriseregistration.casper.com,20.190.137.40,,"tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",NOERROR,True,azure,,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net, www.tm.prd.adrs.trafficmanager.net",,,,
[x],help.casper.com,"2.16.241.98, 2.16.241.86","2a02:26f0:480:d::210:f162, 2a02:26f0:480:d::210:f156","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,"help.casper.com.00d1n000002b2y8uai.live.siteforce.com, sdc.prod.communities.salesforce.cdn.edgekey.net, e78038.dsca.akamaiedge.net",,00d1n000002b2y8uai,,
[x],image.mail.casper.com,"104.126.37.176, 104.126.37.169","2a02:26f0:3500:1b::1724:a38b, 2a02:26f0:3500:1b::1724:a398","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,"akamai-san153.exacttarget.com.edgekey.net, e124138.dscx.akamaiedge.net",,,,
[x],internal-mulesoft.casper.com,"10.11.11.145, 10.11.9.239",,"ns-1268.awsdns-30.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.11.11.145, 10.11.9.239",internal-casper-lb.lb.anypointdns.net,,,,
[x],ir.casper.com,"151.101.65.131, 151.101.129.131, 151.101.1.131, 151.101.193.131",,"rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,fastly,,,,,l7gzwrtdc0mzt07qnxh9f2njys5bb7ns,,
[x],jdesso1.casper.com,10.6.2.185,,"rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,10.6.2.185,,,,,
[x],jupyterhub.casper.tools,,,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],legacy.casper.com,"151.101.65.131, 151.101.129.131, 151.101.193.131, 151.101.1.131",,"rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,fastly,,,,,,,
[x],localhost.mail.casper.com,127.0.0.1,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,True,127.0.0.1,,,,,
[x],magasins.casper.com,"104.18.115.52, 104.18.116.52, 104.18.114.52, 104.18.113.52, 104.18.112.52","2606:4700::6812:7134, 2606:4700::6812:7034, 2606:4700::6812:7234, 2606:4700::6812:7434, 2606:4700::6812:7334","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,"magasins.casper.com.sitescdn.net, cdn-ac-ff.sitescdn.net, cloudflare.sitescdn.net, cloudflare.sitescdn.net.cdn.cloudflare.net",,,,
[x],mta.mail.casper.com,136.147.185.207,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],mulesoft.casper.com,,,,NOERROR,,,,,,,rcswv4708fb1mf4xx2nc6t408kmnbg6k,,
[x],new.casper.com,"104.16.205.66, 104.16.158.76","2606:4700::6810:cd42, 2606:4700::6810:9e4c","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],night-owl.casper.tools,"13.32.121.78, 13.32.121.47, 13.32.121.46, 13.32.121.80",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],operator.casper.tools,"34.235.102.117, 52.21.87.120",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ops.casper.tools,"13.32.121.80, 13.32.121.46, 13.32.121.78, 13.32.121.47",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],pages.mail.casper.com,13.111.164.222,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],pos.casper.tools,"10.4.0.34, 10.4.0.69",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.4.0.34, 10.4.0.69",,,,,
[x],pos2.casper.tools,"52.85.242.61, 52.85.242.112, 52.85.242.63, 52.85.242.123",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],quietrooms.casper.com,"151.101.65.131, 151.101.193.131, 151.101.1.131, 151.101.129.131",,"rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,fastly,,,,,,,
[x],redash.casper.tools,"54.236.176.89, 3.88.120.121",,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,redash-alpha-2-528674010.us-east-1.elb.amazonaws.com,,,,
