input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_org_,tls_wildcard_certificate,final_url,tech_,tls_mismatched,csp_domains_,cdn_name,cdn,tls_expired,tls_self_signed
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,AS15169,GOOGLE,US,142.250.0.0/15,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,marketingplatform.google.com,443,https://google-analytics.com:443,https,sffe,text/html,GET,142.250.185.196,/,302920777,2a00:1450:4001:811::2004,1831,False,,True,https://marketingplatform.google.com/about/analytics/,HTTP/3,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,,,
155-9-62-73.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,,,,,,,,,,,,,,,,,,80,http://155-9-62-73.mlprox.csmc.edu:80,http,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,,,http://mlprox.csmc.edu/login,,,,,,,
17-121-118-95.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,,,,,,,,,,,,,,,,,,80,http://17-121-118-95.mlprox.csmc.edu:80,http,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,,,http://mlprox.csmc.edu/login,,,,,,,
17-121-126-90.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,,,,,,,,,,,,,,,,,,80,http://17-121-126-90.mlprox.csmc.edu:80,http,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,,,http://mlprox.csmc.edu/login,,,,,,,
17-58-96-58.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,,,,,,,,,,,,,,,,,,80,http://17-58-96-58.mlprox.csmc.edu:80,http,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,,,http://mlprox.csmc.edu/login,,,,,,,
17-58-96-99.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,,,,,,,,,,,,,,,,,,80,http://17-58-96-99.mlprox.csmc.edu:80,http,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,,,http://mlprox.csmc.edu/login,,,,,,,
69-171-232-57.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,,,,,,,,,,,,,,,,,,80,http://69-171-232-57.mlprox.csmc.edu:80,http,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,,,http://mlprox.csmc.edu/login,,,,,,,
a-96-119-39-73.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,login.mlprox.csmc.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-19T00:00:00Z,2023-08-23T23:59:59Z,"CN=*.mlprox.csmc.edu, O=Cedars-Sinai Medical Center, L=Los Angeles, ST=California, C=US",*.mlprox.csmc.edu,mlprox.csmc.edu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9b84cd0f6e7163b7032d0e93fe325c1d,b3b0a0d6e8dbc52ae3d54e82d507bf90d2d047193ee17f19caab80d3822a55ed,ctls,login.mlprox.csmc.edu,443,https://a-96-119-39-73.mlprox.csmc.edu:443,https,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,Cedars-Sinai Medical Center,True,https://login.mlprox.csmc.edu/login,,,,,,,
a-96-119-6-37.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,,,,,,,,,,,,,,,,,,80,http://a-96-119-6-37.mlprox.csmc.edu:80,http,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,,,http://mlprox.csmc.edu/login,,,,,,,
accept-demo.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,login.mlprox.csmc.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-19T00:00:00Z,2023-08-23T23:59:59Z,"CN=*.mlprox.csmc.edu, O=Cedars-Sinai Medical Center, L=Los Angeles, ST=California, C=US",*.mlprox.csmc.edu,mlprox.csmc.edu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9b84cd0f6e7163b7032d0e93fe325c1d,b3b0a0d6e8dbc52ae3d54e82d507bf90d2d047193ee17f19caab80d3822a55ed,ctls,login.mlprox.csmc.edu,443,https://accept-demo.mlprox.csmc.edu:443,https,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,Cedars-Sinai Medical Center,True,https://login.mlprox.csmc.edu/login,,,,,,,
access-pkaam.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,,,,,,,,,,,,,,,,,,80,http://access-pkaam.mlprox.csmc.edu:80,http,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,,,http://mlprox.csmc.edu/login,,,,,,,
accesspediatrics.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,,,,,,,,,,,,,,,,,,80,http://accesspediatrics.mlprox.csmc.edu:80,http,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,,,http://mlprox.csmc.edu/login,,,,,,,
accesssurgery.mhmedical.com.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,login.mlprox.csmc.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-19T00:00:00Z,2023-08-23T23:59:59Z,"CN=*.mlprox.csmc.edu, O=Cedars-Sinai Medical Center, L=Los Angeles, ST=California, C=US",*.mlprox.csmc.edu,mlprox.csmc.edu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9b84cd0f6e7163b7032d0e93fe325c1d,b3b0a0d6e8dbc52ae3d54e82d507bf90d2d047193ee17f19caab80d3822a55ed,ctls,login.mlprox.csmc.edu,443,https://accesssurgery.mhmedical.com.mlprox.csmc.edu:443,https,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,Cedars-Sinai Medical Center,True,https://login.mlprox.csmc.edu/login,,,,,,,
accountchefsql-us.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,login.mlprox.csmc.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-19T00:00:00Z,2023-08-23T23:59:59Z,"CN=*.mlprox.csmc.edu, O=Cedars-Sinai Medical Center, L=Los Angeles, ST=California, C=US",*.mlprox.csmc.edu,mlprox.csmc.edu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9b84cd0f6e7163b7032d0e93fe325c1d,b3b0a0d6e8dbc52ae3d54e82d507bf90d2d047193ee17f19caab80d3822a55ed,ctls,login.mlprox.csmc.edu,443,https://accountchefsql-us.mlprox.csmc.edu:443,https,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,Cedars-Sinai Medical Center,True,https://login.mlprox.csmc.edu/login,,,,,,,
accounts.google.com,Sign in - Google Accounts,200,591006,AS15169,GOOGLE,US,142.250.0.0/15,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,443,https://accounts.google.com:443,https,ESF,text/html,GET,142.250.184.205,/,708578229,2a00:1450:4001:82f::200d,46,False,,True,https://accounts.google.com/v3/signin/identifier?dsh=S1410301982%3A1683674322963247&continue=https%3A%2F%2Faccounts.google.com%2F&followup=https%3A%2F%2Faccounts.google.com%2F&ifkv=Af_xneF3fc8vMr_MfkPRSEWbrMf2jVByuAIyMI23KRe7MleVGolJrY7qAJB5QXRxpr81lRnfzuDs1A&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin,HTTP/3,,http:,,,,
act.cshs.org,503 Service Temporarily Unavailable,503,162,AS16509,AS16509,Unknown,44.224.0.0/11,act.cshs.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-09-26T23:59:59Z,CN=act.cshs.org,act.cshs.org,act.cshs.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,905a00bdb274b261f48b7c2cdc8c9bf2,b7b4fcb44b334ebec200bdc7aa3adda1bd26847ad038b703d492b046d03f3c7a,ctls,act.cshs.org,80,http://act.cshs.org:80,http,awselb/2.0,text/html,GET,44.240.66.157,/,1862162275,52.11.155.192,7,False,,,https://act.cshs.org:443/,,,,,,,
admin-ejelentes.mlprox.csmc.edu,Shibboleth Authentication Request,200,1422,AS29721,CSHS-ELSEGUNDO,US,192.231.86.0/24,,,,,,,,,,,,,,,,,,80,http://admin-ejelentes.mlprox.csmc.edu:80,http,EZproxy,text/html,GET,192.231.86.107,/,84238792,192.231.86.107,9,False,,,http://mlprox.csmc.edu/login,,,,,,,
aem-author-prod-65.cedars-sinai.org,TURN AROUND!,403,9282,AS16509,AS16509,Unknown,13.56.0.0/14,aem-author-prod-65.cedars-sinai.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-07-23T23:59:59Z,"CN=cedars-sinai.edu, O=Cedars-Sinai Medical Center, L=Los Angeles, ST=California, C=US, serialNumber=C0035769, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US",cedars-sinai.edu,biodev.cedars-sinai.org,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a46fb3288f594e0fd3870d7e87a94ec9,45d8d26fe8e3753fa735a41f951952506e9f2543904deda8dc0cdd474257368c,ctls,aem-author-prod-65.cedars-sinai.org,443,https://aem-author-prod-65.cedars-sinai.org:443,https,Apache,text/html,GET,13.56.166.180,/,1680815383,52.9.56.122,192,False,Cedars-Sinai Medical Center,,,Apache,,,,,,
aem-author-stage-65.cedars-sinai.org,,401,,AS16509,AS16509,Unknown,54.220.0.0/16,aem-author-stage-65.cedars-sinai.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-07-23T23:59:59Z,"CN=cedars-sinai.edu, O=Cedars-Sinai Medical Center, L=Los Angeles, ST=California, C=US, serialNumber=C0035769, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US",cedars-sinai.edu,biodev.cedars-sinai.org,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a46fb3288f594e0fd3870d7e87a94ec9,45d8d26fe8e3753fa735a41f951952506e9f2543904deda8dc0cdd474257368c,ctls,aem-author-stage-65.cedars-sinai.org,443,https://aem-author-stage-65.cedars-sinai.org:443,https,Apache,httpd/unix-directory,GET,54.219.252.234,/,-1840324437,54.215.138.203,1,False,Cedars-Sinai Medical Center,,,HSTS,,,,,,
aem-dispatcher-dev.cedars-sinai.org,A Non-Profit Hospital in Los Angeles | Cedars-Sinai,200,69405,AS16509,AS16509,Unknown,52.52.0.0/15,aem-dispatcher-dev.cedars-sinai.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-07-23T23:59:59Z,"CN=cedars-sinai.edu, O=Cedars-Sinai Medical Center, L=Los Angeles, ST=California, C=US, serialNumber=C0035769, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US",cedars-sinai.edu,biodev.cedars-sinai.org,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a46fb3288f594e0fd3870d7e87a94ec9,45d8d26fe8e3753fa735a41f951952506e9f2543904deda8dc0cdd474257368c,ctls,aem-dispatcher-dev.cedars-sinai.org,443,https://aem-dispatcher-dev.cedars-sinai.org:443,https,Apache,text/html,GET,52.52.120.251,/,1167177652,54.67.49.64,1338,False,Cedars-Sinai Medical Center,,,HSTS,,https://aem-dispatcher-dev.cedars-sinai.org/,,,,
