new,host,a,soa,has_internal_ips,internal_ips,status_code,cname,cdn,cdn-name,aaaa,mx,ns,txt,caa
[x],-3774235970h5459-market.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],-3774235970h54596.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],00-1-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],17-58-106-78.wordpress-167980-486024.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],bbmbelekinmodosinaroconf.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],bezgemorroyav2.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],blog-comwww.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],forum.-22998.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],h-135-207-134-18.console.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],h-135-207-48-91.console.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],ipv4-c036-pit002-ix.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],live-consoleonsole.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],mgmt6-1.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],notifier.cloudways.com,10.146.0.18,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",True,10.146.0.18,NOERROR,,,,,,,,
[x],paas.cloudways.com,23.20.182.52,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],temp.butler.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],tsemmler.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,-22998.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,00000-okta-idpmgmt.active.prf02-crw.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,037topcovid19.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,1-careem.okta.news.comfood.surveys.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,1-green.okta-config-page.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,102920-okta-securityapplication.get.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,1070v0.st.okta.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,2015auth.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,253aapi.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,253adevelopers.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,253aplatform.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,253asupport.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,253awww.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,271630.genapicloud.comwww.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,2fwww.cloudways.com,,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,3adevelopers.cloudways.com,,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,3asupport.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,3awww.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,3d-evolution.frwww.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,57.e0.9bc0.ip4.static.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,_.-2be.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,_.-3774235970h5459.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,_.-7-7.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,admin.cloudways.com,54.86.38.17,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,aeetchukwp.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,api-staging.-4-a.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,api-staging.cloudways.com,52.21.0.48,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,api.cloudways.com,151.139.128.10,"ns127a.stackpathdns.net, dnsadmin.stackpath.com",,,NOERROR,f7d3h4c3.stackpathcdn.com,,,,,,,
,apt-test.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,apt.-21374.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,apt.cloudways.com,54.88.111.62,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
,aptcareers.cloudways.com,151.139.128.10,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
