new,host,soa,status_code,a,cdn,cdn-name,aaaa
[x],adv.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],api.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.162.32, 172.64.163.32",True,cloudflare,"2606:4700:e4::ac40:a220, 2606:4700:e4::ac40:a320"
[x],backend.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.162.32, 172.64.163.32",True,cloudflare,"2606:4700:e4::ac40:a220, 2606:4700:e4::ac40:a320"
[x],coinsbitbot3.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],dex.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.162.32, 172.64.163.32",True,cloudflare,"2606:4700:e4::ac40:a220, 2606:4700:e4::ac40:a320"
[x],email.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],kit.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],mail.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],store.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.162.32, 172.64.163.32",True,cloudflare,"2606:4700:e4::ac40:a220, 2606:4700:e4::ac40:a320"
[x],storeapi.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.163.32, 172.64.162.32",True,cloudflare,"2606:4700:e4::ac40:a220, 2606:4700:e4::ac40:a320"
[x],t4.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],ws.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.162.32, 172.64.163.32",True,cloudflare,"2606:4700:e4::ac40:a220, 2606:4700:e4::ac40:a320"
[x],www-3.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.162.32, 172.64.163.32",True,cloudflare,"2606:4700:e4::ac40:a220, 2606:4700:e4::ac40:a320"
[x],www.coinsbit.io,"marge.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.162.32, 172.64.163.32",True,cloudflare,
