new,host,a,soa,ns,status_code,txt,cdn,cdn-name,cname,mx,aaaa,caa,has_internal_ips,internal_ips
[x],airflow-integrations-pe.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-gke-scrapers,external-dns/resource=ingress/cs-airflow-integrations-pe/cs-airflow-integrations-pe-web",True,google,,,,,,
[x],airflow-prod-integrations-cl.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-gke-scrapers,external-dns/resource=ingress/cs-airflow-prod-integrations-cl/cornershop-prod-airflow-integrations-cl-web",True,google,,,,,,
[x],airflow-prod-integrations-co.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-gke-scrapers,external-dns/resource=ingress/cs-airflow-prod-integrations-co/cm-acme-http-solver-xhcw2",True,google,,,,,,
[x],airflow-prod-integrations-cr.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-gke-scrapers,external-dns/resource=ingress/cs-airflow-prod-integrations-cr/cornershop-prod-airflow-integrations-cr-web",True,google,,,,,,
[x],airflow-prod-integrations-mx.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-gke-scrapers,external-dns/resource=ingress/cs-airflow-prod-integrations-mx/cornershop-prod-airflow-integrations-mx-web",True,google,,,,,,
[x],airflow-prod-integrations-pe.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-gke-scrapers,external-dns/resource=ingress/cs-airflow-integrations-pe/cornershop-prod-airflow-integrations-pe-web",True,google,,,,,,
[x],airflow-prod-integrations-us.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-gke-scrapers,external-dns/resource=ingress/cs-airflow-prod-integrations-us/cm-acme-http-solver-sb7pt",True,google,,,,,,
[x],airflow-qa-integrations-cl.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-gke-scrapers,external-dns/resource=ingress/cs-airflow-integrations-cl/cm-acme-http-solver-lklrb",True,google,,,,,,
[x],airflow-qa-integrations-co.stores-int.superpal.io,,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,True,google,,,,,,
[x],airflow-qa-integrations-pe.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-gke-scrapers,external-dns/resource=ingress/cs-airflow-integrations-pe/cornershop-qa-airflow-integrations-pe-web",True,google,,,,,,
[x],airflow-qa-integrations-us.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-gke-scrapers,external-dns/resource=ingress/cs-airflow-qa-integrations-us/cornershop-qa-airflow-integrations-us-web",True,google,,,,,,
[x],api-outage-mode.cornershop.io,"54.153.77.204, 52.9.67.150","ns-1466.awsdns-55.org, awsdns-hostmaster.amazon.com","ns-1466.awsdns-55.org, ns-1782.awsdns-30.co.uk, ns-454.awsdns-56.com, ns-925.awsdns-51.net",NOERROR,,,,,,,,,
[x],api.catalog-uber.cornershop.io,"35.170.0.29, 54.157.115.30, 52.6.250.52, 3.208.206.92, 52.206.185.30, 18.215.28.7","ns-1738.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-catalog-uber-ext,external-dns/resource=ingress/cornershop-prod-catalog-uber-api/api",,,,,,,,
[x],api.catalog-uber.superpal.io,"52.206.185.30, 18.215.28.7, 54.157.115.30, 35.170.0.29, 3.208.206.92, 52.6.250.52","ns-2029.awsdns-61.co.uk, awsdns-hostmaster.amazon.com","ns-1242.awsdns-27.org, ns-2029.awsdns-61.co.uk, ns-406.awsdns-50.com, ns-934.awsdns-52.net",NOERROR,"heritage=external-dns,external-dns/owner=cs-catalog-uber-ext,external-dns/resource=ingress/cornershop-qa-catalog-uber-api/api",,,,,,,,
[x],app.superpal.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],bgc-prod-checkr.us.satellite.cornershop.io,"3.224.37.42, 3.211.194.231, 18.210.25.187","ns-565.awsdns-06.net, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-satellite,external-dns/resource=ingress/integrations-us/bgc-prod-checkr",,,,,,,,
[x],bgc-prod-emptor.cr.satellite.cornershop.io,"18.210.25.187, 3.224.37.42, 3.211.194.231","ns-565.awsdns-06.net, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-satellite,external-dns/resource=ingress/integrations-cr/bgc-prod-emptor",,,,,,,,
[x],bgc-qa-blacktrust.mx.satellite.superpal.io,"18.210.25.187, 3.211.194.231, 3.224.37.42","ns-984.awsdns-59.net, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-satellite,external-dns/resource=ingress/integrations-mx/bgc-qa-blacktrust",,,,,,,,
[x],bgc-qa-checkr.us.satellite.superpal.io,"3.224.37.42, 3.211.194.231, 18.210.25.187","ns-984.awsdns-59.net, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-satellite,external-dns/resource=ingress/stores-integrations-us/bgc-qa-checkr",,,,,,,,
[x],bgc-qa-emptor.cl.satellite.superpal.io,"3.224.37.42, 18.210.25.187, 3.211.194.231","ns-984.awsdns-59.net, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-satellite,external-dns/resource=ingress/integrations-cl/bgc-qa-emptor",,,,,,,,
