new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,txt,ns,caa,has_internal_ips,internal_ips
[x],_spf1.costcobusinesscentre.ca,,,,"appnsa01223p02.costco.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,
[x],_spf2.costcobusinesscentre.ca,,,,"appnsa01223p02.costco.com, please_set_email.absolutely.nowhere",NOERROR,,,,v=spf1 ip4:173.193.210.32/27 ip4:174.37.226.64/27 ip4:180.179.146.74 ip4:184.173.105.0/24 ip4:184.173.153.0/24 ip4:185.255.8.0/23 ip4:192.237.158.0/23 ip4:198.61.254.0/23 ip4:208.43.239.136/30 ip4:209.61.151.0/24 ~all,,,,
[x],aadwrapper-qat.costco.com,40.118.172.40,,"aad-wrapper-service-qat.app-registration-services-ase.p.azurewebsites.net, waws-prod-bay-dbffefd6.vip.p.azurewebsites.windows.net, waws-prod-bay-dbffefd6.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],accessnet.costco.com,170.167.108.198,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],accessnetad.costco.com,170.167.55.196,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],accessnetqa.costco.com,170.167.55.193,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],adtedfdatalake.costco.com,20.51.92.64,,"adtedfdatalake623e.trafficmanager.net, adtedfdatalakeuswe02.costco.com","a1-116.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,,
[x],adtedfdatalakeuswe02.costco.com,20.51.92.64,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,,
[x],analytics.costco.com,170.167.103.202,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],analyticsqa.costco.com,170.167.50.202,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ancoptical.qat-westus2.costco.com,20.51.92.73,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,,
[x],ancoptical.uat-westus2.costco.com,20.51.92.74,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,,
