input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,port,url,scheme,webserver,method,host,path,favicon,a_,lines,failed,tech_,content_type,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,final_url,cdn,tls_mismatched,tls_wildcard_certificate,csp_domains_,tls_self_signed,tls_expired
api-adt.costco.com,,404,156,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,80,http://api-adt.costco.com:80,http,,GET,107.23.127.48,/,1435874759,107.23.127.48,1,False,HSTS,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,
api-qat.costco.com,,404,156,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,80,http://api-qat.costco.com:80,http,,GET,107.23.127.48,/,1435874759,107.23.127.48,1,False,HSTS,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,
api-spt.costco.com,,404,156,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,80,http://api-spt.costco.com:80,http,,GET,107.23.127.48,/,1435874759,107.23.127.48,1,False,HSTS,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,
ars.costco.com,,404,103,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.90.0.0/22,80,http://ars.costco.com:80,http,,GET,40.83.208.215,/,-20275242,40.83.208.215,1,False,,text/html,,,,,,,,,,,,,,,,,,,azure,,True,,,,,
baliblinds-qa.costco.ca,Access Denied,403,277,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,80,http://baliblinds-qa.costco.ca:80,http,AkamaiGHost,GET,104.126.37.129,/,1509304262,104.126.37.153,10,False,,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
baliblinds-qa.costco.com,Access Denied,403,277,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,80,http://baliblinds-qa.costco.com:80,http,AkamaiGHost,GET,2.20.132.120,/,-282782695,2.16.181.66,10,False,,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
baliblinds.costco.ca,Shop for Custom Window Treatments | Costco | Bali Blinds and Shades,200,105849,AS4181,TDS-AS,US,69.130.0.0/15,80,http://baliblinds.costco.ca:80,http,Microsoft-IIS/8.5,GET,69.129.253.153,/,-1773570869,69.129.253.153,1478,False,Windows Server,text/html,baliblinds.costco.ca,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-14T00:00:00Z,2023-07-14T23:59:59Z,"CN=baliblinds.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",baliblinds.costco.com,Costco Wholesale Corporation,origin.baliblinds.costco.ca,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7e72e2abb17facff379d53e49c610b31,e085ed113d287a03e4908372f4f2b2fbbcf7982fbff0713229bd0cb8ba6201a1,ctls,baliblinds.costco.ca,,https://baliblinds.costco.ca/,,,,,,
baliblinds.costco.com,Shop for Custom Window Treatments | Costco | Bali Blinds and Shades,200,108216,AS4181,TDS-AS,US,69.130.0.0/15,80,http://baliblinds.costco.com:80,http,Microsoft-IIS/8.5,GET,69.129.253.153,/,-2065974741,69.129.253.153,1401,False,Windows Server,text/html,baliblinds.costco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-14T00:00:00Z,2023-07-14T23:59:59Z,"CN=baliblinds.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",baliblinds.costco.com,Costco Wholesale Corporation,origin.baliblinds.costco.ca,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7e72e2abb17facff379d53e49c610b31,e085ed113d287a03e4908372f4f2b2fbbcf7982fbff0713229bd0cb8ba6201a1,ctls,baliblinds.costco.com,,https://baliblinds.costco.com/,,,,,,
bd-vqa3.costco.ca,Access Denied,403,270,AS20940,AKAMAI-ASN1,NL,95.101.0.0/16,80,http://bd-vqa3.costco.ca:80,http,AkamaiGHost,GET,95.101.111.176,/,293010928,95.101.111.162,10,False,HSTS,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
bd-vqa3.costco.com,Access Denied,403,271,AS20940,AKAMAI-ASN1,NL,95.101.0.0/16,80,http://bd-vqa3.costco.com:80,http,AkamaiGHost,GET,95.101.111.162,/,-1097150346,95.101.111.176,10,False,HSTS,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
bd-vqa5.costco.ca,Access Denied,403,270,AS20940,AKAMAI-ASN1,NL,95.101.0.0/16,80,http://bd-vqa5.costco.ca:80,http,AkamaiGHost,GET,95.101.111.176,/,1366855676,2.16.181.66,10,False,HSTS,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
bd-vqa5.costco.com,Access Denied,403,271,AS20940,AKAMAI-ASN1,NL,95.101.0.0/16,80,http://bd-vqa5.costco.com:80,http,AkamaiGHost,GET,95.101.111.162,/,1031427290,95.101.111.176,10,False,HSTS,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
biportalqa.costco.com,,502,25,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.252.0/23,80,http://biportalqa.costco.com:80,http,,GET,13.107.237.45,/,1064523284,2620:1ec:48:1::45,1,False,Azure Front Door,,,,,,,,,,,,,,,,,,,,,,,,,,,
