input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,content_type,tls_subject_org_,tls_self_signed,csp_domains_,final_url
0lga-marple.hrsys.okta-wiskey-orchestrator-safe.production.curve.app,ERROR: The request could not be satisfied,502,951,AS0,Not routed,None,13.32.100.0/23,0lga-marple.hrsys.okta-wiskey-orchestrator-safe.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,0lga-marple.hrsys.okta-wiskey-orchestrator-safe.production.curve.app,cloudfront,443,https://0lga-marple.hrsys.okta-wiskey-orchestrator-safe.production.curve.app:443,https,CloudFront,GET,13.32.99.9,/,1988014895,2600:9000:2251:1400:0:d856:9bc0:93a1,Amazon Web Services,20,False,True,True,text/html,,,,
109-42.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,109-42.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,109-42.production.curve.app,cloudfront,443,https://109-42.production.curve.app:443,https,envoy,GET,13.32.99.48,/,-1840324437,2600:9000:2251::d856:9bc0:93a1,Envoy,1,False,True,,,,,,
114.okta-wiskey-orchestrator-safe.production.curve.app,ERROR: The request could not be satisfied,502,951,AS0,Not routed,None,13.32.100.0/23,114.okta-wiskey-orchestrator-safe.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,114.okta-wiskey-orchestrator-safe.production.curve.app,cloudfront,443,https://114.okta-wiskey-orchestrator-safe.production.curve.app:443,https,CloudFront,GET,13.32.99.48,/,-1402293890,2600:9000:2251:de00:0:d856:9bc0:93a1,Amazon Web Services,20,False,True,True,text/html,,,,
123.okta-wiskey-orchestratorvault-paytech-safe.production.curve.app,ERROR: The request could not be satisfied,502,951,AS0,Not routed,None,13.32.100.0/23,123.okta-wiskey-orchestratorvault-paytech-safe.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,123.okta-wiskey-orchestratorvault-paytech-safe.production.curve.app,cloudfront,443,https://123.okta-wiskey-orchestratorvault-paytech-safe.production.curve.app:443,https,CloudFront,GET,13.32.99.9,/,-887702727,2600:9000:2251:4800:0:d856:9bc0:93a1,Amazon Web Services,20,False,True,True,text/html,,,,
14-courier2.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,14-courier2.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,14-courier2.production.curve.app,cloudfront,443,https://14-courier2.production.curve.app:443,https,envoy,GET,13.32.99.48,/,-1840324437,2600:9000:2251:1400:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
143.hrsys.okta-wiskey-orchestrator-vault-paytech-safe.production.curve.app,ERROR: The request could not be satisfied,502,951,AS0,Not routed,None,13.32.100.0/23,143.hrsys.okta-wiskey-orchestrator-vault-paytech-safe.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,143.hrsys.okta-wiskey-orchestrator-vault-paytech-safe.production.curve.app,cloudfront,443,https://143.hrsys.okta-wiskey-orchestrator-vault-paytech-safe.production.curve.app:443,https,CloudFront,GET,13.32.99.48,/,1284566295,2600:9000:2251:cc00:0:d856:9bc0:93a1,Amazon Web Services,20,False,True,True,text/html,,,,
155-9-185-78.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,155-9-185-78.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,155-9-185-78.production.curve.app,cloudfront,443,https://155-9-185-78.production.curve.app:443,https,envoy,GET,13.32.99.9,/,-1840324437,2600:9000:2251:1400:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
155-9-192-85.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,155-9-192-85.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,155-9-192-85.production.curve.app,cloudfront,443,https://155-9-192-85.production.curve.app:443,https,envoy,GET,13.32.99.9,/,-1840324437,2600:9000:2251:6400:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
155-9-212-90.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,155-9-212-90.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,155-9-212-90.production.curve.app,cloudfront,443,https://155-9-212-90.production.curve.app:443,https,envoy,GET,13.32.99.48,/,-1840324437,2600:9000:2251:1400:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
155-9-218-52.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,155-9-218-52.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,155-9-218-52.production.curve.app,cloudfront,443,https://155-9-218-52.production.curve.app:443,https,envoy,GET,13.32.99.67,/,-1840324437,2600:9000:2251:7600:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
