new,host,cname,soa,status_code,a,ns,caa,cdn,cdn-name,aaaa,mx,txt
[x],bo.tooling.datadome.co,prod-auth-tooling-eu-west-3-nlb-50f825e6e311657b.elb.eu-west-3.amazonaws.com,"ns-1069.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,"35.180.70.165, 13.37.140.186",,,,,,,
[x],jk-test.sdbx-sre.datadome.co,,"ns-312.awsdns-39.com, awsdns-hostmaster.amazon.com",NOERROR,"15.236.161.141, 13.36.137.213",,,,,,,
[x],staff.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"52.208.224.115, 54.195.225.196, 52.30.175.37",,,,,,,
[x],webclient.prod.datadome.co,,,NOERROR,,,,,,,,
[x],wiki-apihosting-loginaccept-domain.tooling.datadome.co,,,NOERROR,,,,,,,,
,account-api.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-alb-ap-southeast-1.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"3.0.171.174, 18.136.74.65, 52.220.66.168",,,,,,,
,api-alb-us-west-1.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"52.8.237.242, 54.193.96.54",,,,,,,
,api-alb-us-west-2.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"35.160.189.192, 50.112.82.122, 52.38.156.255, 54.201.150.77",,,,,,,
,api-ap-east-1.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,18.166.88.17,,,,,,,
,api-ap-south-1.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,13.127.39.121,,,,,,,
,api-ap-southeast-1.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,52.76.39.89,,,,,,,
,api-eu-france-1.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"62.4.8.7, 62.4.8.3, 62.4.8.5, 62.4.8.4, 62.4.8.2, 62.4.8.8, 62.4.8.10, 62.4.8.1",,,,,,,
,api-eu-west-1.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,63.32.80.160,,,,,,,
,api-fastly.datadome.co,"api.datadome.co, geoprox.datadome.co, api-eu-central-1.datadome.co","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,18.194.14.91,,,,,,,
