new,host,soa,status_code,a,aaaa,cname,caa,mx,ns,txt,cdn,cdn-name,has_internal_ips,internal_ips
[x],ausulsoawlsm32.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.13.20, 165.160.15.20",,,,,,,,,,
[x],guam-gfebs.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.15.20, 165.160.13.20",,,,,,,,,,
[x],h-135-197-236-64.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.13.20, 165.160.15.20",,,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],ipv4-c328-dfw001-ix.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.13.20, 165.160.15.20",,,,,,,,,,
[x],nersuryschool.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.13.20, 165.160.15.20",,,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],p218-contentws-china.vrst.com,,NOERROR,"165.160.15.20, 165.160.13.20",,,,,,,,,,
[x],system-vippreferences.vrst.com,,NOERROR,"165.160.13.20, 165.160.15.20",,,,,,,,,,
,a1513.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.15.20, 165.160.13.20",,,,,,,,,,
,adfsnp.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.193.74,,,,,,,,,,
,adrs.pages.dcsg.com,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"185.199.111.153, 185.199.110.153, 185.199.109.153, 185.199.108.153",,dsg-tech.github.io,,,,,,,,
,alpha.dickssportinggoods.com,,NOERROR,23.77.165.131,,"alpha.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,alpha.publiclands.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"95.101.74.148, 95.101.74.133","2a02:26f0:c900:9::5f65:4a85, 2a02:26f0:c900:9::5f65:4a94","alpha.publiclands.com.edgekey.net, e132905.dscx.akamaiedge.net",,,,,,,,
,an01.pcf.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,aos.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.95,,,,,,,,,,
,aos.golfgalaxy.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,95.101.44.111,,"aos-ang.golfgalaxy.com.edgekey.net, e13910.x.akamaiedge.net",,,,,,,,
,aos.publiclands.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2.20.142.145, 2.20.142.138","2a02:26f0:6c00::210:ba99, 2a02:26f0:6c00::210:baa3","aos.publiclands.com.edgekey.net, e132905.dscx.akamaiedge.net",,,,,,,,
,ap01.pcf.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,ap03.pcf.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,api-search.publiclands.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2.23.209.135, 2.23.209.141","2a02:26f0:3500:1b::1724:a384, 2a02:26f0:3500:1b::1724:a39e","api-search.publiclands.com.edgekey.net, e132905.dscx.akamaiedge.net",,,,,,,,
,api.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,apinp.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,application.golfgalaxy.com,,NOERROR,208.94.20.12,,golfgalaxy.ed4.net,,,,,,,,
,arcadia-wi-school.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.13.20, 165.160.15.20",,,,,,,,,,
,architecture.pages.dcsg.com,"dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"185.199.110.153, 185.199.109.153, 185.199.108.153, 185.199.111.153","2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",dsg-tech.github.io,"digicert.com, letsencrypt.org",,,,,,,
,as2.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.178,,,,,"ns.domainnetwork.se, ns2.domainnetwork.se, ns3.domainnetwork.com",,,,,
,athleterecord-nonprod.dickssportinggoods.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,2.23.197.26,"2a02:26f0:3500:58b::25db, 2a02:26f0:3500:588::25db, 2a02:26f0:3500:589::25db, 2a02:26f0:3500:596::25db, 2a02:26f0:3500:585::25db","athleterecord-nonprod.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,auth.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.15.20, 165.160.13.20",,,,,,,,,,
