input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,csp_domains_,tls_mismatched,final_url,tls_expired
*.affirm.com,"Affirm | Buy now, pay later with no late fees or surprises",200,842929,www.affirm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-18T23:59:59Z,CN=affirm.com,affirm.com,,*.affirm.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9b4e3cce8fa3541c7f591d37b67f36b4,eee94f109de0b36417928c7e0b1806f521704a7502bfd55be4921696480c3a02,True,ctls,www.affirm.com,443,https://affirm.com:443,https,istio-envoy,text/html,GET,13.224.189.31,/,1283235431,13.224.189.20,webpack,76,False,cloudfront,True,,,https://www.affirm.com/,
*.anyguide.com,AnyRoad: The Leading Experiential Marketing Platform,200,199949,www.anyroad.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,2023-06-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b3d9d87ec4f28550ffc218bb2b308022,a84ee232f029248e97fef7791b0653d344145eadbe74aa811476c83bd50fedb9,True,ctls,www.anyroad.com,443,https://anyguide.com:443,https,cloudflare,text/html,GET,172.67.71.225,/,1107187241,2606:4700:20::ac43:47e1,Yoast SEO:19.10,1378,False,cloudflare,True,,,https://www.anyroad.com,
*.anyroad.com,AnyRoad: The Leading Experiential Marketing Platform,200,199949,www.anyroad.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,2023-06-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b3d9d87ec4f28550ffc218bb2b308022,a84ee232f029248e97fef7791b0653d344145eadbe74aa811476c83bd50fedb9,True,ctls,www.anyroad.com,443,https://anyroad.com:443,https,cloudflare,text/html,GET,104.22.10.108,/,-1840324437,2606:4700:10::6816:b6c,Yoast SEO:19.10,1378,False,cloudflare,True,,,https://www.anyroad.com,
*.attn.tv,Attentive | Personalized Text Messaging for Innovative Brands,200,97656,www.attentive.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-03T22:16:01Z,2023-06-01T22:16:00Z,CN=www.attentive.com,www.attentive.com,,www.attentive.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,959b1e324be98588f2310f00c97fbcb1,1263e9bdd756ef308f3b7ee63c27d4648836413c857b90d9c82333865429c984,,ctls,www.attentive.com,80,http://attn.tv:80,http,,text/html,GET,52.217.38.83,/,-2009722838,52.217.254.13,Webflow,772,False,,,,,https://www.attentive.com/?utm_source=attn.tv,
*.bazaarvoice.com,Bazaarvoice | The UGC Platform for Authentic Shopper Experiences,200,172468,www.bazaarvoice.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-02T16:34:55Z,2023-07-31T16:34:54Z,CN=bazaarvoice.com,bazaarvoice.com,,www.bazaarvoice.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,891499a343065a9947459f39bbea6cee,f7bdbcc469d2998ea23b273521f22fd584e6f95b8e51133733d20d328ed61568,,ctls,www.bazaarvoice.com,443,https://bazaarvoice.com:443,https,nginx,text/html,GET,23.185.0.4,/,810136544,2620:12a:8000::4,Yoast SEO:19.12,1264,False,,,*.bazaarvoice.com,,https://www.bazaarvoice.com/,
*.certona.com,Personalization Platform for eCommerce - Monetate,200,208556,monetate.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-27T00:00:00Z,2023-10-26T23:59:59Z,"CN=monetate.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",monetate.com,"Cloudflare, Inc.",monetate.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0f7410536d7dea6c91c19f5beeef86ed,657a9bb1a080a20fb9ac02d9573340db3777a56cc757c2c66bf20c241a3a9ce1,,ctls,monetate.com,443,https://certona.com:443,https,cloudflare,text/html,GET,141.193.213.10,/,-1840324437,141.193.213.11,Yoast SEO:19.14,1191,False,,,,,https://monetate.com/,
*.googleapis.com,Error 404 (Not Found)!!1,404,1561,googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:13Z,2023-07-17T12:00:12Z,CN=*.googleapis.com,*.googleapis.com,,*.clients6.google.ws,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,06c854b043dd65e1f308ec77994c4cd0,39a04a5ea2fa354528ea8a0e650c2167cefe25f1f01485bbc770bed6288a409b,True,ctls,googleapis.com,443,https://googleapis.com:443,https,,text/html,GET,142.250.185.164,/,302920777,2a00:1450:4001:811::2004,HTTP/3,12,False,,,,,,
*.hlserve.com,The Commerce Media Platform for the Open Internet | Criteo,200,462661,www.criteo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-11T00:00:00Z,2024-02-10T23:59:59Z,"CN=www.criteo.com, O=Criteo Corp., L=New York, ST=New York, C=US",www.criteo.com,Criteo Corp.,criteo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d877841aac9d2637ba1c4c3553d0d0a0,f82344bb4a2916d7d42db48748c96abb32c3da8591cc566009003b9d37b764b9,,ctls,www.criteo.com,443,https://hlserve.com:443,https,nginx,text/html,GET,182.161.73.158,/,-1129209453,2a02:2638:d::31,Yoast SEO:16.9,3493,False,,,,,https://www.criteo.com,
*.iesnare.com,Attention Required! | Cloudflare,403,4517,www.transunion.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-20T18:35:07Z,2023-10-20T18:35:07Z,"CN=www.transunion.com, O=Trans Union LLC, L=Chicago, ST=Illinois, C=US",www.transunion.com,Trans Union LLC,chile.transunion.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",b6c782b20fa3d0ccce37988c9c21a8a0,80f957654d3dfa4155dc6f967ee5b458f491cf98f1628b1c5df7041eae5dc861,,ctls,www.transunion.com,80,http://iesnare.com:80,http,cloudflare,text/html,GET,52.15.160.156,/,-1197790765,2600:1f16:b2f:b00:8528:11e6:da5e:f539,Cloudflare Bot Management,94,False,,,,,https://www.transunion.com/solution/fraud-analytics,
*.kampyle.com,Experience Management Software Platform - Medallia,200,66572,www.medallia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T16:20:26Z,2023-06-15T16:20:25Z,CN=blog.medallia.com,blog.medallia.com,,www.medallia.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1486087512cf2836b2e61f9c4136bc6e,e0082c7a7d94757008c59f765c223a46dafa222897ecc0451ec98f3d595a98d3,,ctls,www.medallia.com,443,https://kampyle.com:443,https,Netlify,text/html,GET,151.101.52.68,/,-1462000542,151.101.52.68,Vue.js,40,False,fastly,True,,,https://www.medallia.com/,
