new,host,a,cname,mx,soa,txt,status_code,cdn,cdn-name,aaaa,caa,ns,has_internal_ips,internal_ips
[x],155-9-73-74.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],17-121-115-72.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],17-121-126-92.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],akudaikan-0.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],atl-prd-netdply-01.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],author-marvell-stage-65.dpgmedia.nl,"99.83.132.111, 75.2.104.177",dpgmedia.nl,"alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.coml, aspmx.l.google.com, aspmx3.googlemail.com","ns1-25.akam.net, hostmaster.persgroep.be","_globalsign-domain-verification=nsqnD7wwhGNdAOhsaYaOrHYUUv235YiSl78GYluXBl, atlassian-domain-verification=ssHGvZHDdS5FmfVQpIMaFz7N72WfDW4eBo9yqtYNFjK/GIpJ1yW8IiERm5km/bSj, google-site-verification=BS9bRgQCaGMV-qV7KXIW3k9PKEroMT8ZkO9SXCCupe8, apple-domain-verification=rhgBCR84l7Uc5cMp, miro-verification=6ab58ecb32755bd8fe2c2255f7fce54a0f770a62, google-site-verification=9BOW7AtoeMAiQCOR3Zsi_u62trb62MCyyPQvoEOLnmg, globalsign-domain-verification=D8tRjhFB3jo9I1zhzbeimuR1ZZFWeM3TdNy9K1TY8G, globalsign-domain-verification=fxO-oZ6xBPNZcHaVlYx6ceobJ6drHbywrgO8594L_X, google-site-verification=OFuT0sku1FNyBn8NGNrWIYeMnBxdj3Cw8RnmPKTF3mg, v=spf1 ip4:146.185.48.0/21 include:_spf.google.com include:et._spf.pardot.com include:_spf.salesforce.com include:spf1.dpgmedia.nl include:spf2.dpgmedia.nl include:mail.zendesk.com -all, google-site-verification=HCULTGPeBKe3q6PXsdBGZwX_u9vcLA5Ag5MK6S6FFlI, google-site-verification=L7RecrH5RTtWIgjCAdqoKi8GHMgoCtfPMk1MQ-_A61A, MS=ms67078813, _globalsign-domain-verification=Oq6NKVBlI5zFkmVbiHpDvh43BHnogvLZ3krBbrIKaP, pardot396912=d103e8fb586b4ea12a5eef9ab8db50f225ffa9534121042c3c6f19110507cc0d",NOERROR,,,,,"eur2.akam.net, eur5.akam.net, ns1-125.akam.net, ns1-25.akam.net, usc2.akam.net, use2.akam.net, use5.akam.net, eur6.akam.net",,
[x],b2midia.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],beta-p4.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],betarepo-clients-wwwm.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],bid457l.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],care-vc.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],chef-mxmeet-clients.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],citra.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],economyglass.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],gsps19-st14-pod08.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],h-135-207-28-50.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],h-135-207-30-22.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
[x],h-135-207-55-37.tickets.dpgmedia.be,86.39.65.98,peak.proxy.tickoweb.net,,"ns1.ethera.be, dns.tigron.net",,NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
