input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_self_signed,tls_mismatched
00-prometheus-dataeng-prod.okta.datacamp.com.datacamp.com,,404,48,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://00-prometheus-dataeng-prod.okta.datacamp.com.datacamp.com:80,http,cloudflare,application/json,GET,172.64.153.58,/,834205737,104.18.34.198,Cloudflare Bot Management,1,False,True,,,,
00.okta.datacamp.com.datacamp.com,,404,48,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://00.okta.datacamp.com.datacamp.com:80,http,cloudflare,application/json,GET,172.64.153.58,/,834205737,104.18.34.198,Cloudflare Bot Management,1,False,True,,,,
000-v2.okta.datacamp.com.datacamp.com,,404,48,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://000-v2.okta.datacamp.com.datacamp.com:80,http,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
0030040c3fac201307010847085091592230773-okta.datacamp.com.datacamp.com,,404,48,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://0030040c3fac201307010847085091592230773-okta.datacamp.com.datacamp.com:80,http,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
00c745584a98889a4362e1c93c19c962-okta.datacamp-r.com.datacamp.com,,404,48,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://00c745584a98889a4362e1c93c19c962-okta.datacamp-r.com.datacamp.com:80,http,cloudflare,application/json,GET,172.64.153.58,/,834205737,104.18.34.198,Cloudflare Bot Management,1,False,True,,,,
00c745584a98889a4362e1c93c19c962-okta.datacamp.ast-viewer.com.datacamp.com,,404,48,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://00c745584a98889a4362e1c93c19c962-okta.datacamp.ast-viewer.com.datacamp.com:80,http,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
00c745584a98889a4362e1c93c19c962-okta.datacamp.com.ads.datacamp.com,,404,48,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://00c745584a98889a4362e1c93c19c962-okta.datacamp.com.ads.datacamp.com:80,http,cloudflare,application/json,GET,172.64.153.58,/,834205737,104.18.34.198,Cloudflare Bot Management,1,False,True,,,,
00c745584a98889a4362e1c93c19c962-okta.datacamp.com.datacamp.com,,404,48,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://00c745584a98889a4362e1c93c19c962-okta.datacamp.com.datacamp.com:80,http,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
00c745584a98889a4362e1c93c19c962-okta.mvn-datacamp.com.datacamp.com,,404,48,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://00c745584a98889a4362e1c93c19c962-okta.mvn-datacamp.com.datacamp.com:80,http,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
01.okta.7f9fb59ccamp.ku1020com.datacamp.com,,404,48,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://01.okta.7f9fb59ccamp.ku1020com.datacamp.com:80,http,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
