new,host,a,cname,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,ns,mx,txt,caa,aaaa
[x],15-courier.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],155-9-171-19.security.datastax.com,3.94.44.251,,,NOERROR,,,,,"ns-1254.awsdns-28.org, ns-1710.awsdns-21.co.uk, ns-360.awsdns-45.com, ns-651.awsdns-17.net",,,,
[x],155-9-210-88.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],155-9-218-88.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],155-9-60-74.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],155-9-62-14.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],155-9-76-47.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-112-4.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-112-89.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-113-25.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-113-91.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-114-71.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-115-0.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-115-71.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-116-17.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-116-79.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-117-15.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-118-40.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-118-76.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-118-97.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-119-20.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-119-45.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-119-55.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-119-64.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-121-3.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-121-64.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-121-80.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-122-6.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
[x],17-121-123-29.security.datastax.com,3.94.44.251,,,NOERROR,,,,,,,,,
