new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],admission.dev.databricks.com,"52.88.233.205, 44.228.21.173",,a6b60547d927111e7b84802479dc9935-44703533.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],airflow.cloud.databricks.com,"52.43.169.204, 44.241.92.11",,ae9c872fc2c4011e7bf82029dca63015-1387120787.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],airflow.dev.databricks.com,"52.40.198.30, 52.88.38.154",,a386867f3351b11e7bf0c02ccffdde86-44935057.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],alertmanager.dev.databricks.com,"52.88.14.13, 52.24.63.113",,ad30bc85bab0b481fb96474a52d8379b-1664498313.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],beta3.databricks.com,,,beta3.cloud.databricks.com,"ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],beta5.databricks.com,,,beta5.cloud.databricks.com,"ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],bmt.cloud.databricks.com,54.184.10.192,,ec2-54-184-10-192.us-west-2.compute.amazonaws.com,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,
[x],canada.dev.databricks.com,"3.96.105.225, 3.99.28.131, 3.99.73.37",,a3e7b29e6a596410583e4ce82a62c54e-138cc5c002c051b4.elb.ca-central-1.amazonaws.com,"ns-1921.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],celtra.databricks.com,3.236.150.65,,"celtra.cloud.databricks.com, ec2-3-236-150-65.compute-1.amazonaws.com","dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,
[x],chatapi.corp.databricks.com,"34.215.103.72, 44.232.181.139",,chatapi-alb-638458101.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],chatapi.databricks.com,"34.215.103.72, 44.232.181.139",,,"ns1.databricks.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
