input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,csp_domains_,tls_subject_org_,tls_wildcard_certificate,final_url,cdn_name,cdn,tls_mismatched,tls_self_signed,tls_expired
aaws-aawsdatabrickspoc.cloud.databricks.com,Databricks - Sign In,200,529,aaws-aawsdatabrickspoc.cloud.databricks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-08-28T23:59:59Z,"CN=*.cloud.databricks.com, O=Databricks Inc., L=San Francisco, ST=California, C=US",*.cloud.databricks.com,cloud.databricks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,32c4bc38aafab329775af52b0995d0c7,e00aff664e734971f946eb9c46e43dd4cd00acbad5aa5e80d9dd3fafa1cd8d07,ctls,aaws-aawsdatabrickspoc.cloud.databricks.com,443,https://aaws-aawsdatabrickspoc.cloud.databricks.com:443,https,databricks,text/html,GET,18.159.44.47,/,-491607480,18.159.44.47,1,False,HSTS,https://js.intercomcdn.com,Databricks Inc.,True,https://aaws-aawsdatabrickspoc.cloud.databricks.com/login.html,,,,,
academy.databricks.com,Advance your data + AI skills with Databricks Academy - Databricks,200,580714,www.databricks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-09-03T23:59:59Z,"CN=databricks.com, O=Databricks Inc., L=San Francisco, ST=California, C=US",databricks.com,www.databricks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b27446bf0fc09c4d10b654ca590e8fd3,26cc18713292321981969f3d9643922e5d1369e45c6830a1fa4c836fe35ee342,ctls,www.databricks.com,443,https://academy.databricks.com:443,https,cloudflare,text/html,GET,13.225.78.41,/,-1136573621,13.225.78.114,159,False,webpack,vitals.vercel-insights.com,Databricks Inc.,,https://www.databricks.com/learn/training/home,cloudfront,True,,,
accounts.cloud.databricks.com,Databricks - Sign in,200,727,accounts.cloud.databricks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-08-28T23:59:59Z,"CN=*.cloud.databricks.com, O=Databricks Inc., L=San Francisco, ST=California, C=US",*.cloud.databricks.com,cloud.databricks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,32c4bc38aafab329775af52b0995d0c7,e00aff664e734971f946eb9c46e43dd4cd00acbad5aa5e80d9dd3fafa1cd8d07,ctls,accounts.cloud.databricks.com,443,https://accounts.cloud.databricks.com:443,https,databricks,text/html,GET,52.41.129.245,/,1837709882,35.167.116.209,1,False,HSTS,,Databricks Inc.,True,https://accounts.cloud.databricks.com/login,,,,,
accounts.gcp.databricks.com,Databricks - Sign in,200,727,accounts.gcp.databricks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-14T00:00:00Z,2023-07-13T23:59:59Z,"CN=*.gcp.databricks.com, O=Databricks Inc., L=San Francisco, ST=California, C=US",*.gcp.databricks.com,*.psc-auth.gcp.databricks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e06a55f0c1d334afee55a771ce15244d,21f47d31c6f8dc2981d03d50470824d0338c4b43f0589d44a3a051fa6d5aba1b,ctls,accounts.gcp.databricks.com,443,https://accounts.gcp.databricks.com:443,https,databricks,text/html,GET,35.225.255.252,/,1837709882,35.225.255.252,1,False,HSTS,,Databricks Inc.,True,https://accounts.gcp.databricks.com/login,google,True,,,
api-docs.databricks.com,Databricks API reference documentation (prototype),200,8629,api-docs.databricks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-19T23:59:59Z,CN=api-docs.databricks.com,api-docs.databricks.com,api-docs.databricks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,374c2bbb7db08b8a82b3f1441fbaf309,d8fccdccfb40a5d1913c806afb33bc241c10cf0bf51e3cb7eb9dbe1d23e9d2b0,ctls,api-docs.databricks.com,443,https://api-docs.databricks.com:443,https,AmazonS3,text/html,GET,18.66.122.81,/,-180489070,18.66.122.82,190,False,Pygments,,,,,cloudfront,True,,,
aws-us-dnb-analyticsstudio.cloud.databricks.com,Service Unavailable,503,268,aws-us-dnb-analyticsstudio.cloud.databricks.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-25T21:37:18Z,2023-07-24T21:37:17Z,CN=waf.cloud.databricks.com,waf.cloud.databricks.com,xerox-dnb-ananlyticsstudio.cloud.databricks.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,89269b651207dbeee556a5bc724c5a30,ed9ef8f62adb9947c295163100dd12c548ea427b74f21241a39225ed2458429e,ctls,aws-us-dnb-analyticsstudio.cloud.databricks.com,443,https://aws-us-dnb-analyticsstudio.cloud.databricks.com:443,https,AkamaiGHost,text/html,GET,95.101.111.167,/,1827294396,2a02:26f0:480:23::1726:629d,9,False,,,,,,,,,,
bmt.cloud.databricks.com,Databricks - Sign In,200,529,bmt.cloud.databricks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-08-28T23:59:59Z,"CN=*.cloud.databricks.com, O=Databricks Inc., L=San Francisco, ST=California, C=US",*.cloud.databricks.com,cloud.databricks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,32c4bc38aafab329775af52b0995d0c7,e00aff664e734971f946eb9c46e43dd4cd00acbad5aa5e80d9dd3fafa1cd8d07,ctls,bmt.cloud.databricks.com,443,https://bmt.cloud.databricks.com:443,https,databricks,text/html,GET,54.184.10.192,/,-491607480,54.184.10.192,1,False,HSTS,https://widget.intercom.io,Databricks Inc.,True,https://bmt.cloud.databricks.com/login.html,,,,,
brand.databricks.com,Brandguide,200,2146,brand.databricks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-03-21T23:59:59Z,CN=brand.databricks.com,brand.databricks.com,brand.databricks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73221bb6c6752ac01bb73d2b71fbe083,27cfc8dc20618877741520ea45112ce5f05bde6fdc8dae91fc36367a95d5aa44,ctls,brand.databricks.com,443,https://brand.databricks.com:443,https,AmazonS3,text/html,GET,52.222.214.102,/,25585719,52.222.214.114,1,False,Google Tag Manager,,,,,cloudfront,True,,,
briefing.databricks.com,Databricks Executive Briefing Customer Portal,200,572698,briefing.databricks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T15:00:32Z,2023-06-26T15:00:31Z,CN=briefing.databricks.com,briefing.databricks.com,briefing.databricks.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a3d778755ff4fcb69efa87d333bc03d2,e68bda5f9a7ea124830dc2e0da76b7b2a280c2f4d90717ea520f124e2d24da5e,ctls,briefing.databricks.com,443,https://briefing.databricks.com:443,https,Caddy nginx,text/html,GET,54.194.41.141,/,-229100538,54.194.41.141,54,False,WordPress,,,,,,,,,
canada.cloud.databricks.com,Databricks - Sign In,200,529,canada.cloud.databricks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-08-28T23:59:59Z,"CN=*.cloud.databricks.com, O=Databricks Inc., L=San Francisco, ST=California, C=US",*.cloud.databricks.com,cloud.databricks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,32c4bc38aafab329775af52b0995d0c7,e00aff664e734971f946eb9c46e43dd4cd00acbad5aa5e80d9dd3fafa1cd8d07,ctls,canada.cloud.databricks.com,443,https://canada.cloud.databricks.com:443,https,databricks,text/html,GET,3.96.84.222,/,-491607480,3.96.84.221,1,False,HSTS,https://widget.intercom.io,Databricks Inc.,True,https://canada.cloud.databricks.com/login.html,,,,,
