new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,caa,txt,mx
[x],acc-abonnement.demorgen.be,"23.213.161.217, 23.213.161.208","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"crm.dpp.edgekey.net, e15443.dscb.akamaiedge.net",,,"2a02:26f0:ab00::214:8e53, 2a02:26f0:ab00::5c7a:d713",,,
[x],acc-mobilebackend.demorgen.be,"96.16.54.192, 96.16.54.187","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net",,,"2a02:26f0:d8::1740:c2a, 2a02:26f0:d8::1740:c41",,,
[x],acc.demorgen.be,"23.61.11.165, 23.61.11.152","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net",,,"2600:1408:5400:1d::173d:b98, 2600:1408:5400:1d::173d:ba5",,,
[x],account.demorgen.be,"2.17.100.242, 2.17.100.131","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpgm-account.edgekey.net, e123360.dscb.akamaiedge.net",,,"2a02:26f0:ab00::214:8e42, 2a02:26f0:ab00::214:8e60",,,
[x],accounts.acc-voordelen.demorgen.be,"52.17.121.244, 52.19.57.181, 52.30.9.119, 52.31.157.92, 52.49.16.186, 52.212.156.205, 54.229.120.124, 52.17.82.217","dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,"accounts-ad-nl.sslproxy.gigya.com, sslproxy.eu1.gigya.com, lb.eu1.gigya.com",,,,,,
[x],accounts.demorgen.be,"52.212.156.205, 52.19.57.181, 52.30.9.119, 52.17.121.244, 52.49.16.186, 52.31.157.92, 54.229.120.124, 52.17.82.217","dns1.p01.nsone.net, hostmaster.nsone.net, ns-1877.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"accounts-ad-nl.sslproxy.gigya.com, sslproxy.eu1.gigya.com, lb.eu1.gigya.com",,,,,,
[x],beta.demorgen.be,,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net",,,,,,
[x],blogs.demorgen.be,,,NOERROR,,,,,,,
[x],bouwjestad.demorgen.be,"62.115.252.57, 80.239.137.139","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net",,,"2001:2030:21::3e73:fc39, 2001:2030:21::50ef:898b",,,
[x],brandedcontent.demorgen.be,"62.115.252.26, 80.239.137.146","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"common1.dpp.edgekey.net, e15441.dscb.akamaiedge.net",,,"2001:2030:21::3e73:fc1a, 2001:2030:21::50ef:8992",,,
[x],cmp.demorgen.be,"13.32.121.91, 13.32.121.98, 13.32.121.43, 13.32.121.85","ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,cdn-1294.privacy-mgmt.com,True,cloudfront,,,,
[x],deals.demorgen.be,146.185.53.23,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,dpp-public-cl21.persgroep-ops.net,,,,,,
