input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,csp_domains_,final_url,cdn_name,cdn
acc-mobilebackend.demorgen.be,Service Unavailable,503,268,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,,,,,,,,,,,,,,,,,,80,http://acc-mobilebackend.demorgen.be:80,http,AkamaiGHost,text/html,GET,2.17.100.208,/,483869110,2a02:26f0:ab00::214:8e61,,9,False,,,,,,
acc.demorgen.be,Access Denied,401,264,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,acc.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-26T09:35:54Z,2023-07-25T09:35:53Z,CN=www.demorgen.be,www.demorgen.be,www.libelletv.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fb8b7eaf69db230e0a425f2ac9313cc1,b08aafa06876f167cb17649b5c6a59d15e826bea6cbd8df4901b92233244bd23,ctls,acc.demorgen.be,443,https://acc.demorgen.be:443,https,AkamaiGHost,text/html,GET,2.17.100.169,/,439619341,2a02:26f0:ab00::214:8e61,HSTS,10,False,,,https://depersgroep.report-uri.io/r/default/csp/enforce,,,
dev.bouwjestad.demorgen.be,Bouw je stad - De Morgen,200,1693,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,dev.bouwjestad.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-26T09:35:54Z,2023-07-25T09:35:53Z,CN=www.demorgen.be,www.demorgen.be,www.libelletv.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fb8b7eaf69db230e0a425f2ac9313cc1,b08aafa06876f167cb17649b5c6a59d15e826bea6cbd8df4901b92233244bd23,ctls,dev.bouwjestad.demorgen.be,443,https://dev.bouwjestad.demorgen.be:443,https,AmazonS3,text/html,GET,2.17.100.144,/,-1096401893,2a02:26f0:ab00::5c7a:d731,Amazon Web Services,31,False,,,,,,
esales.demorgen.be,Access Denied,403,268,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,esales.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.demorgen.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.demorgen.be,demorgen.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,07e65fc961c5221242745648464e607c,5a3b147ec2db60077a644d137fb79b2a2cef900a1fd360ad7abcd510b428a93c,ctls,esales.demorgen.be,443,https://esales.demorgen.be:443,https,,text/html,GET,2.17.100.208,/,-2146726839,2a02:26f0:ab00::214:8e61,,10,False,DPG Media Services N.V.,True,,,,
https://depersgroep.report-uri.io/r/default/csp/enforce,Report URI: Welcome to report-uri.com,200,30914,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,report-uri.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T21:09:26Z,2023-07-04T21:09:25Z,CN=*.report-uri.com,*.report-uri.com,report-uri.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2128e997ff28af0650b7d95c3213b246,ce65156d72d6ff348f1e593736490978e80976ba3859748a2d4acb57b88b87e5,ctls,report-uri.com,443,https://depersgroep.report-uri.io:443/r/default/csp/enforce,https,cloudflare,text/html,GET,104.16.84.77,/r/default/csp/enforce,1563105865,2606:4700::6810:544d,HTTP/3,534,False,,True,https://scotthelme.report-uri.com/r/d/csp/enforce,https://report-uri.com,cloudflare,True
login.demorgen.be,Inlogpoging geblokkeerd,406,3323,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,login.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.demorgen.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.demorgen.be,demorgen.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,07e65fc961c5221242745648464e607c,5a3b147ec2db60077a644d137fb79b2a2cef900a1fd360ad7abcd510b428a93c,ctls,login.demorgen.be,443,https://login.demorgen.be:443,https,AkamaiGHost,text/html,GET,2.17.100.208,/,972660828,2a02:26f0:ab00::5c7a:d710,,1,False,DPG Media Services N.V.,True,,,,
myaccount.demorgen.be,DPG Media Privacy Gate,200,8841,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,ctls,myprivacy.dpgmedia.be,443,https://myaccount.demorgen.be:443,https,,text/html,GET,2.17.100.129,/,1274734426,2a02:26f0:ab00::214:8e70,Google Tag Manager,278,False,DPG Media Services nv,True,,https://myprivacy.dpgmedia.be/consent?siteKey=6ofbu0sz5rfxpook&callbackUrl=https%3A%2F%2Fmyaccount.demorgen.be%2Fprivacygate-confirm%3FredirectUri%3D%252F,,
social.demorgen.be,,200,,AS16509,AS16509,Unknown,52.40.0.0/14,,,,,,,,,,,,,,,,,,80,http://social.demorgen.be:80,http,,text/html,GET,52.31.157.92,/,-1516177449,52.19.57.181,,1,False,,,,,,
static.demorgen.be,Service Unavailable,503,268,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,static.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-26T09:35:54Z,2023-07-25T09:35:53Z,CN=www.demorgen.be,www.demorgen.be,www.libelletv.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fb8b7eaf69db230e0a425f2ac9313cc1,b08aafa06876f167cb17649b5c6a59d15e826bea6cbd8df4901b92233244bd23,ctls,static.demorgen.be,443,https://static.demorgen.be:443,https,AkamaiGHost,text/html,GET,2.17.100.169,/,1380001316,2a02:26f0:ab00::5c7a:d710,HSTS,9,False,,,,,,
video.demorgen.be,,404,11,AS20940,AKAMAI-ASN1,NL,2.16.2.0/24,video.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-10T01:01:22Z,2023-06-08T01:01:21Z,CN=video.topics.be,video.topics.be,video.volkskrant.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d5b3e00087043dd089b66e3ebac6c8d7,d44b58d3c562f082110c011f8e541a1a9b8781aad2f5ffae8be8cb516eb4bad3,ctls,video.demorgen.be,443,https://video.demorgen.be:443,https,AkamaiNetStorage,,GET,2.16.1.67,/,1864250944,2a02:26f0:1700:5::5f65:1b46,,2,False,,,,,,
