new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,ns,has_internal_ips,internal_ips,txt,mx,caa
[x],_spf.doctolib.com,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,v=spf1 ip4:199.255.192.0/22 ip4:199.127.232.0/22 ip4:54.240.0.0/18 ip4:69.169.224.0/20 ip4:23.249.208.0/20 ip4:23.251.224.0/19 ip4:76.223.176.0/20 ip4:54.240.64.0/19 ip4:54.240.96.0/19 ip4:52.82.172.0/22 -all,,
[x],_spf2.doctolib.com,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,v=spf1 ip4:46.19.168.11 ip4:46.19.168.15 ip4:149.72.175.76 ip4:34.255.61.190 ip4:34.246.32.154 ip4:34.246.114.33 ip4:192.124.249.58 ip4:147.253.213.160 ip4:147.253.211.17 -all,,
[x],a.doctolib.fr,172.65.248.213,2606:4700:90:0:3697:4d05:99b8:dc3a,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs.doctolib.fr, 0135052461d0410b8e4b124e9d0927e0.pacloudflare.com",,,,,,
[x],a.doctolib.it,172.65.239.57,2606:4700:90:0:57c:66fa:66a3:f297,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs.doctolib.it, 65e3e463c2f0431c9e09f06ea716da06.pacloudflare.com",,,,,,
[x],about-staging.doctolib.fr,"104.16.234.19, 104.16.235.19","2606:4700::6810:eb13, 2606:4700::6810:ea13","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,ca3-c7f24d3b5b8240329b542619a62d9465,,
[x],about-staging.doctolib.it,"172.64.144.195, 104.18.43.61","2606:4700:4400::ac40:90c3, 2606:4700:4400::6812:2b3d","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,ca3-5a90b5b90b7442c788027e3863b8402a,,
[x],about.doctolib.com,172.65.196.33,2606:4700:90:0:f3d3:2b0c:af9b:2bbe,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs.doctolib.com, 9d293f60cfa24c928e66aef97a3e0aaa.pacloudflare.com",,,,,,
[x],about.doctolib.de,172.65.251.247,2606:4700:90:0:8276:a1b7:9b67:6531,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs.doctolib.de, 1e87368e721d4d36b8aae2fdb8b0d37a.pacloudflare.com",,,,,,
[x],about.doctolib.it,172.65.239.57,2606:4700:90:0:57c:66fa:66a3:f297,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs.doctolib.it, 65e3e463c2f0431c9e09f06ea716da06.pacloudflare.com",,,,,,
[x],admin-staging.doctolib.fr,172.65.216.187,2606:4700:90:0:27b:8cb0:7d6:d616,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs-staging.doctolib.fr, adb19b6f6f50413f85f16e9f8e4eab77.pacloudflare.com",,,,,,
