new,host,a,cname,soa,status_code,aaaa,ns,txt,caa,cdn,cdn-name,mx
[x],alphatemppostmanmobile.ax-semantics.docsend.com,"3.232.242.170, 52.20.78.240, 54.91.59.199, 3.220.57.224",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],apex.docsend.com,"52.20.78.240, 54.91.59.199, 3.220.57.224, 3.232.242.170",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],app-nld103.docsend.com,"54.91.59.199, 3.220.57.224, 3.232.242.170, 52.20.78.240",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],assets.docsend.com,"108.138.17.126, 108.138.17.5, 108.138.17.88, 108.138.17.39",d2qvtfnm75xrxf.cloudfront.net,"ns-624.awsdns-14.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,
[x],demo-awsstreaming.ax-semantics.docsend.com,"3.220.57.224, 52.20.78.240, 54.91.59.199, 3.232.242.170",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],pm-bounces.docsend.com,,pm.mtasv.net,"ns-1077.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],puppet.hellosign.com,,,"ns-1734.awsdns-24.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],redis.hellosign.com,,internal-lb-prod-cache-748001485.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],release.hellosign.com,,,"ns-1734.awsdns-24.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sustainax.docsend.com,,curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],tor101-147-pdb.ax-semantics.docsend.com,,curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],vw.docsend.com,"3.220.57.224, 3.232.242.170, 52.20.78.240, 54.91.59.199",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],zendesk3.docsend.com,"162.159.128.7, 162.159.138.6",mail3.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,,v=spf1 include:_netblocks.zdsys.com ~all,,True,cloudflare,
[x],zendesk4.docsend.com,"162.159.138.6, 162.159.128.7",mail4.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudflare,mail.zendesk.com
,1tm.docsend.com,"3.232.242.170, 52.20.78.240, 54.91.59.199, 3.220.57.224",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,235923.docsend.com,"52.20.78.240, 54.91.59.199, 3.220.57.224, 3.232.242.170",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,246.static.mail.hellosign.com,69.72.47.246,,"ns-1734.awsdns-24.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,2fwww.docsend.com,"3.220.57.224, 3.232.242.170, 54.91.59.199, 52.20.78.240",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,31south.docsend.com,"54.91.59.199, 52.20.78.240, 3.232.242.170, 3.220.57.224",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,360dg.docsend.com,"3.232.242.170, 52.20.78.240, 3.220.57.224, 54.91.59.199",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,3dr.docsend.com,"3.220.57.224, 3.232.242.170, 52.20.78.240, 54.91.59.199",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,412vf.docsend.com,"52.20.78.240, 54.91.59.199, 3.220.57.224, 3.232.242.170",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,5capital.docsend.com,"3.232.242.170, 52.20.78.240, 3.220.57.224, 54.91.59.199",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,776.docsend.com,"3.220.57.224, 52.20.78.240, 54.91.59.199, 3.232.242.170",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,87572.docsend.com,"3.220.57.224, 3.232.242.170, 52.20.78.240, 54.91.59.199",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,abelskemmner.docsend.com,"3.220.57.224, 54.91.59.199, 52.20.78.240, 3.232.242.170",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,accrete.docsend.com,"52.20.78.240, 54.91.59.199, 3.220.57.224, 3.232.242.170",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,acheterduneuf.docsend.com,"52.20.78.240, 54.91.59.199, 3.220.57.224, 3.232.242.170",curly-hummingbird-05smsr1t1rf1bso850buwz9i.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
