new,host,a,aaaa,soa,txt,status_code,cdn,cdn-name,mx,cname,ns,caa
[x],32www.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],66trainingllcservices.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],academia.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],aletheiasolutionsinc.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],aspen-dev1.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],aspen-staging.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],aspen-test.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],aspen.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],aspenadmin.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],aspenapi.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],athena.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],autodiscover.eccouncil.org,"40.99.150.24, 40.99.150.40, 40.99.150.8, 52.97.135.104, 52.98.243.24, 40.99.222.184, 52.98.241.200, 52.98.152.248","2603:1026:c03:3000::8, 2603:1026:207:177::8, 2603:1026:206:3::8, 2603:1026:c03:7073::8","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,
[x],aware.eccouncil.org,"104.18.9.180, 104.18.8.180",,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],backend-codered.eccouncil.org,,"2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],barracuda.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],blog.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com","ca3-5c7340edb6264a858b3dc618b32e7ffb, ca3-05db3c8487e8450e9804fc89653a07e9",NOERROR,True,cloudflare,,,,
[x],campaign.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],campaigns.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",ca3-2bbfb545d99340fca1b04be5fc1ca7a6,NOERROR,True,cloudflare,,,,
[x],captivasolutions.eccouncil.org,,"2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],careers.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],cedsolutions.eccouncil.org,"188.114.98.234, 188.114.99.234","2a06:98c1:3123:e000::a, 2a06:98c1:3122:e000::a","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],cert.eccouncil.org,"188.114.98.229, 188.114.99.229","2a06:98c1:3122:e000::a, 2a06:98c1:3123:e000::a","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],checkout.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
