new,host,a,mx,soa,ns,txt,caa,status_code,cname,has_internal_ips,internal_ips,aaaa,cdn,cdn-name
[x],cdn.elo.com.br,,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,,NOERROR,dq3arc65m2egx.cloudfront.net,,,,,
[x],cms-prod.elo.com.br,"10.98.29.45, 10.98.101.58, 10.98.153.57",,"ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-prod-ingressp-01997f8e0c-1552843569.sa-east-1.elb.amazonaws.com,True,"10.98.29.45, 10.98.101.58, 10.98.153.57",,,
[x],ir.elo.com.br,"2.16.247.62, 2.16.247.8",,"n0dsca.akamaiedge.net, hostmaster.akamai.com",,,,NOERROR,"elo.gcs-web.com, leapfrog-ssl-36.gcs-web.com.edgekey.net, e111556.dsca.akamaiedge.net",,,"2a02:26f0:c900:9::5f65:4aa2, 2a02:26f0:c900:9::5f65:4a8a",,
[x],localhost.mail.elo.com.br,127.0.0.1,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,,NOERROR,,True,127.0.0.1,,,
[x],manager.fortify.elo.com.br,,,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,,,
[x],mediab2b-prd.elo.com.br,"65.9.66.124, 65.9.66.110, 65.9.66.35, 65.9.66.29",,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com","ns-1479.awsdns-56.org, ns-1854.awsdns-39.co.uk, ns-415.awsdns-51.com, ns-513.awsdns-00.net",,,NOERROR,,,,,True,cloudfront
[x],mta.elo.com.br,,,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,,,
[x],mta.mail.elo.com.br,13.111.106.229,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,,NOERROR,,,,,,
[x],mta3.mail.elo.com.br,13.111.201.52,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,,NOERROR,,,,,,
[x],portalb2b-prd.elo.com.br,"18.244.114.31, 18.244.114.127, 18.244.114.116, 18.244.114.64",,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com","ns-1479.awsdns-56.org, ns-1854.awsdns-39.co.uk, ns-415.awsdns-51.com, ns-513.awsdns-00.net",,,NOERROR,,,,,True,cloudfront
[x],radar-arquitetura.elo.com.br,10.37.0.179,,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",,,,NOERROR,,True,10.37.0.179,,,
[x],vpn.elo.com.br,177.71.242.149,,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,,,
