new,host,a,soa,ns,status_code,aaaa,cdn,cdn-name,mx,txt
[x],3p-pclick.www.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
[x],7wkce.ftp.cryptojourney.com,"3.64.163.50, 97.74.98.67, 173.201.66.67","ns1.dan.com, dns.jomax.net","ns2.dan.com, ns1.dan.com",NOERROR,"2603:5:2125::43, 2603:5:2225::43",,,,
[x],alkopona.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns2.dan.com, ns1.dan.com",NOERROR,,,,,
[x],assets-www.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
[x],autodiscover.edoverflow.com,"104.21.51.250, 172.67.192.130","lucy.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700:3037::6815:33fa, 2606:4700:3031::ac43:c082",True,cloudflare,,
[x],backup-enes.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
[x],bugbountyguide.com,"104.21.44.168, 172.67.201.148","lucy.ns.cloudflare.com, dns.cloudflare.com","lucy.ns.cloudflare.com, zod.ns.cloudflare.com",NOERROR,"2606:4700:3033::ac43:c994, 2606:4700:3037::6815:2ca8",True,cloudflare,"eforward5.registrar-servers.com, eforward1.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com, eforward4.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all
[x],c3-cache.ftp.cryptojourney.com,"3.64.163.50, 97.74.98.67, 173.201.66.67","ns1.dan.com, dns.jomax.net","ns2.dan.com, ns1.dan.com",NOERROR,"2603:5:2125::43, 2603:5:2225::43",,,,
[x],cachejenkinsroot.www.cryptojourney.com,"3.64.163.50, 97.74.98.67, 173.201.66.67","ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,"2603:5:2125::43, 2603:5:2225::43",,,,
[x],confluence-int-users.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
[x],cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
[x],dbms-chefm.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns2.dan.com, ns1.dan.com",NOERROR,,,,,
[x],edoverflow.com,"172.67.192.130, 104.21.51.250","lucy.ns.cloudflare.com, dns.cloudflare.com","zod.ns.cloudflare.com, lucy.ns.cloudflare.com",NOERROR,"2606:4700:3031::ac43:c082, 2606:4700:3037::6815:33fa",True,cloudflare,"mx01.ionos.com, mx00.ionos.com","v=spf1 include:_spf.perfora.net include:_spf.kundenserver.de -all, google-site-verification=nRmp6C8xL_mbeB6ZFMZVAau3eYOieKrSlKm2iqn-2gw, https://youtu.be/YSDAAh6Lps4"
[x],ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net",,NOERROR,,,,,
[x],gcp-mailrelay.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
[x],h-135-197-193-24.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns2.dan.com, ns1.dan.com",NOERROR,,,,,
[x],imagesv2.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns2.dan.com, ns1.dan.com",NOERROR,,,,,
[x],ipv4-c002-ixc001-quadrant-isp.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
[x],jammer.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
[x],obatdenatureherbal.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
[x],origin-fs-jservice-bth.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns2.dan.com, ns1.dan.com",NOERROR,,,,,
[x],pgg3sj.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns2.dan.com, ns1.dan.com",NOERROR,,,,,
[x],raf.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
[x],securitytxt.org,"188.114.96.3, 188.114.97.3","lucy.ns.cloudflare.com, dns.cloudflare.com","zod.ns.cloudflare.com, lucy.ns.cloudflare.com",NOERROR,"2a06:98c1:3120::3, 2a06:98c1:3121::3",True,cloudflare,"eforward4.registrar-servers.com, eforward3.registrar-servers.com, eforward5.registrar-servers.com",
[x],tor4-12-pda.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns2.dan.com, ns1.dan.com",NOERROR,,,,,
[x],tor53-66-pdb.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
[x],updatechefgatewaybetatemp-exchangedns.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
[x],util47.ftp.cryptojourney.com,"3.64.163.50, 97.74.98.67, 173.201.66.67","ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,"2603:5:2125::43, 2603:5:2225::43",,,,
[x],v3-pr-live.ftp.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
[x],vogueswing.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns2.dan.com, ns1.dan.com",NOERROR,,,,,
[x],www.bugbountyguide.com,"104.21.44.168, 172.67.201.148","lucy.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700:3037::6815:2ca8, 2606:4700:3033::ac43:c994",True,cloudflare,,
[x],www.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns2.dan.com, ns1.dan.com",NOERROR,,,,,
[x],www.securitytxt.org,"172.67.193.176, 104.21.12.55","lucy.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700:3030::ac43:c1b0, 2606:4700:3031::6815:c37",True,cloudflare,,
[x],yity.cryptojourney.com,3.64.163.50,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",NOERROR,,,,,
