new,host,a,cname,soa,status_code,cdn,cdn-name,mx,ns,txt,caa,aaaa
[x],m.preprod.evernote.com,35.197.118.142,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
[x],zendesk1.help.evernote.com,,mail1.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,,v=spf1 include:_netblocks.zdsys.com ~all,,
,1yd6yam-www.evernote.com,35.244.241.200,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,account.evernote.com,,sparkpostmail.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,smtp.sparkpostmail.com,"ns-1361.awsdns-42.org, ns-1855.awsdns-39.co.uk, ns-304.awsdns-38.com, ns-775.awsdns-32.net","202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all",,
,accounts.evernote.com,2.18.233.40,"accounts.evernote.com.edgekey.net, e7641.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,"2a02:26f0:6c00:1b8::1dd9, 2a02:26f0:6c00:1b3::1dd9"
,accounts.preprod3.evernote.com,"104.126.37.19, 104.126.37.56","accounts.preprod3.evernote.com.edgekey.net, e34616.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,"2a02:26f0:ab00::5c7a:d708, 2a02:26f0:ab00::5c7a:d768"
,api.evernote.com,35.244.177.4,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,api.preprod3.evernote.com,34.107.181.35,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,api.stage.evernote.com,34.102.235.126,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,api.test.gke4.evernote.com,35.244.157.61,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,appcenter.evernote.com,130.211.18.199,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
