new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,caa,txt,mx,ns
[x],analytics.every.org,"104.20.89.241, 104.20.90.241","2606:4700:10::6814:59f1, 2606:4700:10::6814:5af1","danica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api.staging.every.org,"104.20.90.241, 104.20.89.241","2606:4700:10::6814:5af1, 2606:4700:10::6814:59f1","danica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,digicert.com,,,
[x],api.www.every.org,"104.20.89.241, 104.20.90.241","2606:4700:10::6814:5af1, 2606:4700:10::6814:59f1","danica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,digicert.com,,,
[x],blog.every.org,"104.20.90.241, 104.20.89.241","2606:4700:10::6814:59f1, 2606:4700:10::6814:5af1","danica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],cdn.every.org,,,"danica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 +mx:every.org -all,,
[x],community.every.org,,,"danica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 +mx:every.org -all,,
[x],docs.every.org,"104.20.89.241, 104.20.90.241","2606:4700:10::6814:5af1, 2606:4700:10::6814:59f1","danica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],embeds.every.org,"76.76.21.98, 76.76.21.142",,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,cname.vercel-dns.com,"globalsign.com, letsencrypt.org, sectigo.com",,,
[x],every.org,"104.20.89.241, 104.20.90.241, 108.162.194.187, 162.159.38.187, 172.64.34.187, 108.162.195.182, 162.159.44.182, 172.64.35.182","2606:4700:10::6814:59f1, 2606:4700:10::6814:5af1","danica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"digicert.com; cansignhttpexchanges=yes, pki.goog; cansignhttpexchanges=yes, letsencrypt.org, comodoca.com","stripe-verification=f2258b3c0ff172fb2514fe7d6ed02ee16ba1c06baf3bfdf5ce84326059cc8000, google-site-verification=aXBXjmO6wcRAne0I7MlvZseaTKp4BubW9VjNzvd6L3A, google-site-verification=qDT3nhu19dPLGoCN59fmxTvIqpOH6nfW5EQ6htUjpq0, v=spf1 include:_spf.google.com include:mail.zendesk.com -all, facebook-domain-verification=jeaokkd20x1kr8j22snn12f1mb0dg1, brave-ledger-verification=bbaafb18881a8fb5bd354b280553f6c377ff5e1ce9ec21642b2178b6c92a5cb8, google-site-verification=D0QK62pcw09q3yQ_u5wTOGx24FjLTDHO6WagpkLNBTs, ALIAS for triangular-kumquat-8c0493n2omckuenws7c5kujy.herokudns.com, heroku-domain-verification=hzdpssum0wcqrv9tyjongfynlfz9hz/45knd8kju30","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","danica.ns.cloudflare.com, jasper.ns.cloudflare.com"
[x],feedback.every.org,"104.20.89.241, 104.20.90.241","2606:4700:10::6814:59f1, 2606:4700:10::6814:5af1","danica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],forum.every.org,,,"danica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 +mx:every.org -all,,
[x],kimbra.every.org,"76.76.21.142, 76.76.21.93",,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,cname.vercel-dns.com,"sectigo.com, letsencrypt.org, globalsign.com",,,
[x],list.every.org,"76.76.21.22, 76.76.21.98",,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,cname.vercel-dns.com,"letsencrypt.org, globalsign.com, sectigo.com",,,
