new,host,a,soa,status_code,cdn,cdn-name,cname,ns,mx,txt,aaaa,has_internal_ips,internal_ips,caa
[x],00-api-active-okta-network-zh-eu-south-1aging3.com.com.expediagroup.com,,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],00-api-active-okta-network-zh-git3.com.com.expediagroup.com,70.32.88.103,,NOERROR,,,,,,,,,,
[x],00-api-active-okta-network-zh-staging3.apiserver.apiserver.expediagroup.com,70.32.88.103,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],00-api-active-okta-network-zh-staging3.co-promotions-webiates.com.com.expediagroup.com,70.32.88.103,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],00-api-active-okta-network-zh-staging3.coeso-www-0.coeso-www-0.expediagroup.com,70.32.88.103,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],00-api-active-okta-network-zh-staging3.stage.stage.expediagroup.com,70.32.88.103,"pdns1.ultradns.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],00-api-active-okta-netwostorek-zh-staging3.com.com.expediagroup.com,70.32.88.103,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],00-mxb3.active-okta-network-zh-staging3.expediagroup.com,70.32.88.103,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],00-tun-active-okta-network-zh-staging3.com.com.expediagroup.com,70.32.88.103,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],00.okta.okta.expediagroup.com,70.32.88.103,"pdns1.ultradns.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],000-active-okta-dl-zh-staging3y4.com.expediagroup.com,70.32.88.103,,NOERROR,,,,,,,,,,
[x],000-active-okta-network-zh-staging3y4.coaffpc-promosquidions-webiasquides.expediagroup.com,70.32.88.103,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],000-active-okta-network-zh-staging3y4.coeybridge.expediagroup.com,70.32.88.103,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],000-active-okta-network-zh-staging3y4.cologging.expediagroup.com,70.32.88.103,"dns1.p01.nsone.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],000-active-okta-network-zh-staging3y4.issues.expediagroup.com,70.32.88.103,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],000-active-okta-network-zh-staging3y4.lp.expediagroup.com,70.32.88.103,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],000-active-okta-network-zh-staging3y4.testing.expediagroup.com,70.32.88.103,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],000-active-okta-network-zh-staging3yuser.com.expediagroup.com,70.32.88.103,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],000-profiles-boot-security-saml-demo-okta2.ws.expediagroup.com,70.32.88.103,"dns1.p01.nsone.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],000-spring-boot-security-saml-demo-okta2ghcpi.expediagroup.com,70.32.88.103,"dns1.p01.nsone.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],00d20000000mqyyeaachefadmin10-okta.roadtrip.expediagroup.com,70.32.88.103,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],33900648.expediagroup.com,70.32.88.103,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],4d.abritel.fr,213.30.184.117,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],_spf.expedia.com,,"pdns1.ultradns.net, domains.expediagroup.com",NOERROR,,,,,,"v=spf1 ip4:216.251.112.0/24 ip4:173.209.81.0/24 ip4:173.209.82.0/24 ip4:173.209.86.0/24 ip4:66.244.67.50 ip4:165.193.56.42 ip4:54.246.138.234 ip4:54.246.188.215 ip4:135.84.216.0/24 ip4:135.84.217.0/24 ip4:199.255.192.0/22 ip4:199.127.232.0/22 ip4:54.240.0, .0/18 include:spf.protection.outlook.com -all",,,,
[x],_spf_hotwire.hotwire.com,,"ns01.hotwire.com, hostmaster.hotwire.com",NOERROR,,,,,,,,,,
