input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,tls_mismatched,tls_subject_org_,csp_domains_,final_url,tls_self_signed
*.filezilla-project.org,FileZilla - The free FTP solution,200,9338,,443,https://filezilla-project.org:443,https,Apache,text/html,GET,49.12.121.47,/,692153809,2a01:4f8:242:52d0::2,HSTS,195,False,,filezilla-project.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-01T08:12:59Z,2023-07-30T08:12:58Z,CN=www.filezilla-project.org,www.filezilla-project.org,www.filezilla-project.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5c825dbaa257ee4dec282637a34a0576,f0e0b9070b9be37c9569adcca75ad9febcb40879e018425bfbc22777beb44d39,,ctls,filezilla-project.org,,,*.filezilla-project.org,,
2018-chefconfig-config-0.odoo.com,Typo | Odoo,200,42830,,443,https://2018-chefconfig-config-0.odoo.com:443,https,nginx,text/html,GET,141.94.74.34,/,-786480393,141.94.74.34,Python,596,False,,www.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,www.odoo.com,,,,https://www.odoo.com/typo?domain=2018-chefconfig-config-0.odoo.com&autodbname=2018-chefconfig-config-0&hosting=eu177a.odoo.com,
accessconfig-config-cms.gcr.io,,404,49,,443,https://accessconfig-config-cms.gcr.io:443,https,Docker Registry,text/plain,GET,108.177.15.82,/,302920777,2a00:1450:400c:c0c::52,HTTP/3,1,False,,accessconfig-config-cms.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:28:59Z,2023-07-10T08:28:58Z,CN=*.gcr.io,*.gcr.io,gcr.io,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5f40d822abd8e8aa693f31929e0efacc,d312f8a506110956cdb9160ad0b0020dc7dffc1f07f2b630947bb6103be887fe,True,ctls,accessconfig-config-cms.gcr.io,,,,,
api-v1partners-config.covideo-bot8.semrush.com,404,404,134,google,443,https://api-v1partners-config.covideo-bot8.semrush.com:443,https,,text/html,GET,34.120.45.191,/,1530892233,34.120.45.191,HTTP/3,1,False,True,api-v1partners-config.covideo-bot8.semrush.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-08T23:59:59Z,CN=*.semrush.com,*.semrush.com,semrush.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d854464dcbddeb118ed8a91823151d7,36f5ae6c00b65e0a0a403c8c3c9e151ee7eff7ee9e18d9b86cf70c39d64387e5,True,ctls,api-v1partners-config.covideo-bot8.semrush.com,True,,,,
authconfig-config-vip-svnusers.runbot108.odoo.com,404 Not Found,404,555,,443,https://authconfig-config-vip-svnusers.runbot108.odoo.com:443,https,nginx,text/html,GET,141.95.203.16,/,-1523547558,141.95.203.16,Nginx,14,False,,authconfig-config-vip-svnusers.runbot108.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T11:01:30Z,2023-06-15T11:01:29Z,CN=*.runbot108.odoo.com,*.runbot108.odoo.com,runbot108.odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6d330be997fb8fc2d98e98c9b14a3499,9da38db8913990f4c4fa6d6a0ada37847823ca9e4c30f62a0d427351da16f924,True,ctls,authconfig-config-vip-svnusers.runbot108.odoo.com,,,,,
authconfig-config-vip-svnusers.sg-dev.seek.com,,418,31,cloudflare,443,https://authconfig-config-vip-svnusers.sg-dev.seek.com:443,https,cloudflare,text/plain,GET,104.18.0.110,/,-2113662151,2606:4700::6812:16e,HSTS,2,False,True,authconfig-config-vip-svnusers.sg-dev.seek.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:11:51Z,2023-07-11T00:54:39Z,CN=*.sg-dev.seek.com,*.sg-dev.seek.com,*.sg-dev.seek.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,62957cde799fbb44d2a6cb2f7ed2bc95,8bc3458824dc5e1c9f6b5aa5b6dcdf2affba1d6e51a06d8688a63893cfa672df,True,ctls,authconfig-config-vip-svnusers.sg-dev.seek.com,,,,,
authconfig-config-vip-svnusers.tianma-prd-in.vivo.com,403 Forbidden,403,548,,443,https://authconfig-config-vip-svnusers.tianma-prd-in.vivo.com:443,https,nginx,text/html,GET,129.227.254.190,/,-2074234972,129.227.254.190,Nginx,14,False,,authconfig-config-vip-svnusers.tianma-prd-in.vivo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-01T00:00:00Z,2023-12-02T23:59:59Z,"CN=*.tianma-prd-in.vivo.com, O=vivo Mobile Communication Co.\, Ltd., L=Dongguan, ST=Guangdong Province, C=CN",*.tianma-prd-in.vivo.com,*.tianma-prd-in.vivo.com,"CN=Secure Site CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site CA G2,DigiCert Inc,e9e8432b3ca8671e3edaf95c1361f3c5,9771e622205c39200c8fec707d64b52d11979b54e1e5b711492f9845ecabbddd,True,ctls,authconfig-config-vip-svnusers.tianma-prd-in.vivo.com,,"vivo Mobile Communication Co., Ltd.",,,
aws-proxyslaveconfig.comodo.bluesnap.com,All-in-One Payment Orchestration Platform to Increase Revenue & Reduce Costs | BlueSnap,200,136832,,443,https://aws-proxyslaveconfig.comodo.bluesnap.com:443,https,cloudflare,text/html,GET,141.226.142.181,/,,141.226.142.181,Yoast SEO:20.4,1145,False,,home.bluesnap.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-20T00:00:00Z,2024-01-20T23:59:59Z,"CN=home.bluesnap.com, O=BlueSnap\, Inc., ST=Massachusetts, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US, serialNumber=2428061, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US",home.bluesnap.com,www.home.bluesnap.com,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,390e3be31595325f767447b20fc0cc68,2eb33ac2fdca94a8ec21935c87638e05c8f9237920dcc120c476072948b2f0d2,,ctls,home.bluesnap.com,,"BlueSnap, Inc.",*.autodesk.com,https://home.bluesnap.com,
beta-config-config.odoo.com,Typo | Odoo,200,42578,,443,https://beta-config-config.odoo.com:443,https,nginx,text/html,GET,141.94.74.34,/,-79744674,141.94.74.34,Python,596,False,,www.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,www.odoo.com,,,,https://www.odoo.com/typo?domain=beta-config-config.odoo.com&autodbname=beta-config-config&hosting=eu177a.odoo.com,
beta-cs-config.comodo.bluesnap.com,All-in-One Payment Orchestration Platform to Increase Revenue & Reduce Costs | BlueSnap,200,136832,,443,https://beta-cs-config.comodo.bluesnap.com:443,https,cloudflare,text/html,GET,141.226.142.181,/,,141.226.142.181,Yoast SEO:20.4,1145,False,,home.bluesnap.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-20T00:00:00Z,2024-01-20T23:59:59Z,"CN=home.bluesnap.com, O=BlueSnap\, Inc., ST=Massachusetts, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US, serialNumber=2428061, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US",home.bluesnap.com,www.home.bluesnap.com,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,390e3be31595325f767447b20fc0cc68,2eb33ac2fdca94a8ec21935c87638e05c8f9237920dcc120c476072948b2f0d2,,ctls,home.bluesnap.com,,"BlueSnap, Inc.",*.bluesnap.com,https://home.bluesnap.com,
