new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,txt,mx,has_internal_ips,internal_ips,caa
[x],000-client.fitbit.com,"104.16.66.50, 104.16.65.50",000-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],000-v3-client.fitbit.com,"104.16.65.50, 104.16.66.50",000-v3-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],001-v3-client.fitbit.com,"104.16.66.50, 104.16.65.50",001-v3-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],002-client.fitbit.com,"104.16.66.50, 104.16.65.50",002-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],003-client.fitbit.com,"104.16.66.50, 104.16.65.50",003-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],003-v3-client.fitbit.com,"104.16.66.50, 104.16.65.50",003-v3-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],004-client.fitbit.com,"104.16.65.50, 104.16.66.50",004-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],005-client.fitbit.com,"104.16.65.50, 104.16.66.50",005-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],005-v3-client.fitbit.com,"104.16.65.50, 104.16.66.50",005-v3-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],006-client.fitbit.com,"104.16.65.50, 104.16.66.50",006-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],006-v3-client.fitbit.com,"104.16.66.50, 104.16.65.50",006-v3-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],007-client.fitbit.com,"104.16.66.50, 104.16.65.50",007-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],007-v3-client.fitbit.com,"104.16.66.50, 104.16.65.50",007-v3-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],008-client.fitbit.com,"104.16.66.50, 104.16.65.50",008-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],009-client.fitbit.com,"104.16.65.50, 104.16.66.50",009-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],010-client.fitbit.com,"104.16.66.50, 104.16.65.50",010-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],010-v3-client.fitbit.com,"104.16.66.50, 104.16.65.50",010-v3-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],011-client.fitbit.com,"104.16.66.50, 104.16.65.50",011-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],012-client.fitbit.com,"104.16.65.50, 104.16.66.50",012-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],012-v3-client.fitbit.com,"104.16.65.50, 104.16.66.50",012-v3-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],013-v3-client.fitbit.com,"104.16.65.50, 104.16.66.50",013-v3-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],014-client.fitbit.com,"104.16.66.50, 104.16.65.50",014-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],014-v3-client.fitbit.com,"104.16.66.50, 104.16.65.50",014-v3-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],015-client.fitbit.com,"104.16.66.50, 104.16.65.50",015-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],015-v3-client.fitbit.com,"104.16.66.50, 104.16.65.50",015-v3-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],016-v3-client.fitbit.com,"104.16.66.50, 104.16.65.50",016-v3-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],016-v3-client.qa1.fitbit.com,,,,NOERROR,,,,,,,,,
