new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,ns,caa,has_internal_ips,internal_ips,mx
[x],api-engdev.forescout.com,"104.17.187.41, 104.17.188.41","2606:4700::6811:bb29, 2606:4700::6811:bc29",api-engdev.forescout.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],api-stage-inc.forescout.com,"104.17.187.41, 104.17.188.41","2606:4700::6811:bb29, 2606:4700::6811:bc29",api-stage-inc.forescout.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],api-stage.forescout.com,"104.17.187.41, 104.17.188.41","2606:4700::6811:bc29, 2606:4700::6811:bb29",api-stage.forescout.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],api.fem-eng.forescout.com,"104.17.187.41, 104.17.188.41","2606:4700::6811:bb29, 2606:4700::6811:bc29",api.fem-eng.forescout.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],api.fem-stage-inc.forescout.com,"104.18.20.249, 104.18.21.249","2606:4700::6812:14f9, 2606:4700::6812:15f9",api.fem-stage-inc.forescout.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],api.fem.forescout.com,"104.18.4.132, 104.18.5.132","2606:4700::6812:584, 2606:4700::6812:484",api.fem.forescout.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],api.forescout.com,"104.17.188.41, 104.17.187.41","2606:4700::6811:bb29, 2606:4700::6811:bc29",api.forescout.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],app.iris.production.forescoutcloud.net,"104.18.9.121, 104.18.8.121","2606:4700::6812:979, 2606:4700::6812:879",app.iris.production.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],backend-api.devicecloud.production.forescoutcloud.net,"104.18.15.66, 104.18.14.66","2606:4700::6812:f42, 2606:4700::6812:e42",backend-api.devicecloud.production.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],bmi-us-prd.forescout.com,63.82.108.10,,,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
