new,host,soa,status_code,a,cdn,cdn-name,mx,txt,cname,has_internal_ips,internal_ips,ns,caa
[x],at.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
[x],pages.email.glassdoor.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,66.231.94.111,,,,,pages.virt.s4.exacttarget.com,,,,
[x],webmail.glassdoor.com,"dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,72.35.12.118,,,,,owa.mailanyone.net,,,,
,about-content.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,about-us.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,ads.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,agencies.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","v=spf1 include:_spf.google.com include:sendgrid.net -all, google-site-verification=5FMKbeeQbsPN_D4x7xIcd-3w83U9Y6xi41AOmLCaQOY",,,,,
,ajuda.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,analytics.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,api-qa.glassdoor.com,"ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,"172.22.89.117, 172.22.87.168",,,,,"qa.glassdoor.com, internal-tf-qa-gateway-687842056.us-west-1.elb.amazonaws.com",True,"172.22.89.117, 172.22.87.168",,
,api-stage.glassdoor.com,"ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,"172.22.91.23, 172.22.87.250",,,,,"stage.glassdoor.com, internal-tf-stage-gateway-1811155735.us-west-1.elb.amazonaws.com",True,"172.22.91.23, 172.22.87.250",,
,api.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,apply-canary.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,apply.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,assets-qa.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,assets-stage.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,assets.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,,
,au.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,ax.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,ayuda.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,b2b-assets.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,blog-consumer.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
