new,host,a,soa,status_code,aaaa,cname,caa,txt,cdn,cdn-name,ns,mx
[x],2048-game.develop.gymshark.com,"34.234.61.223, 35.174.86.172, 34.197.1.191, 54.145.94.41, 34.238.184.59","ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],2048.develop.gymshark.com,"34.234.61.223, 34.197.1.191, 54.145.94.41, 35.174.86.172, 34.238.184.59","ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],66.develop.gymshark.com,"143.204.215.6, 143.204.215.53, 143.204.215.37, 143.204.215.33","ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],66.gymshark.com,"99.84.108.93, 99.84.108.30, 99.84.108.15, 99.84.108.63","ns-1937.awsdns-50.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],ablink.app.gymshark.com,"108.138.17.128, 108.138.17.38, 108.138.17.121, 108.138.17.98","ns-813.awsdns-37.net, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2395:3e00:1a:a635:4bc0:93a1, 2600:9000:2395:c00:1a:a635:4bc0:93a1, 2600:9000:2395:f400:1a:a635:4bc0:93a1, 2600:9000:2395:1200:1a:a635:4bc0:93a1, 2600:9000:2395:a000:1a:a635:4bc0:93a1, 2600:9000:2395:f200:1a:a635:4bc0:93a1, 2600:9000:2395:ec00:1a:a635:4bc0:93a1, 2600:9000:2395:b800:1a:a635:4bc0:93a1",d3dj86hx8mvorz.cloudfront.net,,,True,cloudfront,"ns-1387.awsdns-45.org, ns-1639.awsdns-12.co.uk, ns-502.awsdns-62.com, ns-813.awsdns-37.net",
[x],ablink.mail.gymshark.com,"108.138.7.11, 108.138.7.111, 108.138.7.61, 108.138.7.23","ns-1293.awsdns-33.org, awsdns-hostmaster.amazon.com",NOERROR,,d1ikhfmku31syp.cloudfront.net,,,True,cloudfront,"ns-125.awsdns-15.com, ns-1293.awsdns-33.org, ns-1966.awsdns-53.co.uk, ns-593.awsdns-10.net",
[x],ablink.s.gymshark.com,"13.32.99.4, 13.32.99.29, 13.32.99.8, 13.32.99.60","ns-1277.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,,d2d3za9mquh85i.cloudfront.net,,,True,cloudfront,"ns-1277.awsdns-31.org, ns-1930.awsdns-49.co.uk, ns-487.awsdns-60.com, ns-719.awsdns-25.net",
[x],ablink.u.gymshark.com,"108.157.4.20, 108.157.4.42, 108.157.4.61, 108.157.4.100","ns-893.awsdns-47.net, awsdns-hostmaster.amazon.com",NOERROR,,d31mnftd44jzbn.cloudfront.net,,,True,cloudfront,"ns-372.awsdns-46.com, ns-893.awsdns-47.net, ns-1164.awsdns-17.org, ns-1876.awsdns-42.co.uk",
[x],abmail.app.gymshark.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,u11707484.wl235.sendgrid.net,,v=spf1 ip4:149.72.119.180 ip4:168.245.31.130 ip4:223.165.113.46 ip4:223.165.113.47 ip4:223.165.119.15 -all,,,,mx.sendgrid.net
[x],abmail.e.gymshark.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,u11707484.wl235.sendgrid.net,,v=spf1 ip4:149.72.119.180 ip4:168.245.31.130 ip4:223.165.113.46 ip4:223.165.113.47 ip4:223.165.119.15 -all,,,,mx.sendgrid.net
