input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_mismatched,tls_subject_org_,final_url,csp_domains_
*.hotjar.com:*,Hotjar: Website Heatmaps & Behavior Analytics Tools,200,283605,www.hotjar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-11-23T23:59:59Z,CN=*.hotjar.com,*.hotjar.com,hotjar.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,54638f1f3a40f685a2b7e2152ab03579,a25dec72ea3e5a283b6a53a564ea2ef61d08e33d461848a68334173dbe669213,True,ctls,www.hotjar.com,,443,https://hotjar.com:443,https,,text/html,GET,,/,-289595996,,webpack,590,False,,,,,https://www.hotjar.com/,
2048-game.develop.gymshark.com,,404,19,2048-game.develop.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-20T06:04:01Z,2023-06-18T06:04:00Z,CN=2048.develop.gymshark.com,2048.develop.gymshark.com,2048.develop.gymshark.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,480aa326248236abb3a8a61043a1a60a,62e61a783bc7a0fd914162ada57633c962a4acfd48f48652294e5be8f4018d17,,ctls,2048-game.develop.gymshark.com,,443,https://2048-game.develop.gymshark.com:443,https,,text/plain,GET,54.145.94.41,/,-138391155,34.238.184.59,,2,False,,,,,,
2048.develop.gymshark.com,,404,19,2048.develop.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-20T06:04:01Z,2023-06-18T06:04:00Z,CN=2048.develop.gymshark.com,2048.develop.gymshark.com,2048.develop.gymshark.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,480aa326248236abb3a8a61043a1a60a,62e61a783bc7a0fd914162ada57633c962a4acfd48f48652294e5be8f4018d17,,ctls,2048.develop.gymshark.com,,443,https://2048.develop.gymshark.com:443,https,,text/plain,GET,34.238.184.59,/,-138391155,34.234.61.223,,2,False,,,,,,
66.develop.gymshark.com,,403,243,66.develop.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-10-23T23:59:59Z,CN=develop.gymshark.com,develop.gymshark.com,*.develop.gymshark.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,95a3ccbfcf09ebf37a5e6dda9e5cc895,f057f1f3d4ca0366ffab288309240676ca183ebf8fb778dd168001ed00112d2c,True,ctls,66.develop.gymshark.com,cloudfront,443,https://66.develop.gymshark.com:443,https,AmazonS3,application/xml,GET,143.204.215.53,/,-277557954,143.204.215.6,Amazon Web Services,2,False,True,,,,,
ablink.app.gymshark.com,404 Not Found,404,162,ablink.app.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-04-28T23:59:59Z,CN=app.gymshark.com,app.gymshark.com,ablink.app.gymshark.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7890bb815453dda8d2cbfa61d4ff67cb,b9db6526b7dcc6c2503153f10cca6a133603d93726796d38f7037bb43620ff27,,ctls,ablink.app.gymshark.com,cloudfront,443,https://ablink.app.gymshark.com:443,https,nginx,text/html,GET,108.138.17.38,/,190856733,2600:9000:2491:6600:1a:a635:4bc0:93a1,Nginx,8,False,True,,,,,
ablink.mail.gymshark.com,404 Not Found,404,564,ablink.mail.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-11T00:00:00Z,2024-04-09T23:59:59Z,CN=mail.gymshark.com,mail.gymshark.com,ablink.mail.gymshark.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,21fbf25cd066fddda5ba826be39492c4,a72c9f0c9e27a5b2a32bef21f682f28fb572d3e8341b1fbadea2211f14b32a3f,,ctls,ablink.mail.gymshark.com,cloudfront,443,https://ablink.mail.gymshark.com:443,https,nginx,text/html,GET,108.138.7.61,/,1506877856,108.138.7.111,Nginx,14,False,True,,,,,
ablink.s.gymshark.com,404 Not Found,404,564,ablink.s.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-03T00:00:00Z,2023-12-02T23:59:59Z,CN=s.gymshark.com,s.gymshark.com,ablink.s.gymshark.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4aa2093fecf44db468f978e3d75c59bc,5fc0a48f2dbb8246c26f7855a5da07844e13fa428acc04ad0d80f1040839009f,,ctls,ablink.s.gymshark.com,cloudfront,443,https://ablink.s.gymshark.com:443,https,nginx,text/html,GET,13.32.99.60,/,1506877856,13.32.99.29,Nginx,14,False,True,,,,,
ablink.u.gymshark.com,404 Not Found,404,564,ablink.u.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-03T00:00:00Z,2023-12-02T23:59:59Z,CN=u.gymshark.com,u.gymshark.com,ablink.u.gymshark.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,40fdaa57648e046d70b602e9c9d1b667,3586c8e225703c9e000ac5e2a9d53e81add62cfd6ea1836e75b6001252eb7b76,,ctls,ablink.u.gymshark.com,cloudfront,443,https://ablink.u.gymshark.com:443,https,nginx,text/html,GET,18.66.147.43,/,1506877856,18.66.147.46,Nginx,14,False,True,,,,,
admin.tableau.gymshark.io,Login - Tableau Services Manager,200,1989,admin.tableau.gymshark.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-18T23:59:59Z,CN=tableau.gymshark.io,tableau.gymshark.io,admin.tableau.gymshark.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,977d07069979c504202829e7a63e1c21,fd442261de38c4125da86cee2d8c8757d5ba7499c13d92f9040ee9a5bb4508a1,,ctls,admin.tableau.gymshark.io,,443,https://admin.tableau.gymshark.io:443,https,,text/html,GET,3.208.151.32,/,-1035273307,54.236.167.86,,68,False,,,,,,
api-creators.gymshark.com,403 Forbidden,403,548,api-creators.gymshark.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-05-29T23:59:59Z,CN=team-creators.gymshark.com,team-creators.gymshark.com,creators.gymshark.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,36a3948d20d556152e91745328ea57e4,8549a505e744c9d14a20aa5f14a9027c022744adc5feb14621818538fd1086da,,ctls,api-creators.gymshark.com,,443,https://api-creators.gymshark.com:443,https,nginx,text/html,GET,52.53.122.32,/,566218143,54.177.137.208,Nginx,14,False,,,,,,
api.develop.gymshark.com,,500,36,api.develop.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-11T23:59:59Z,CN=*.develop.gymshark.com,*.develop.gymshark.com,*.api.develop.gymshark.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,29c30fe68d7eeebe948290b35aaa9a22,a062db45dc527f21b7e1c923c1946d28facb5081b0a2fbbbc84e16bb1572adf9,True,ctls,api.develop.gymshark.com,cloudfront,443,https://api.develop.gymshark.com:443,https,,application/json,GET,18.66.97.23,/,768769774,18.66.97.109,Amazon Web Services,1,False,True,,,,,
api.gymshark.com,,500,36,api.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-09-11T23:59:59Z,CN=api.gymshark.com,api.gymshark.com,*.api.gymshark.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,bece91f5cdd750281f877cd0f501a20e,c26f3fc4b2955c91d58c948fecdde56165915f75e7147f4c1289089f05ae583e,True,ctls,api.gymshark.com,cloudfront,443,https://api.gymshark.com:443,https,,application/json,GET,99.86.4.11,/,768769774,99.86.4.129,Amazon Web Services,1,False,True,,,,,
api.platform.gymshark.com,,404,19,api.platform.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T15:25:27Z,2024-05-10T15:25:27Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,925996984db86a9285aa79a564459100.52195cc661d535375f28a006113785df.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,,990d87bb63317fa0da6ae368f3c00473,b7de74b7c90f8aa0e8332b47f6ce7a9f7378a928a534a3e1c23803daf232317f,,ctls,api.platform.gymshark.com,,443,https://api.platform.gymshark.com:443,https,,text/plain,GET,54.198.84.103,/,-138391155,52.6.80.188,,2,False,,True,True,,,
api.staging.gymshark.com,,500,36,api.staging.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-12-20T23:59:59Z,CN=*.staging.gymshark.com,*.staging.gymshark.com,*.staging.gymshark.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0303d71ab9d439905375e0992522a867,97ecc0c97b0128e8b36b1fb3285749b832b23809fcfad3ec3261de217140a14e,True,ctls,api.staging.gymshark.com,cloudfront,443,https://api.staging.gymshark.com:443,https,,application/json,GET,143.204.215.125,/,768769774,143.204.215.28,Amazon Web Services,1,False,True,,,,,
api.teabreak.gymshark.io,,401,26,api.teabreak.gymshark.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T01:04:14Z,2023-06-25T01:04:13Z,CN=api.teabreak.gymshark.io,api.teabreak.gymshark.io,api.teabreak.gymshark.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6c3522cfb8a19a2f6df210fd3578e882,aced4a62c963f64cce9875ce51785fce263722007a57ee3f58fbb808b60e41c1,,ctls,api.teabreak.gymshark.io,,443,https://api.teabreak.gymshark.io:443,https,,text/plain,GET,54.198.84.103,/,-756117573,18.208.237.247,,1,False,,,,,,
api.teabreak.staging.gymshark.io,,401,26,api.teabreak.staging.gymshark.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-26T22:03:52Z,2023-07-25T22:03:51Z,CN=api.teabreak.staging.gymshark.io,api.teabreak.staging.gymshark.io,api.teabreak.staging.gymshark.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fbda61de5d03bf9af9c4b969afda0f39,ca3c9eb784f71ae2ef61b9c1058f1a2f4521afd3d043c83e0375e25dfec30bed,,ctls,api.teabreak.staging.gymshark.io,,443,https://api.teabreak.staging.gymshark.io:443,https,,text/plain,GET,67.202.47.151,/,-756117573,23.23.98.157,,1,False,,,,,,
