new,host,a,soa,status_code,cdn,cdn-name,aaaa
[x],site1.hackenproof.com,"188.114.97.0, 188.114.96.0","rihana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2a06:98c1:3120::, 2a06:98c1:3121::"
[x],stg.mta-sts.hackenproof.com,54.144.128.85,,NOERROR,,,
[x],v3-pq-df.hackenproof.com,,,NOERROR,,,
,blog.hackenproof.com,"188.114.96.3, 188.114.97.3","rihana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2a06:98c1:3120::3, 2a06:98c1:3121::3"
,dashboard-dev.hackenproof.com,"188.114.97.3, 188.114.96.3","rihana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2a06:98c1:3121::3, 2a06:98c1:3120::3"
,dev-legacy.hackenproof.com,"188.114.96.3, 188.114.97.3","rihana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2a06:98c1:3120::4, 2a06:98c1:3121::4"
,dev.hackenproof.com,"188.114.97.13, 188.114.96.13","rihana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2a06:98c1:3121::d, 2a06:98c1:3120::d"
,jenkins-deploy-dev.hackenproof.com,"172.67.153.137, 104.21.90.58","rihana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:3031::6815:5a3a, 2606:4700:3034::ac43:9989"
,resources.hackenproof.com,"188.114.96.3, 188.114.97.3","rihana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2a06:98c1:3120::3, 2a06:98c1:3121::3"
,sc.hackenproof.com,"172.67.153.137, 104.21.90.58","rihana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:3031::6815:5a3a, 2606:4700:3034::ac43:9989"
,stg.hackenproof.com,"188.114.97.3, 188.114.96.3","rihana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2a06:98c1:3120::3, 2a06:98c1:3121::3"
,wp-euw1c.hackenproof.com,34.78.246.23,"rihana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,
,www.hackenproof.com,"188.114.96.3, 188.114.97.3","rihana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2a06:98c1:3120::3, 2a06:98c1:3121::3"
