input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,csp_domains_,tls_subject_org_,tls_wildcard_certificate,final_url
*.algolia.net,,404,164,,443,https://algolia.net:443,https,nginx,application/json,GET,91.109.20.242,/,1672854361,149.202.84.123,Nginx,1,False,,algolia.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-20T00:00:00Z,2024-01-19T23:59:59Z,"CN=algolia.net, O=Algolia, ST=California, C=US",algolia.net,*.algolianet.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d996252868a755cd1b281cf5710e0040,c7f5fcb7649e5986fa1b5bf1b6029ad00b6fc929dfbeb661143d2e3307fb7227,ctls,algolia.net,,Algolia,True,https://algolia.net/1/404
*.algolianet.com,Algolianet.com,200,132,cloudflare,443,https://algolianet.com:443,https,cloudflare,text/html,GET,104.18.119.11,/,-210710082,104.18.120.11,Cloudflare,7,False,True,algolianet.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",42a4d40019523c210af0560e4e33149d,e3fd8d7cd8c27dfd0ffb3df521c4c031cfc7872709bc97de99640c6dbb81facd,ctls,algolianet.com,url=https://www.algolia.com/,"Cloudflare, Inc.",True,
031d18aea5773c6639801b551d1edc09.ctf.hacker101.com,,404,22,,443,https://031d18aea5773c6639801b551d1edc09.ctf.hacker101.com:443,https,openresty/1.21.4.1,text/html,GET,52.43.144.50,/,-2079597239,44.238.36.186,OpenResty:1.21.4.1,2,False,,031d18aea5773c6639801b551d1edc09.ctf.hacker101.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-03-08T23:59:59Z,CN=*.ctf.hacker101.com,*.ctf.hacker101.com,*.ctf.hacker101.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a7c18f0ec54aaef7df6562d9701b6a24,ba7c69ea5b9d0fe2b7aba993d7b606ba53b5ac85e88b991bbbb4fd4d6ecbec90,ctls,031d18aea5773c6639801b551d1edc09.ctf.hacker101.com,,,True,
08b539699068795f1b57ec139536aa40.ctf.hacker101.com,,404,22,,443,https://08b539699068795f1b57ec139536aa40.ctf.hacker101.com:443,https,openresty/1.21.4.1,text/html,GET,52.43.144.50,/,-2079597239,44.238.36.186,OpenResty:1.21.4.1,2,False,,08b539699068795f1b57ec139536aa40.ctf.hacker101.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-03-08T23:59:59Z,CN=*.ctf.hacker101.com,*.ctf.hacker101.com,*.ctf.hacker101.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a7c18f0ec54aaef7df6562d9701b6a24,ba7c69ea5b9d0fe2b7aba993d7b606ba53b5ac85e88b991bbbb4fd4d6ecbec90,ctls,08b539699068795f1b57ec139536aa40.ctf.hacker101.com,,,True,
0b35a4035cc959a0e9def692bb3a40ae.ctf.hacker101.com,,404,22,,443,https://0b35a4035cc959a0e9def692bb3a40ae.ctf.hacker101.com:443,https,openresty/1.21.4.1,text/html,GET,52.43.144.50,/,-2079597239,44.238.36.186,OpenResty:1.21.4.1,2,False,,0b35a4035cc959a0e9def692bb3a40ae.ctf.hacker101.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-03-08T23:59:59Z,CN=*.ctf.hacker101.com,*.ctf.hacker101.com,*.ctf.hacker101.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a7c18f0ec54aaef7df6562d9701b6a24,ba7c69ea5b9d0fe2b7aba993d7b606ba53b5ac85e88b991bbbb4fd4d6ecbec90,ctls,0b35a4035cc959a0e9def692bb3a40ae.ctf.hacker101.com,,,True,
1fc0aa64bebde7bcd2b791d3d629e237.ctf.hacker101.com,,404,22,,443,https://1fc0aa64bebde7bcd2b791d3d629e237.ctf.hacker101.com:443,https,openresty/1.21.4.1,text/html,GET,44.238.36.186,/,-2079597239,52.43.144.50,OpenResty:1.21.4.1,2,False,,1fc0aa64bebde7bcd2b791d3d629e237.ctf.hacker101.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-03-08T23:59:59Z,CN=*.ctf.hacker101.com,*.ctf.hacker101.com,*.ctf.hacker101.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a7c18f0ec54aaef7df6562d9701b6a24,ba7c69ea5b9d0fe2b7aba993d7b606ba53b5ac85e88b991bbbb4fd4d6ecbec90,ctls,1fc0aa64bebde7bcd2b791d3d629e237.ctf.hacker101.com,,,True,
218e9afbb4e5111fd1b7b16108acc3ae.ctf.hacker101.com,,404,22,,443,https://218e9afbb4e5111fd1b7b16108acc3ae.ctf.hacker101.com:443,https,openresty/1.21.4.1,text/html,GET,52.43.144.50,/,-2079597239,44.238.36.186,OpenResty:1.21.4.1,2,False,,218e9afbb4e5111fd1b7b16108acc3ae.ctf.hacker101.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-03-08T23:59:59Z,CN=*.ctf.hacker101.com,*.ctf.hacker101.com,*.ctf.hacker101.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a7c18f0ec54aaef7df6562d9701b6a24,ba7c69ea5b9d0fe2b7aba993d7b606ba53b5ac85e88b991bbbb4fd4d6ecbec90,ctls,218e9afbb4e5111fd1b7b16108acc3ae.ctf.hacker101.com,,,True,
23a9624e499160a647b32581603063ab.ctf.hacker101.com,,404,22,,443,https://23a9624e499160a647b32581603063ab.ctf.hacker101.com:443,https,openresty/1.21.4.1,text/html,GET,44.238.36.186,/,-2079597239,52.43.144.50,OpenResty:1.21.4.1,2,False,,23a9624e499160a647b32581603063ab.ctf.hacker101.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-03-08T23:59:59Z,CN=*.ctf.hacker101.com,*.ctf.hacker101.com,*.ctf.hacker101.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a7c18f0ec54aaef7df6562d9701b6a24,ba7c69ea5b9d0fe2b7aba993d7b606ba53b5ac85e88b991bbbb4fd4d6ecbec90,ctls,23a9624e499160a647b32581603063ab.ctf.hacker101.com,,,True,
336507e16def7e85b607b1b45d97bd33.ctf.hacker101.com,,404,22,,443,https://336507e16def7e85b607b1b45d97bd33.ctf.hacker101.com:443,https,openresty/1.21.4.1,text/html,GET,52.43.144.50,/,-2079597239,44.238.36.186,OpenResty:1.21.4.1,2,False,,336507e16def7e85b607b1b45d97bd33.ctf.hacker101.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-03-08T23:59:59Z,CN=*.ctf.hacker101.com,*.ctf.hacker101.com,*.ctf.hacker101.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a7c18f0ec54aaef7df6562d9701b6a24,ba7c69ea5b9d0fe2b7aba993d7b606ba53b5ac85e88b991bbbb4fd4d6ecbec90,ctls,336507e16def7e85b607b1b45d97bd33.ctf.hacker101.com,,,True,
33f0b5875fd5be68590d814c55463748.ctf.hacker101.com,,404,22,,443,https://33f0b5875fd5be68590d814c55463748.ctf.hacker101.com:443,https,openresty/1.21.4.1,text/html,GET,44.238.36.186,/,-2079597239,52.43.144.50,OpenResty:1.21.4.1,2,False,,33f0b5875fd5be68590d814c55463748.ctf.hacker101.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-03-08T23:59:59Z,CN=*.ctf.hacker101.com,*.ctf.hacker101.com,*.ctf.hacker101.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a7c18f0ec54aaef7df6562d9701b6a24,ba7c69ea5b9d0fe2b7aba993d7b606ba53b5ac85e88b991bbbb4fd4d6ecbec90,ctls,33f0b5875fd5be68590d814c55463748.ctf.hacker101.com,,,True,
