new,host,a,soa,status_code,aaaa,cname,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips,caa,mx
[x],eu.platform.here.com,"52.30.222.227, 34.249.12.203, 54.76.252.197","ns-1329.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"heritage=external-dns,external-dns/owner=prd-1-aws-eu-west-1.k8s.in.here.com,external-dns/resource=service/here-olp-api-gateway-prod/ps-gtw-prod-1622773825792-sentry",,,,
,1.aerial.maps.api.here.com,"65.9.55.106, 65.9.55.31, 65.9.55.30, 65.9.55.67",,NOERROR,"2600:9000:223d:3200:13:f018:5ec0:93a1, 2600:9000:223d:e400:13:f018:5ec0:93a1, 2600:9000:223d:8000:13:f018:5ec0:93a1, 2600:9000:223d:9c00:13:f018:5ec0:93a1, 2600:9000:223d:6e00:13:f018:5ec0:93a1, 2600:9000:223d:4800:13:f018:5ec0:93a1, 2600:9000:223d:1600:13:f018:5ec0:93a1, 2600:9000:223d:e000:13:f018:5ec0:93a1","1.aerial.maps.ls.hereapi.com, d2chyv2can0d4r.cloudfront.net",,True,cloudfront,,,,,
,1.aerial.maps.cc.api.here.com,"52.222.214.34, 52.222.214.60, 52.222.214.49, 52.222.214.101","ns-832.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:223d:6c00:13:f018:5ec0:93a1, 2600:9000:223d:f400:13:f018:5ec0:93a1, 2600:9000:223d:1200:13:f018:5ec0:93a1, 2600:9000:223d:6200:13:f018:5ec0:93a1, 2600:9000:223d:8c00:13:f018:5ec0:93a1, 2600:9000:223d:1600:13:f018:5ec0:93a1, 2600:9000:223d:9800:13:f018:5ec0:93a1, 2600:9000:223d:7c00:13:f018:5ec0:93a1","1.aerial.maps.ls.hereapi.com, d2chyv2can0d4r.cloudfront.net",,True,cloudfront,,,,,
,1.aerial.maps.cit.api.here.com,"108.138.51.96, 108.138.51.102, 108.138.51.108, 108.138.51.64","ns-281.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2436:6a00:11:df1:6c0:93a1, 2600:9000:2436:4c00:11:df1:6c0:93a1, 2600:9000:2436:1a00:11:df1:6c0:93a1, 2600:9000:2436:da00:11:df1:6c0:93a1, 2600:9000:2436:c00:11:df1:6c0:93a1, 2600:9000:2436:b800:11:df1:6c0:93a1, 2600:9000:2436:4600:11:df1:6c0:93a1, 2600:9000:2436:5200:11:df1:6c0:93a1","1.aerial.maps.sit.ls.hereapi.com, d3dlyr4hai5l3v.cloudfront.net",,True,cloudfront,,,,,
,1.aerial.maps.cit.cc.api.here.com,"18.66.112.57, 18.66.112.122, 18.66.112.51, 18.66.112.121","ns-281.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:223f:8200:11:df1:6c0:93a1, 2600:9000:223f:f400:11:df1:6c0:93a1, 2600:9000:223f:8e00:11:df1:6c0:93a1, 2600:9000:223f:4600:11:df1:6c0:93a1, 2600:9000:223f:ea00:11:df1:6c0:93a1, 2600:9000:223f:e00:11:df1:6c0:93a1, 2600:9000:223f:6800:11:df1:6c0:93a1, 2600:9000:223f:8800:11:df1:6c0:93a1","1.aerial.maps.sit.ls.hereapi.com, d3dlyr4hai5l3v.cloudfront.net",,True,cloudfront,,,,,
,1.aerial.maps.ls.hereapi.com,"52.222.139.124, 52.222.139.75, 52.222.139.25, 52.222.139.62",,NOERROR,"2600:9000:2204:3600:13:f018:5ec0:93a1, 2600:9000:2204:9000:13:f018:5ec0:93a1, 2600:9000:2204:8c00:13:f018:5ec0:93a1, 2600:9000:2204:6a00:13:f018:5ec0:93a1, 2600:9000:2204:8e00:13:f018:5ec0:93a1, 2600:9000:2204:f200:13:f018:5ec0:93a1, 2600:9000:2204:7800:13:f018:5ec0:93a1, 2600:9000:2204:b600:13:f018:5ec0:93a1",d2chyv2can0d4r.cloudfront.net,,True,cloudfront,,,,,
,1.base.maps.api.here.com,"18.67.76.125, 18.67.76.76, 18.67.76.25, 18.67.76.72","ns-1127.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2305:a400:2:b190:a500:93a1, 2600:9000:2305:2400:2:b190:a500:93a1, 2600:9000:2305:6200:2:b190:a500:93a1, 2600:9000:2305:8200:2:b190:a500:93a1, 2600:9000:2305:3c00:2:b190:a500:93a1, 2600:9000:2305:c000:2:b190:a500:93a1, 2600:9000:2305:d000:2:b190:a500:93a1, 2600:9000:2305:e600:2:b190:a500:93a1","1.base.maps.ls.hereapi.com, d2t4vhngii5504.cloudfront.net",,True,cloudfront,,,,,
,1.base.maps.cc.api.here.com,"18.67.76.125, 18.67.76.72, 18.67.76.25, 18.67.76.76",,NOERROR,"2600:9000:2305:fa00:2:b190:a500:93a1, 2600:9000:2305:6000:2:b190:a500:93a1, 2600:9000:2305:3800:2:b190:a500:93a1, 2600:9000:2305:400:2:b190:a500:93a1, 2600:9000:2305:3a00:2:b190:a500:93a1, 2600:9000:2305:b200:2:b190:a500:93a1, 2600:9000:2305:ac00:2:b190:a500:93a1, 2600:9000:2305:ae00:2:b190:a500:93a1","1.base.maps.ls.hereapi.com, d2t4vhngii5504.cloudfront.net",,True,cloudfront,,,,,
,1.base.maps.cit.api.here.com,"18.66.97.89, 18.66.97.114, 18.66.97.79, 18.66.97.82","ns-1370.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:223c:7800:12:f7f4:4400:93a1, 2600:9000:223c:8200:12:f7f4:4400:93a1, 2600:9000:223c:9a00:12:f7f4:4400:93a1, 2600:9000:223c:a200:12:f7f4:4400:93a1, 2600:9000:223c:4a00:12:f7f4:4400:93a1, 2600:9000:223c:4e00:12:f7f4:4400:93a1, 2600:9000:223c:5200:12:f7f4:4400:93a1, 2600:9000:223c:6e00:12:f7f4:4400:93a1","1.base.maps.sit.ls.hereapi.com, dxmcwdn6dl828.cloudfront.net","ns-184.awsdns-23.com, ns-718.awsdns-25.net, ns-1370.awsdns-43.org, ns-1717.awsdns-22.co.uk",True,cloudfront,,,,,
,1.base.maps.cit.cc.api.here.com,"18.66.97.89, 18.66.97.114, 18.66.97.79, 18.66.97.82","ns-1370.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:223c:5400:12:f7f4:4400:93a1, 2600:9000:223c:8400:12:f7f4:4400:93a1, 2600:9000:223c:ba00:12:f7f4:4400:93a1, 2600:9000:223c:d000:12:f7f4:4400:93a1, 2600:9000:223c:d800:12:f7f4:4400:93a1, 2600:9000:223c:fc00:12:f7f4:4400:93a1, 2600:9000:223c:2e00:12:f7f4:4400:93a1, 2600:9000:223c:5000:12:f7f4:4400:93a1","1.base.maps.sit.ls.hereapi.com, dxmcwdn6dl828.cloudfront.net","ns-184.awsdns-23.com, ns-718.awsdns-25.net, ns-1370.awsdns-43.org, ns-1717.awsdns-22.co.uk",True,cloudfront,,,,,
