new,host,soa,status_code,a,aaaa,cdn,cdn-name,mx,ns,cname,txt
,aads.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,207.135.220.178,,,,,,,
,account.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.228.188, 104.18.229.188, 104.18.226.188, 104.18.227.188, 104.18.225.188","2606:4700::6812:e1bc, 2606:4700::6812:e5bc, 2606:4700::6812:e3bc, 2606:4700::6812:e2bc, 2606:4700::6812:e4bc",True,cloudflare,,,,
,accounts.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.225.188, 104.18.226.188, 104.18.229.188, 104.18.228.188, 104.18.227.188","2606:4700::6812:e1bc, 2606:4700::6812:e2bc, 2606:4700::6812:e3bc, 2606:4700::6812:e5bc, 2606:4700::6812:e4bc",True,cloudflare,,,,
,api.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.226.188, 104.18.228.188, 104.18.225.188, 104.18.229.188, 104.18.227.188","2606:4700::6812:e5bc, 2606:4700::6812:e3bc, 2606:4700::6812:e1bc, 2606:4700::6812:e2bc, 2606:4700::6812:e4bc",True,cloudflare,,,,
,apiqa.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.227.188, 104.18.226.188, 104.18.225.188, 104.18.229.188, 104.18.228.188","2606:4700::6812:e2bc, 2606:4700::6812:e5bc, 2606:4700::6812:e4bc, 2606:4700::6812:e1bc, 2606:4700::6812:e3bc",True,cloudflare,,,,
,apps.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.229.188, 104.18.228.188, 104.18.225.188, 104.18.227.188, 104.18.226.188","2606:4700::6812:e4bc, 2606:4700::6812:e2bc, 2606:4700::6812:e3bc, 2606:4700::6812:e1bc, 2606:4700::6812:e5bc",True,cloudflare,,,,
,autodiscover.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,207.135.221.69,,,,,,hybridmail.hy-vee.com,
,beacons.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.229.188, 104.18.225.188, 104.18.226.188, 104.18.227.188, 104.18.228.188","2606:4700::6812:e4bc, 2606:4700::6812:e5bc, 2606:4700::6812:e1bc, 2606:4700::6812:e2bc, 2606:4700::6812:e3bc",True,cloudflare,,,,
,bounce.orders.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,34.235.188.56,,,,bounce.orders.hy-vee.com,,,v=spf1 a ip4:74.121.48.37 -all
,celebrate.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.229.188, 104.18.227.188, 104.18.226.188, 104.18.225.188, 104.18.228.188","2606:4700::6812:e4bc, 2606:4700::6812:e1bc, 2606:4700::6812:e3bc, 2606:4700::6812:e2bc, 2606:4700::6812:e5bc",True,cloudflare,,,,
,celebratedev.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.225.188, 104.18.229.188, 104.18.226.188, 104.18.228.188, 104.18.227.188","2606:4700::6812:e4bc, 2606:4700::6812:e3bc, 2606:4700::6812:e1bc, 2606:4700::6812:e2bc, 2606:4700::6812:e5bc",True,cloudflare,,,,
,chrwms.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,
,clpe.hy-vee.com,,NOERROR,,,,,,,,
,cms-dev.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.226.188, 104.18.225.188, 104.18.228.188, 104.18.227.188, 104.18.229.188",,True,cloudflare,,,,
,confluence-test.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.226.188, 104.18.225.188, 104.18.228.188, 104.18.227.188, 104.18.229.188","2606:4700::6812:e3bc, 2606:4700::6812:e4bc, 2606:4700::6812:e1bc, 2606:4700::6812:e2bc, 2606:4700::6812:e5bc",True,cloudflare,,,,
,confluence.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.227.188, 104.18.226.188, 104.18.225.188, 104.18.228.188, 104.18.229.188","2606:4700::6812:e5bc, 2606:4700::6812:e3bc, 2606:4700::6812:e4bc, 2606:4700::6812:e2bc, 2606:4700::6812:e1bc",True,cloudflare,,,,
,content-prod.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.228.188, 104.18.229.188, 104.18.227.188, 104.18.225.188, 104.18.226.188","2606:4700::6812:e2bc, 2606:4700::6812:e1bc, 2606:4700::6812:e3bc, 2606:4700::6812:e5bc, 2606:4700::6812:e4bc",True,cloudflare,,,,
,content-stage.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.228.188, 104.18.225.188, 104.18.227.188, 104.18.226.188, 104.18.229.188","2606:4700::6812:e3bc, 2606:4700::6812:e2bc, 2606:4700::6812:e5bc, 2606:4700::6812:e1bc, 2606:4700::6812:e4bc",True,cloudflare,,,,
,content.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,
,corpmail.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,207.135.220.1,,,,,,,
,corpsf.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.228.188, 104.18.226.188, 104.18.227.188, 104.18.229.188, 104.18.225.188","2606:4700::6812:e3bc, 2606:4700::6812:e4bc, 2606:4700::6812:e5bc, 2606:4700::6812:e1bc, 2606:4700::6812:e2bc",True,cloudflare,,,,
,crm-dev.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.227.188, 104.18.228.188, 104.18.225.188, 104.18.226.188, 104.18.229.188","2606:4700::6812:e3bc, 2606:4700::6812:e1bc, 2606:4700::6812:e5bc, 2606:4700::6812:e2bc, 2606:4700::6812:e4bc",True,cloudflare,"mxb-0024b102.gslb.pphosted.com, mxa-0024b102.gslb.pphosted.com",,,
,crm.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.226.188, 104.18.229.188, 104.18.228.188, 104.18.227.188, 104.18.225.188","2606:4700::6812:e4bc, 2606:4700::6812:e2bc, 2606:4700::6812:e5bc, 2606:4700::6812:e1bc, 2606:4700::6812:e3bc",True,cloudflare,"mxb-0024b102.gslb.pphosted.com, mxa-0024b102.gslb.pphosted.com",,,
,deals.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.228.188, 104.18.227.188, 104.18.226.188, 104.18.229.188, 104.18.225.188","2606:4700::6812:e5bc, 2606:4700::6812:e3bc, 2606:4700::6812:e4bc, 2606:4700::6812:e1bc, 2606:4700::6812:e2bc",True,cloudflare,,,,google-site-verification=9u9CU6wSywDBa9tP89ireF5GdTlB7NJi-Ci6enb3U1A
,dsw.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.228.188, 104.18.227.188, 104.18.225.188, 104.18.226.188, 104.18.229.188","2606:4700::6812:e5bc, 2606:4700::6812:e3bc, 2606:4700::6812:e2bc, 2606:4700::6812:e1bc, 2606:4700::6812:e4bc",True,cloudflare,,,,
,ecs.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,207.135.220.91,,,,,,,
,emerson.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,207.135.220.46,,,,,,,
,ftp.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,207.135.220.4,,,,,,,
,guest.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,207.135.220.182,,,,,,,
,hav.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,207.135.220.56,,,,,,,
,huddle.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.228.188, 104.18.225.188, 104.18.226.188, 104.18.229.188, 104.18.227.188","2606:4700::6812:e1bc, 2606:4700::6812:e2bc, 2606:4700::6812:e4bc, 2606:4700::6812:e5bc, 2606:4700::6812:e3bc",True,cloudflare,,,,
,hvauth.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,207.135.220.48,,,,,,,
,hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,"mxa-0024b102.gslb.pphosted.com, mxb-0024b102.gslb.pphosted.com","karl.ns.cloudflare.com, tara.ns.cloudflare.com",,
,hybridmail.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,innovate.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.226.188, 104.18.228.188, 104.18.229.188, 104.18.225.188, 104.18.227.188","2606:4700::6812:e3bc, 2606:4700::6812:e4bc, 2606:4700::6812:e5bc, 2606:4700::6812:e2bc, 2606:4700::6812:e1bc",True,cloudflare,,,,
,jira-test.hy-vee.com,,NOERROR,,,,,,,,
,joefresh.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.227.188, 104.18.228.188, 104.18.225.188, 104.18.226.188, 104.18.229.188","2606:4700::6812:e4bc, 2606:4700::6812:e3bc, 2606:4700::6812:e1bc, 2606:4700::6812:e5bc, 2606:4700::6812:e2bc",True,cloudflare,,,,
,links.orders.hy-vee.com,"ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,52.21.121.140,,,,,,recp.mkt32.net,
,login.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.226.188, 104.18.225.188, 104.18.227.188, 104.18.229.188, 104.18.228.188","2606:4700::6812:e4bc, 2606:4700::6812:e5bc, 2606:4700::6812:e3bc, 2606:4700::6812:e1bc, 2606:4700::6812:e2bc",True,cloudflare,,,,
,ltc.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.226.188, 104.18.228.188, 104.18.227.188, 104.18.229.188, 104.18.225.188","2606:4700::6812:e2bc, 2606:4700::6812:e4bc, 2606:4700::6812:e1bc, 2606:4700::6812:e3bc, 2606:4700::6812:e5bc",True,cloudflare,,,,
,lyncdiscover.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.226.188, 104.18.225.188, 104.18.228.188, 104.18.229.188, 104.18.227.188","2606:4700::6812:e1bc, 2606:4700::6812:e3bc, 2606:4700::6812:e5bc, 2606:4700::6812:e4bc, 2606:4700::6812:e2bc",True,cloudflare,,,,
,mail.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,207.135.220.1,,,,,,,
,mail6184.orders.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,74.121.48.37,,,,mail6184.orders.hy-vee.com,,,
,mailtest.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.226.188, 104.18.225.188, 104.18.229.188, 104.18.228.188, 104.18.227.188","2606:4700::6812:e2bc, 2606:4700::6812:e4bc, 2606:4700::6812:e1bc, 2606:4700::6812:e3bc, 2606:4700::6812:e5bc",True,cloudflare,,,,
,marketgrille.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.229.188, 104.18.225.188, 104.18.227.188, 104.18.226.188, 104.18.228.188","2606:4700::6812:e1bc, 2606:4700::6812:e3bc, 2606:4700::6812:e4bc, 2606:4700::6812:e5bc, 2606:4700::6812:e2bc",True,cloudflare,,,,
,marketgrilledev.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.228.188, 104.18.225.188, 104.18.226.188, 104.18.229.188, 104.18.227.188","2606:4700::6812:e5bc, 2606:4700::6812:e3bc, 2606:4700::6812:e4bc, 2606:4700::6812:e2bc, 2606:4700::6812:e1bc",True,cloudflare,,,,
,mconnect.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.229.188, 104.18.225.188, 104.18.226.188, 104.18.227.188, 104.18.228.188","2606:4700::6812:e2bc, 2606:4700::6812:e4bc, 2606:4700::6812:e5bc, 2606:4700::6812:e1bc, 2606:4700::6812:e3bc",True,cloudflare,,,,
,mdm.hy-vee.com,"karl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,207.135.220.57,,,,,,,
