new,host,status_code,soa,txt,a,ns,aaaa,cdn,cdn-name,mx,cname,caa,has_internal_ips,internal_ips
[x],a-p-netjmp-01a.sec.ibm.com,NOERROR,"ehecatl.iss.net, iss-dnsadmin.iss.net",,"209.134.160.177, 206.253.234.10","ehecatl.iss.net, dal09-prd-dns-01a.sec.ibm.com, litdnssrvp01.iss.net",,,,,,,,
[x],administrator.yourlearning.ibm.com,NOERROR,"ns003.name.cloud.ibm.com, dns.cloudflare.com",,"104.16.239.249, 104.16.238.249",,"2606:4700::6810:eef9, 2606:4700::6810:eff9",True,cloudflare,,,,,
[x],api-test.techzone.ibm.com,NOERROR,"ns086.name.cloud.ibm.com, dns.cloudflare.com",,"104.18.5.98, 104.18.4.98",,"2606:4700::6812:562, 2606:4700::6812:462",True,cloudflare,,,,,
[x],api.daffy-quiioa82.cloud.techzone.ibm.com,NOERROR,,,,,,,,,,,,
[x],api.daffy-zovy4gjk.cloud.techzone.ibm.com,NOERROR,"ns070.name.cloud.ibm.com, dns.cloudflare.com",,169.63.122.95,,,,,,,,,
[x],api.ocp-060002162f-2vq5.cloud.techzone.ibm.com,NOERROR,"ns070.name.cloud.ibm.com, dns.cloudflare.com",,169.63.80.174,,,,,,,,,
[x],api.ocp-120000gh3t-w2di.cloud.techzone.ibm.com,NOERROR,"ns070.name.cloud.ibm.com, dns.cloudflare.com",,161.156.100.102,,,,,,,,,
[x],api.ocp-3100014h3v-934t.cloud.techzone.ibm.com,NOERROR,"ns070.name.cloud.ibm.com, dns.cloudflare.com",,169.63.171.156,,,,,,,,,
[x],api.ocp-5029ngqwwu-2jjn.cloud.techzone.ibm.com,NOERROR,"ns070.name.cloud.ibm.com, dns.cloudflare.com",,162.133.113.152,,,,,,,,,
[x],apps.daffy-zovy4gjk.cloud.techzone.ibm.com,NOERROR,"ns070.name.cloud.ibm.com, dns.cloudflare.com",,169.63.122.95,,,,,,,,,
[x],apps.ocp-060002162f-2vq5.cloud.techzone.ibm.com,NOERROR,"ns070.name.cloud.ibm.com, dns.cloudflare.com",,169.63.80.174,,,,,,,,,
[x],apps.ocp-120000gh3t-0f2v.cloud.techzone.ibm.com,NOERROR,,,,,,,,,,,,
[x],apps.ocp-3100014h3v-934t.cloud.techzone.ibm.com,NOERROR,"ns070.name.cloud.ibm.com, dns.cloudflare.com",,169.63.171.156,,,,,,,,,
[x],apps.ocp-5029ngqwwu-2jjn.cloud.techzone.ibm.com,NOERROR,"ns070.name.cloud.ibm.com, dns.cloudflare.com",,162.133.113.152,,,,,,,,,
[x],atl-prd-ads-02d.sec.ibm.com,NOERROR,"ehecatl.iss.net, iss-dnsadmin.iss.net",,209.134.187.53,,,,,,,,,
[x],atl-prd-aidrone-01j.sec.ibm.com,NOERROR,"ehecatl.iss.net, iss-dnsadmin.iss.net",,207.231.142.17,,,,,,,,,
[x],atl-prd-apphost-04a.sec.ibm.com,NOERROR,"ehecatl.iss.net, iss-dnsadmin.iss.net",,209.134.177.79,,,,,,,,,
[x],atl-prd-bd-12-vl2.sec.ibm.com,NOERROR,"ehecatl.iss.net, iss-dnsadmin.iss.net",,"209.134.160.9, 206.253.234.10","litdnssrvp01.iss.net, ehecatl.iss.net, dal09-prd-dns-01a.sec.ibm.com",,,,,,,,
