input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,tls_mismatched
api-1.irccloud.com,IRCCloud,200,17509,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,https://checkout.stripe.com,www.irccloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=irccloud.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",irccloud.com,"Cloudflare, Inc.",irccloud.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bf694a0ecaf90d2b2922223dc3ec1a29,aa95d4fd8cee7fe100dcbf1df1d376b8b1cf90e65fe85bccc0c6c772433bc433,True,ctls,www.irccloud.com,cloudflare,443,https://api-1.irccloud.com:443,https,cloudflare,text/html,GET,104.20.62.113,/,1294038158,https://www.irccloud.com,2606:4700:10::6814:3f71,HSTS,403,False,True,
api-2.irccloud.com,IRCCloud,200,17509,AS13335,CLOUDFLARENET,US,172.68.28.0/24,https://platform.twitter.com,www.irccloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=irccloud.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",irccloud.com,"Cloudflare, Inc.",irccloud.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bf694a0ecaf90d2b2922223dc3ec1a29,aa95d4fd8cee7fe100dcbf1df1d376b8b1cf90e65fe85bccc0c6c772433bc433,True,ctls,www.irccloud.com,cloudflare,443,https://api-2.irccloud.com:443,https,cloudflare,text/html,GET,172.67.18.66,/,-660671218,https://www.irccloud.com,2606:4700:10::6814:3e71,HSTS,403,False,True,
api-3.irccloud.com,IRCCloud,200,17509,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,https://irccloud.report-uri.com/r/d/csp/reportOnly,www.irccloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=irccloud.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",irccloud.com,"Cloudflare, Inc.",irccloud.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bf694a0ecaf90d2b2922223dc3ec1a29,aa95d4fd8cee7fe100dcbf1df1d376b8b1cf90e65fe85bccc0c6c772433bc433,True,ctls,www.irccloud.com,cloudflare,443,https://api-3.irccloud.com:443,https,cloudflare,text/html,GET,104.20.62.113,/,1207943475,https://www.irccloud.com,2606:4700:10::ac43:1242,HSTS,403,False,True,
api-4.irccloud.com,IRCCloud,200,17509,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,https://js.stripe.com,www.irccloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=irccloud.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",irccloud.com,"Cloudflare, Inc.",irccloud.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bf694a0ecaf90d2b2922223dc3ec1a29,aa95d4fd8cee7fe100dcbf1df1d376b8b1cf90e65fe85bccc0c6c772433bc433,True,ctls,www.irccloud.com,cloudflare,443,https://api-4.irccloud.com:443,https,cloudflare,text/html,GET,104.20.62.113,/,408217043,https://www.irccloud.com,2606:4700:10::ac43:1242,HSTS,403,False,True,
api-5.irccloud.com,IRCCloud,200,17509,AS13335,CLOUDFLARENET,US,172.68.28.0/24,https://fonts.gstatic.com,www.irccloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=irccloud.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",irccloud.com,"Cloudflare, Inc.",irccloud.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bf694a0ecaf90d2b2922223dc3ec1a29,aa95d4fd8cee7fe100dcbf1df1d376b8b1cf90e65fe85bccc0c6c772433bc433,True,ctls,www.irccloud.com,cloudflare,443,https://api-5.irccloud.com:443,https,cloudflare,text/html,GET,172.67.18.66,/,1134646786,https://www.irccloud.com,2606:4700:10::6814:3f71,HSTS,403,False,True,
api-6.irccloud.com,IRCCloud,200,17509,AS13335,CLOUDFLARENET,US,172.68.28.0/24,https://checkout.stripe.com,www.irccloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=irccloud.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",irccloud.com,"Cloudflare, Inc.",irccloud.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bf694a0ecaf90d2b2922223dc3ec1a29,aa95d4fd8cee7fe100dcbf1df1d376b8b1cf90e65fe85bccc0c6c772433bc433,True,ctls,www.irccloud.com,cloudflare,443,https://api-6.irccloud.com:443,https,cloudflare,text/html,GET,172.67.18.66,/,-1687936658,https://www.irccloud.com,2606:4700:10::6814:3e71,HSTS,403,False,True,
api.irccloud.com,IRCCloud,200,17509,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,https://irccloud.report-uri.com/r/d/csp/reportOnly,www.irccloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=irccloud.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",irccloud.com,"Cloudflare, Inc.",irccloud.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bf694a0ecaf90d2b2922223dc3ec1a29,aa95d4fd8cee7fe100dcbf1df1d376b8b1cf90e65fe85bccc0c6c772433bc433,True,ctls,www.irccloud.com,cloudflare,443,https://api.irccloud.com:443,https,cloudflare,text/html,GET,104.20.62.113,/,-660671218,https://www.irccloud.com,2606:4700:10::ac43:1242,HSTS,403,False,True,
desktop.irccloud.com,,200,673232,AS14618,AMAZON-AES,US,54.167.0.0/17,,,,,,,,,,,,,,,,,,,,,,80,http://desktop.irccloud.com:80,http,Cowboy,application/octet-stream,GET,54.162.128.250,/,997500400,,52.204.242.176,Node.js,2483,False,,
https://api.pinterest.com,,404,97,AS54113,FASTLY,US,151.101.0.0/16,,api.pinterest.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-28T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,61f68a1d3e503e0803056f90024c9f30,8b54c984af414728957594d4bb0b0dc0374362de6e2005f611494f74558315f4,True,ctls,api.pinterest.com,fastly,443,https://api.pinterest.com:443,https,,application/json,GET,151.101.192.84,/,-1840324437,,151.101.0.84,HTTP/3,1,False,True,
https://cdn.jsdelivr.net,"jsDelivr - A free, fast, and reliable CDN for JS and open source",200,44736,AS54113,FASTLY,US,151.101.8.0/22,,www.jsdelivr.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-18T00:00:00Z,2024-02-18T23:59:59Z,CN=jsdelivr.com,jsdelivr.com,,www.jsdelivr.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7edcee051c7a1971888c011dea856f69,ceefdfd713af3bc65890a7c06bc9cae123b2b42c1b97f8c81aad79b24bfab23a,,ctls,www.jsdelivr.com,fastly,443,https://cdn.jsdelivr.net:443,https,nginx,text/html,GET,151.101.1.229,/,-2029005286,https://www.jsdelivr.com,2a04:4e42:600::485,Nginx,55,False,True,
https://checkout.stripe.com,Mehr Umsatz mit optimiertem Bezahlvorgang | Stripe Checkout,200,1163573,AS54113,FASTLY,US,151.101.8.0/22,https://www.facebook.com,stripe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2023-07-12T23:59:59Z,"CN=stripe.com, O=Stripe\, Inc, L=San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",stripe.com,"Stripe, Inc",www.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,fd7d32025ddf333c5e3a24f5780976b9,29cf00cc1c209a7c85bfdc2c0b7c0f47e959884568ca1f267e3e842f081d971c,,ctls,stripe.com,fastly,443,https://checkout.stripe.com:443,https,nginx,text/html,GET,151.101.0.176,/,1008897269,https://stripe.com/de/payments/checkout,151.101.192.176,Nginx,29998,False,True,
https://dynamic.xkcd.com,,404,115,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.110.0.0/19,,dynamic.xkcd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T15:51:23Z,2023-08-03T15:51:22Z,CN=c.xkcd.com,c.xkcd.com,,dynamic.xkcd.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,95b6b503adb3252451f8efbe520f42e3,32362dd4bd8e1ee7c506c8bc5558c53d4403342a0f4e1bfe3ed6fa490e48efdd,,ctls,dynamic.xkcd.com,google,443,https://dynamic.xkcd.com:443,https,Warp/3.3.25,,GET,34.107.160.216,/,979311615,,34.107.160.216,Warp:3.3.25,3,False,True,
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,AS15169,GOOGLE,US,142.250.0.0/15,,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=upload.video.google.com,upload.video.google.com,,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f5e19b0c15918f4e4bcfa456133d1ad7,2d3b52058a876e74ebd8c6b8f539d46ff307058680fed77df5bfad75473dab9c,True,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.186.106,/,-606046040,,2a00:1450:4001:810::200a,HTTP/3,1,False,,
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.186.35,/,302920777,,2a00:1450:4001:810::2003,HTTP/3,12,False,,
https://gist.github.com,Discover gists · GitHub,200,127442,AS36459,GITHUB,US,140.82.120.0/21,objects.githubusercontent.com,gist.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-16T00:00:00Z,2024-03-15T23:59:59Z,"CN=*.github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.com,"GitHub, Inc.",github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,ba7af2959dadde12f1b1a0d702a8b70a,b6174d4c3ec5ae768610ad705544b4600e514a55718a94c636563cbaa4dd664c,True,ctls,gist.github.com,,443,https://gist.github.com:443,https,GitHub.com,text/html,GET,140.82.121.3,/,1848946384,https://gist.github.com/starred,140.82.121.3,HSTS,1511,False,,
https://github.githubassets.com,,200,8,AS54113,AS54113,Unknown,185.199.108.0/22,,github.githubassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-10-05T23:59:59Z,"CN=*.githubassets.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.githubassets.com,"GitHub, Inc.",githubassets.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,39604bf3c8071666c13bfa1281d46e3a,ce34a2397ca7ebd08b141838674a5fb4ac8bc71d86ca4d11fc4f84cd257d780a,True,ctls,github.githubassets.com,,443,https://github.githubassets.com:443,https,AmazonS3,text/html,GET,185.199.110.154,/,1848946384,,185.199.109.154,Varnish,2,False,,
https://irccloud.report-uri.com/r/d/csp/reportOnly,Report URI: Welcome to report-uri.com,200,30914,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,*.cloudflareworkers.com,report-uri.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T21:09:26Z,2023-07-04T21:09:25Z,CN=*.report-uri.com,*.report-uri.com,,report-uri.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2128e997ff28af0650b7d95c3213b246,ce65156d72d6ff348f1e593736490978e80976ba3859748a2d4acb57b88b87e5,True,ctls,report-uri.com,cloudflare,443,https://irccloud.report-uri.com:443/r/d/csp/reportOnly,https,cloudflare,text/html,GET,104.17.183.88,/r/d/csp/reportOnly,-1908101876,https://report-uri.com,2606:4700::6811:b858,HTTP/3,534,False,True,
