input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,cdn_name,cdn
1.dev.jivosite.com,403 Forbidden,403,146,,1.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,1.dev.jivosite.com,443,https://1.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,
1212121212.dev.jivosite.com,403 Forbidden,403,548,,1212121212.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,1212121212.dev.jivosite.com,443,https://1212121212.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,586998417,46.243.227.92,Nginx,14,False,,,
14.dev.jivosite.com,403 Forbidden,403,548,,14.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,14.dev.jivosite.com,443,https://14.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,586998417,46.243.227.92,Nginx,14,False,,,
1test.dev.jivosite.com,403 Forbidden,403,548,,1test.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,1test.dev.jivosite.com,443,https://1test.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,586998417,46.243.227.92,Nginx,14,False,,,
2.dev.jivosite.com,403 Forbidden,403,548,,2.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,2.dev.jivosite.com,443,https://2.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,586998417,46.243.227.92,Nginx,14,False,,,
2134124.dev.jivosite.com,403 Forbidden,403,548,,2134124.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,2134124.dev.jivosite.com,443,https://2134124.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,586998417,46.243.227.92,Nginx,14,False,,,
aaaled.dev.jivosite.com,403 Forbidden,403,548,,aaaled.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,aaaled.dev.jivosite.com,443,https://aaaled.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,586998417,46.243.227.92,Nginx,14,False,,,
aad1.dev.jivosite.com,403 Forbidden,403,146,,aad1.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,aad1.dev.jivosite.com,443,https://aad1.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,
abctest.dev.jivosite.com,403 Forbidden,403,548,,abctest.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,abctest.dev.jivosite.com,443,https://abctest.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,586998417,46.243.227.92,Nginx,14,False,,,
aconite.dev.jivosite.com,403 Forbidden,403,548,,aconite.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,aconite.dev.jivosite.com,443,https://aconite.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,586998417,46.243.227.92,Nginx,14,False,,,
admin.dev.jivosite.com,403 Forbidden,403,146,,admin.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,admin.dev.jivosite.com,443,https://admin.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,
admin.jivosite.com,JivoChat,200,966,https://oms.test.starfish24.com,app.jivosite.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-26T11:57:19Z,2023-06-04T10:59:38Z,CN=*.jivosite.com,*.jivosite.com,jivosite.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d85de3ebf48682402e112daeb3812fba,df6ca4ef8d2922f70ab1c2825a6f9b7c3e923333557e62264752b9bbc0059daa,True,ctls,app.jivosite.com,443,https://admin.jivosite.com:443,https,nginx,text/html,GET,78.41.109.90,/,-56845221,78.41.109.90,Nginx,2,False,https://app.jivosite.com/?lang=en,,
aftreg.dev.jivosite.com,403 Forbidden,403,548,,aftreg.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,aftreg.dev.jivosite.com,443,https://aftreg.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,586998417,46.243.227.92,Nginx,14,False,,,
aglaea.dev.jivosite.com,403 Forbidden,403,146,,aglaea.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,aglaea.dev.jivosite.com,443,https://aglaea.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,
agpt.dev.jivosite.com,403 Forbidden,403,548,,agpt.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,agpt.dev.jivosite.com,443,https://agpt.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,586998417,46.243.227.92,Nginx,14,False,,,
agtest.dev.jivosite.com,403 Forbidden,403,548,,agtest.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,agtest.dev.jivosite.com,443,https://agtest.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,586998417,46.243.227.92,Nginx,14,False,,,
air-3411.dev.jivosite.com,403 Forbidden,403,548,,air-3411.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T12:04:55Z,2023-06-13T12:04:54Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab695f66b14aa0bdb5c64585dcbdb3e3,de28ba15065b10c03fac30ca3eb5dec906663ebafbc86cbca180a5b0b764fe64,True,ctls,air-3411.dev.jivosite.com,443,https://air-3411.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,586998417,46.243.227.92,Nginx,14,False,,,
