new,host,a,cname,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,ns,txt
[x],airflow-morpheus-flower.dev.just-data.io,,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,
[x],airflow-morpheus.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
[x],monitoring.justeat-int.com,"10.247.3.124, 10.247.24.145, 10.247.23.119",monitoringweb-i18n-production.justeat-int.com,"ns-241.awsdns-30.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.247.3.124, 10.247.24.145, 10.247.23.119",,
,adyennotifications.justeat-int.com,"104.18.30.28, 104.18.31.28",adyennotifications.justeat-int.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,af-rdl-flower.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,af-rdl-flower.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,af-rdl-flower.qa.just-data.io,10.152.196.43,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.152.196.43,,
,af-rdl.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,af-rdl.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,af-rdl.qa.just-data.io,10.152.196.43,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.152.196.43,,
,airflow-2-ingest-flower.dev.just-data.io,,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,
,airflow-2-ingest.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,airflow-batchingestion.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,airflow-batchingestion.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,airflow-bianda.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,airflow-bianda.preprod.just-data.io,10.106.112.8,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.106.112.8,,
,airflow-coredwh.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,airflow-dataprotection-flower.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,airflow-dataprotection-flower.qa.just-data.io,10.152.196.43,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.152.196.43,,
,airflow-dataprotection.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,airflow-dataprotection.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,airflow-dataprotection.qa.just-data.io,10.152.196.43,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.152.196.43,,
,airflow-egress-flower.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,airflow-egress-flower.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,airflow-egress.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,airflow-egress.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,airflow-ingest-flower.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,airflow-ingest-flower.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,airflow-ingest-flower.qa.just-data.io,10.152.196.43,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.152.196.43,,
,airflow-ingest.qa.just-data.io,10.152.196.43,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.152.196.43,,
,airflow-optimus-flower.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,airflow-optimus-flower.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,airflow-optimus.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,airflow-optimus.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,airflow-package-flower.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,airflow-package.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
