input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,tech_,lines,cdn,webserver
adyennotifications.justeat-int.com,,,16,adyennotifications.justeat-int.com,443,tls13,TLS_AES_128_GCM_SHA256,,2023-04-10T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,adyennotifications.justeat-int.com,443,https://adyennotifications.justeat-int.com:443,https,text/plain,GET,104.18.31.28,HSTS,1,True,cloudflare
api.justeat-int.com,JET Public Developer Portal,,2602,developers.just-eat.com,443,tls13,TLS_AES_128_GCM_SHA256,,2022-06-16T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,developers.just-eat.com,443,https://api.justeat-int.com:443,https,text/html,GET,104.18.30.28,Vue.js,10,True,cloudflare
apis.justeat-int.com,,,23,apis.justeat-int.com,443,tls13,TLS_AES_128_GCM_SHA256,True,2016-02-24T16:06:16Z,"CN=*.justeat-int.com, O=Just Eat Holding Limited, L=London, ST=London, C=GB",*.justeat-int.com,Just Eat Holding Limited,"CN=GlobalSign Organization Validation CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",GlobalSign Organization Validation CA - SHA256 - G2,GlobalSign nv-sa,ctls,apis.justeat-int.com,443,https://apis.justeat-int.com:443,https,application/json,GET,18.66.97.77,Amazon Web Services,1,True,
au-partnerapi.just-eat.io,Just Eat API Documentation,,2738,uk.api.just-eat.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-01-30T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,uk.api.just-eat.io,443,https://au-partnerapi.just-eat.io:443,https,text/html,GET,104.18.28.208,HSTS,101,True,cloudflare
aus.api.just-eat.io,Just Eat API Documentation,,2738,uk.api.just-eat.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-01-30T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,uk.api.just-eat.io,443,https://aus.api.just-eat.io:443,https,text/html,GET,104.18.28.208,HSTS,101,True,cloudflare
connected-content.just-data.io,401 Authorization Required,,172,connected-content.just-data.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-04-18T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,connected-content.just-data.io,443,https://connected-content.just-data.io:443,https,text/html,GET,104.18.26.140,HSTS,8,True,cloudflare
connected-content.qa.just-data.io,401 Authorization Required,,574,connected-content.qa.just-data.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-04-11T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,connected-content.qa.just-data.io,443,https://connected-content.qa.just-data.io:443,https,text/html,GET,104.18.11.214,HSTS,14,True,cloudflare
deliveryconfigurationapi.justeat-int.com,,,,deliveryconfigurationapi.justeat-int.com,443,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,deliveryconfigurationapi.justeat-int.com,443,https://deliveryconfigurationapi.justeat-int.com:443,https,,GET,104.18.30.28,Microsoft ASP.NET,1,True,cloudflare
deliverymanagement.justeat-int.com,Delivery Management,,500,deliverymanagement.justeat-int.com,443,tls13,TLS_AES_128_GCM_SHA256,,2023-04-22T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,deliverymanagement.justeat-int.com,443,https://deliverymanagement.justeat-int.com:443,https,text/html,GET,104.18.30.28,HSTS,1,True,cloudflare
dr-ie-partnerapi.just-eat.io,503 Service Temporarily Unavailable,,162,dr-ie-partnerapi.just-eat.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,dr-ie-partnerapi.just-eat.io,443,https://dr-ie-partnerapi.just-eat.io:443,https,text/html,GET,104.18.29.208,HSTS,7,True,cloudflare
