new,host,a,soa,status_code,aaaa,mx,ns,txt,cdn,cdn-name,cname
[x],0000006c00000070.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],ad01.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],analytics.kiwi.ki,178.19.211.235,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],api.beta.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],bastion.kiwi.ki,3.68.57.62,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],ber-dc-01.dom.kiwi.ki,"104.22.14.22, 104.22.15.22, 172.67.38.64","hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::ac43:2640, 2606:4700:10::6816:e16, 2606:4700:10::6816:f16",,,,True,cloudflare,
[x],bestellung.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],blog.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],chat.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],checker.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],ci.kiwi.ki,3.120.45.175,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],confluence.kiwi.ki,18.157.103.159,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],docs.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],e.kiwi.ki,"188.114.99.229, 188.114.98.229","hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,,,True,cloudflare,
[x],grafana-aws.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
